edited;formula;type;is_artificial
Fuchsia 'Corallina' hort. ex Lynch;Fuchsia cordifolia × Fuchsia globosa;formula;TRUE
Fumaria officinalis × densiflora;Fumaria officinalis × Fumaria densiflora;formula;FALSE
Fumaria officinalis × parviflora;Fumaria officinalis × Fumaria parviflora;formula;FALSE
Fumaria × painteri Pugsley;Fumaria muralis × Fumaria officinalis;name;FALSE
Gaillardia × grandiflora hort. ex Van Houtte;Gaillardia aristata × Gaillardia pulchella;name;TRUE
Galanthus elwesii × plicatus;Galanthus elwesii × Galanthus plicatus;formula;FALSE
Galanthus nivalis × elwesii;Galanthus nivalis × Galanthus elwesii;formula;FALSE
Galanthus nivalis × plicatus;Galanthus nivalis × Galanthus plicatus;formula;FALSE
Galium × pomeranicum Retz.;Galium verum × Galium mollugo;name;FALSE
Gaultheria × wisleyensis D.J. Middleton;Gaultheria shallon × Gaultheria mucronata;name;FALSE
Geranium × magnificum Hyl.;Geranium ibericum × Geranium platypetalum;name;FALSE
Geranium × monacense Harz;Geranium phaeum × Geranium reflexum;name;FALSE
Geranium × oxonianum Yeo;Geranium endressii × Geranium versicolor;name;FALSE
Glyceria × pedicellata F. Towns.;Glyceria fluitans × Glyceria notata;name;FALSE
Hebe × franciscana (Eastw.) Souster;Hebe elliptica × Hebe speciosa;name;FALSE
Hebe × lewisii (J.B. Armstr.) A. Wall;Hebe salicifolia × Hebe elliptica;name;FALSE
Helianthus rigidus × tuberosus;Helianthus rigidus × Helianthus tuberosus;formula;FALSE
Helianthus × multiflorus L.;Helianthus annuus × Helianthus decapetalus;name;FALSE
Heracleum sphondylium × mantegazzianum;Heracleum sphondylium × Heracleum mantegazzianum;formula;FALSE
Hyacinthoides × massartiana Geerinck;Hyacinthoides non-scripta × Hyacinthoides hispanica;name;FALSE
Hypericum × inodorum Mill.;Hypericum androsaemum × Hypericum hircinum;name;FALSE
Ilex × altaclerensis (hort. ex Loudon) Dallim.;Ilex aquifolium × Ilex perado;name;FALSE
Iris × hollandica hort. nom. nud.;Iris filifolia × Iris tingitana;name;TRUE
Iris × robusta E.S. Anderson;Iris versicolor × Iris virginica;name;FALSE
Juncus inflexus × pallidus;Juncus inflexus × Juncus pallidus;formula;FALSE
