verbatim;type;edited;edited2;edited3;source;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Pilosella x floribunda (Wimm. & Grab.) Arv.-Touv.;name;Pilosella × floribunda (Wimm. & Grab.) Arv.-Touv.;Pilosella ×floribunda (Wimm. & Grab.) Arv.-Touv.;Pilosella × floribunda;ecoflora;7555535;3123193;Pilosella caespitosa;Pilosella lactucella;3123663;3123663;9509071;9509071
Pilosella x stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;name;Pilosella × stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;Pilosella ×stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;Pilosella × stoloniflora;ecoflora;3123249;3123249;Pilosella officinarum;Pilosella aurantiaca;9458333;9458333;3122924;3122924
Platanus x hispanica Mill. ex Münchh.;name;Platanus × hispanica Mill. ex Münchh.;Platanus ×hispanica Mill. ex Münchh.;Platanus × hispanica;ecoflora;7400250;7400250;Platanus occidentalis;Platanus orientalis;3152820;3152820;3152816;3152816
Poa x jemtlandica (Almq.) K. Richt.;name;Poa × jemtlandica (Almq.) K. Richt.;Poa ×jemtlandica (Almq.) K. Richt.;Poa × jemtlandica;ecoflora;4119997;4119997;Poa flexuosa;Poa alpina;9002189;9002189;2704234;2704234
Polygonatum x hybridum Brügger;name;Polygonatum × hybridum Brügger;Polygonatum ×hybridum Brügger;Polygonatum × hybridum;ecoflora;7881150;7881150;Polygonatum multiflorum;Polygonatum odoratum;2770022;2770022;2770228;2770228
Populus x canescens (Aiton) Sm.;name;Populus × canescens (Aiton) Sm.;Populus ×canescens (Aiton) Sm.;Populus × canescens;ecoflora;3040185;3040185;Populus alba;Populus tremula;3040233;3040233;3040249;3040249
Populus x berolinensis (K. Koch) Dippel;name;Populus × berolinensis (K. Koch) Dippel;Populus ×berolinensis (K. Koch) Dippel;Populus × berolinensis;ecoflora;3040238;8345607;Populus nigra;Populus laurifolia;3040227;3040227;3803716;3803716
Populus x canadensis Moench;name;Populus × canadensis Moench;Populus ×canadensis Moench;Populus × canadensis;ecoflora;8190077;8190077;Populus nigra;Populus deltoides;3040227;3040227;3040232;3040232
Populus x generosa A. Henry;name;Populus × generosa A. Henry;Populus ×generosa A. Henry;Populus × generosa;ecoflora;3040245;3040241;Populus trichocarpa;Populus deltoides;6362904;6362904;3040232;3040232
Populus x jackii Sarg.;name;Populus × jackii Sarg.;Populus ×jackii Sarg.;Populus × jackii;ecoflora;3040241;3040241;Populus balsamifera;Populus deltoides;3040184;3040184;3040232;3040232
Prunella x intermedia Link;name;Prunella × intermedia Link;Prunella ×intermedia Link;Prunella × intermedia;ecoflora;8100612;8100612;Prunella vulgaris;Prunella laciniata;5341297;5341297;5341296;5341296
Prunus x fruticans Weihe;name;Prunus × fruticans Weihe;Prunus ×fruticans Weihe;Prunus × fruticans;ecoflora;3022203;3022203;Prunus spinosa;Prunus domestica;3023221;3023221;7931731;7931731
Qercus x crenata Lam.;name;Quercus × crenata Lam.;Quercus ×crenata Lam.;Quercus × crenata;ecoflora;2880003;2880003;Quercus cerris;Quercus suber;2880580;2880580;2879411;2879411
Quercus cerris x robur;formula;Quercus cerris × robur;Quercus cerris × robur;NA;ecoflora;NA;NA;Quercus cerris;Quercus robur;2880580;2880580;2878688;2878688
Raphanus x micranthus (Uechtr.) O.E. Schulz;name;Raphanus × micranthus (Uechtr.) O.E. Schulz;Raphanus ×micranthus (Uechtr.) O.E. Schulz;Raphanus × micranthus;ecoflora;3687879;3687879;Raphanus raphanistrum;Raphanus sativus;3040983;3040983;7678610;7678610
Rheum x hybridum Murray;name;Rheum × hybridum Murray;Rheum ×hybridum Murray;Rheum × hybridum;ecoflora;4037896;4037896;Rheum palmatum;Rheum rhaponticum;2888864;2888864;2888866;2888866
Rorippa x armoracioides (Tausch) Fuss;name;Rorippa × armoracioides (Tausch) Fuss;Rorippa ×armoracioides (Tausch) Fuss;Rorippa × armoracioides;ecoflora;3693306;3693336;Rorippa sylvestris;Rorippa austriaca;3053376;3053376;3053406;3053406
Rorippa x hungarica Borbás;name;Rorippa × hungarica Borbás;Rorippa ×hungarica Borbás;Rorippa × hungarica;ecoflora;7829497;7829497;Rorippa amphibia;Rorippa austriaca;3053201;3053201;3053406;3053406
Rosa x alba L.;name;Rosa × alba L.;Rosa ×alba L.;Rosa × alba;ecoflora;3007383;3007383;Rosa arvensis;Rosa gallica;3007054;3007054;3002530;3002530
Rosa x paulii Rehder;name;Rosa × paulii Rehder;Rosa ×paulii Rehder;Rosa × paulii;ecoflora;3002759;3002759;Rosa arvensis;Rosa rugosa;3007054;3007054;3003979;3003979
Rosa x praegeri Wolley-Dod;name;Rosa × praegeri Wolley-Dod;Rosa ×praegeri Wolley-Dod;Rosa × praegeri;ecoflora;3002480;3002480;Rosa rugosa;Rosa canina;3003979;3003979;3002461;3002461
Rubus x fraseri Rehder;name;Rubus × fraseri Rehder;Rubus ×fraseri Rehder;Rubus × fraseri;ecoflora;2997212;2997212;Rubus odoratus;Rubus parviflorus;2994912;2994912;7872219;7872219
Rubus x paxii Focke;name;Rubus × paxii Focke;Rubus ×paxii Focke;Rubus × paxii;ecoflora;2991585;2991585;Rubus idaeus;Rubus phoenicolasius;2993094;2993094;2995149;2995149
Rumex cristatus x conglomeratus;formula;Rumex cristatus × conglomeratus;Rumex cristatus × conglomeratus;NA;ecoflora;NA;NA;Rumex cristatus;Rumex conglomeratus;2889010;2889010;2888963;2888963
Rumex patientia x conglomeratus;formula;Rumex patientia × conglomeratus;Rumex patientia × conglomeratus;NA;ecoflora;NA;NA;Rumex patientia;Rumex conglomeratus;2889019;2889019;2888963;2888963
Rumex x akeroydii Rumsey;name;Rumex × akeroydii Rumsey;Rumex ×akeroydii Rumsey;Rumex × akeroydii;ecoflora;4036936;4036936;Rumex cristatus;Rumex palustris;2889010;2889010;4037603;4037603
Rumex x borbasii Blocki;name;Rumex × borbasii Blocki;Rumex ×borbasii Blocki;Rumex × borbasii;ecoflora;8155014;8155014;Rumex confertus;Rumex obtusifolius;2888943;2888943;2889011;2889011
Rumex x confusus Simonk;name;Rumex × confusus Simonk;Rumex ×confusus Simonk;Rumex × confusus;ecoflora;2889024;2889024;Rumex patientia;Rumex crispus;2889019;2889019;8195144;8195144
Rumex x cornubiensis Holyoak;name;Rumex × cornubiensis Holyoak;Rumex ×cornubiensis Holyoak;Rumex × cornubiensis;ecoflora;4035212;4035212;Rumex frutescens;Rumex obtusifolius;2888976;2888976;2889011;2889011
Rumex x dimidiatus Hausskn.;name;Rumex × dimidiatus Hausskn.;Rumex ×dimidiatus Hausskn.;Rumex × dimidiatus;ecoflora;4034698;4034698;Rumex cristatus;Rumex crispus;2889010;2889010;8195144;8195144
Rumex x erubescens Simonk.;name;Rumex × erubescens Simonk.;Rumex ×erubescens Simonk.;Rumex × erubescens;ecoflora;8242651;8242651;Rumex patientia;Rumex obtusifolius;2889019;2889019;2889011;2889011
Rumex x lousleyi D.H. Kent;name;Rumex × lousleyi D.H. Kent;Rumex ×lousleyi D.H. Kent;Rumex × lousleyi;ecoflora;4032438;4032438;Rumex cristatus;Rumex obtusifolius;2889010;2889010;2889011;2889011
Rumex x skofitzii Blocki;name;Rumex × skofitzii Blocki;Rumex ×skofitzii Blocki;Rumex × skofitzii;ecoflora;7389976;7389976;Rumex confertus;Rumex crispus;2888943;2888943;8195144;8195144
Sagina x normaniana Lagerh.;name;Sagina × normaniana Lagerh.;Sagina ×normaniana Lagerh.;Sagina × normaniana;ecoflora;3812722;3812722;Sagina saginoides;Sagina procumbens;7952995;7952995;3085402;3085402
Salix x alopecuroides Tausch ex Opiz;name;Salix × alopecuroides Tausch ex Opiz;Salix ×alopecuroides Tausch ex Opiz;Salix × alopecuroides;ecoflora;7815245;7679524;Salix fragilis;Salix triandra;5372829;5372829;7103891;7103891
Salix x ehrhartiana Sm.;name;Salix × ehrhartiana Sm.;Salix ×ehrhartiana Sm.;Salix × ehrhartiana;ecoflora;7617444;5582592;Salix pentandra;Salix alba;5372647;5372647;5372513;5372513
Salix x friesiana Andersson;name;Salix × friesiana Andersson;Salix ×friesiana Andersson;Salix × friesiana;ecoflora;5582973;5582973;Salix viminalis;Salix repens;5372933;5372933;9148812;9148812
Salix x fruticosa Döll;name;Salix × fruticosa Döll;Salix ×fruticosa Döll;Salix × fruticosa;ecoflora;7892119;7892119;Salix viminalis;Salix aurita;5372933;5372933;5372876;5372876
Salix x holosericea Willd.;name;Salix × holosericea Willd.;Salix ×holosericea Willd.;Salix × holosericea;ecoflora;7895688;7895688;Salix viminalis;Salix cinerea;5372933;5372933;5372605;5372605
Salix x meyeriana Rostk. ex Willd.;name;Salix × meyeriana Rostk. ex Willd.;Salix ×meyeriana Rostk. ex Willd.;Salix × meyeriana;ecoflora;7580239;7580239;Salix pentandra;Salix fragilis;5372647;5372647;5372829;5372829
Salix x mollissima Hoffm. ex Elwert;name;Salix × mollissima Hoffm. ex Elwert;Salix ×mollissima Hoffm. ex Elwert;Salix × mollissima;ecoflora;8025520;8025520;Salix triandra;Salix viminalis;7103891;7103891;5372933;5372933
Salix x pendulina Wender;name;Salix × pendulina Wender;Salix ×pendulina Wender;Salix × pendulina;ecoflora;5372638;5372638;Salix fragilis;Salix babylonica;5372829;5372829;5372639;5372639
Salix x rubens Schrank;name;Salix × rubens Schrank;Salix ×rubens Schrank;Salix × rubens;ecoflora;5372512;5372512;Salix fragilis;Salix alba;5372829;5372829;5372513;5372513
Salix x rubra Huds.;name;Salix × rubra Huds.;Salix ×rubra Huds.;Salix × rubra;ecoflora;5372926;5372926;Salix purpurea;Salix viminalis;5372800;5372800;5372933;5372933
Salix x seminigricans E.G. Camus & A. Camus;name;Salix × seminigricans E.G. Camus & A. Camus;Salix ×seminigricans E.G. Camus & A. Camus;Salix × seminigricans;ecoflora;5582794;5582794;Salix viminalis;Salix myrsinifolia;5372933;5372933;5372875;5372875
Salix x sepulcralis Simonk.;name;Salix × sepulcralis Simonk.;Salix ×sepulcralis Simonk.;Salix × sepulcralis;ecoflora;5373037;5373037;Salix alba;Salix babylonica;5372513;5372513;5372639;5372639
Salix x smithiana Willd.;name;Salix × smithiana Willd.;Salix ×smithiana Willd.;Salix × smithiana;ecoflora;5372818;5372818;Salix viminalis;Salix caprea;5372933;5372933;5372952;5372952
Saxifraga x geum L.;name;Saxifraga × geum L.;Saxifraga ×geum L.;Saxifraga × geum;ecoflora;8223023;8223023;Saxifraga umbrosa;Saxifraga hirsuta;3032812;3032812;3032748;3032748
Saxifraga x polita (Haw.) Link;name;Saxifraga × polita (Haw.) Link;Saxifraga ×polita (Haw.) Link;Saxifraga × polita;ecoflora;3752678;3752678;Saxifraga spathularis;Saxifraga hirsuta;3752882;3752882;3032748;3032748
Saxifraga x urbium D.A. Webb;name;Saxifraga × urbium D.A. Webb;Saxifraga ×urbium D.A. Webb;Saxifraga × urbium;ecoflora;3754353;3754353;Saxifraga umbrosa;Saxifraga spathularis;3032812;3032812;3752882;3752882
Senecio x albescens Burb. & Colgan;name;Senecio × albescens Burb. & Colgan;Senecio ×albescens Burb. & Colgan;Senecio × albescens;ecoflora;7474003;8210972;Senecio cineraria;Senecio jacobaea;3097222;11153937;8965572;8965572
Senecio x baxteri Druce;name;Senecio × baxteri Druce;Senecio ×baxteri Druce;Senecio × baxteri;ecoflora;9449619;9449619;Senecio squalidus;Senecio vulgaris;3109117;3109117;3108983;3108983
Senecio x helwingii Beger ex Hegi;name;Senecio × helwingii Beger ex Hegi;Senecio ×helwingii Beger ex Hegi;Senecio × helwingii;ecoflora;4232678;4221116;Senecio vulgaris;Senecio vernalis;3108983;3108983;6063730;6063730
Senecio x subnebrodensis Simonk.;name;Senecio × subnebrodensis Simonk.;Senecio ×subnebrodensis Simonk.;Senecio × subnebrodensis;ecoflora;4217089;4217089;Senecio squalidus;Senecio viscosus;3109117;3109117;3107855;3107855
Senecio x thuretii Briq. & Cavill.;name;Senecio × thuretii Briq. & Cavill.;Senecio ×thuretii Briq. & Cavill.;Senecio × thuretii;ecoflora;4215936;8429716;Senecio cineraria;Senecio erucifolius;3097222;11153937;NA;NA
Senecio x viscidulus Scheele;name;Senecio × viscidulus Scheele;Senecio ×viscidulus Scheele;Senecio × viscidulus;ecoflora;8237293;8237293;Senecio sylvaticus;Senecio viscosus;3107987;3107987;3107855;3107855
Silene x hampeana Meusel & K. Werner;name;Silene × hampeana Meusel & K. Werner;Silene ×hampeana Meusel & K. Werner;Silene × hampeana;ecoflora;5384788;5384788;Silene latifolia;Silene dioica;5384805;5384805;5384795;5384795
Solanum x procurrens A.C. Leslie;name;Solanum × procurrens A.C. Leslie;Solanum ×procurrens A.C. Leslie;Solanum × procurrens;ecoflora;2931934;2931934;Solanum nigrum;Solanum physalifolium;9150405;9150405;2932144;2932144
Solidago x niederederi Khek;name;Solidago × niederederi Khek;Solidago ×niederederi Khek;Solidago × niederederi;ecoflora;5704635;5704635;Solidago virgaurea;Solidago canadensis;6446462;6446462;5389029;5389029
Sorbus aucuparia x intermedia;formula;Sorbus aucuparia × intermedia;Sorbus aucuparia × intermedia;NA;ecoflora;10249462;10815519;Sorbus aucuparia;Sorbus intermedia;3012167;3012167;3012254;10071055
Spartina x townsendii H. Groves & J. Groves;name;Spartina × townsendii H. Groves & J. Groves;Spartina ×townsendii H. Groves & J. Groves;Spartina × townsendii;ecoflora;5290034;9393876;Spartina maritima;Spartina alterniflora;5290044;9396295;5290035;9394776
Spiraea x arguta Zabel;name;Spiraea × arguta Zabel;Spiraea ×arguta Zabel;Spiraea × arguta;ecoflora;3027190;3027190;Spiraea multiflora;Spiraea thunbergii;3027169;3027169;3026402;3026402
Spiraea x billardii Hérincq;name;Spiraea × billardii Hérincq;Spiraea ×billardii Hérincq;Spiraea × billardii;ecoflora;7889822;7889822;Spiraea alba;Spiraea douglasii;3026585;3026585;3027159;3027159
Spiraea x brachybotrys Lange;name;Spiraea × brachybotrys Lange;Spiraea ×brachybotrys Lange;Spiraea × brachybotrys;ecoflora;3026426;3027138;Spiraea douglasii;Spiraea canescens;3027159;3027159;3027138;3027138
Spiraea x pseudosalicifolia Silverside;name;Spiraea × pseudosalicifolia Silverside;Spiraea ×pseudosalicifolia Silverside;Spiraea × pseudosalicifolia;ecoflora;3026444;3026444;Spiraea salicifolia;Spiraea douglasii;3026454;3026454;3027159;3027159
Spiraea x rosalba Dippel;name;Spiraea × rosalba Dippel;Spiraea ×rosalba Dippel;Spiraea × rosalba;ecoflora;3027332;3027332;Spiraea salicifolia;Spiraea alba;3026454;3026454;3026585;3026585
Spiraea x vanhouttei (Briot) Carrière;name;Spiraea × vanhouttei (Briot) Carrière;Spiraea ×vanhouttei (Briot) Carrière;Spiraea × vanhouttei;ecoflora;8236373;3026622;Spiraea cantoniensis;Spiraea trilobata;3026906;3026906;3026656;3026656
Symphoricarpos x chenaultii Rehder;name;Symphoricarpos × chenaultii Rehder;Symphoricarpos ×chenaultii Rehder;Symphoricarpos × chenaultii;ecoflora;3855595;3855595;Symphoricarpos microphyllus;Symphoricarpos orbiculatus;2888629;2888629;2888636;2888636
Symphytum x uplandicum Nyman;name;Symphytum × uplandicum Nyman;Symphytum ×uplandicum Nyman;Symphytum × uplandicum;ecoflora;2926068;2926068;Symphytum officinale;Symphytum asperum;7558421;7558421;2926066;2926066
Tilia x europaea L;name;Tilia × europaea L;Tilia ×europaea L;Tilia × europaea;ecoflora;3152046;3152046;Tilia platyphyllos;Tilia cordata;3152048;3152048;3152047;3152047
Tragopogon x mirabilis Rouy;name;Tragopogon × mirabilis Rouy;Tragopogon ×mirabilis Rouy;Tragopogon × mirabilis;ecoflora;5709400;5709400;Tragopogon pratensis;Tragopogon porrifolius;5386897;5386897;5386938;5386938
Tripleurospermum maritimum x inodorum;formula;Tripleurospermum maritimum × inodorum;Tripleurospermum maritimum × inodorum;NA;ecoflora;NA;NA;Tripleurospermum maritimum;Tripleurospermum inodorum;3104173;3104173;3104179;3104179
Verbascum pyramidatum x nigrum;formula;Verbascum pyramidatum × nigrum;Verbascum pyramidatum × nigrum;NA;ecoflora;NA;NA;Verbascum pyramidatum;Verbascum nigrum;3736698;3736698;3171945;3171945
Verbascum pyramidatum x thapsus;formula;Verbascum pyramidatum × thapsus;Verbascum pyramidatum × thapsus;NA;ecoflora;NA;NA;Verbascum pyramidatum;Verbascum thapsus;3736698;3736698;3171949;3171949
Verbascum x duernsteinense Teyber;name;Verbascum × duernsteinense Teyber;Verbascum ×duernsteinense Teyber;Verbascum × duernsteinense;ecoflora;3740009;3740009;Verbascum thapsus;Verbascum speciosum;3171949;3171949;3171952;3171952
Verbascum x intermedium Rupr. ex Bercht. & Pfund;name;Verbascum × intermedium Rupr. ex Bercht. & Pfund;Verbascum ×intermedium Rupr. ex Bercht. & Pfund;Verbascum × intermedium;ecoflora;8026271;8026271;Verbascum blattaria;Verbascum nigrum;3171943;3171943;3171945;3171945
Verbascum x kerneri Fritsch;name;Verbascum × kerneri Fritsch;Verbascum ×kerneri Fritsch;Verbascum × kerneri;ecoflora;3171950;3171950;Verbascum phlomoides;Verbascum thapsus;3171948;3171948;3171949;3171949
Verbascum x lemaitrei Boreau;name;Verbascum × lemaitrei Boreau;Verbascum ×lemaitrei Boreau;Verbascum × lemaitrei;ecoflora;3738336;3738336;Verbascum virgatum;Verbascum thapsus;3171954;3171954;3171949;3171949
Veronica longifolia x spicata;formula;Veronica longifolia × spicata;Veronica longifolia × spicata;NA;ecoflora;10324382;10324382;Veronica longifolia;Veronica spicata;3172118;3172118;3172059;3172059
Viburnum x rhytidophylloides J.V. Suringar;name;Viburnum × rhytidophylloides J.V. Suringar;Viburnum ×rhytidophylloides J.V. Suringar;Viburnum × rhytidophylloides;ecoflora;2888588;2888588;Viburnum lantana;Viburnum rhytidophyllum;2888615;2888615;2888625;2888625
X Agropogon robinsonii (Druce) Melderis & D.C. McClint.;name;×Agropogon robinsonii (Druce) Melderis & D.C. McClint.;×Agropogon robinsonii (Druce) Melderis & D.C. McClint.;NA;ecoflora;4135289;4135289;Agrostis stolonifera;Polypogon viridis;2706435;2706435;5289919;5289919
X Conyzigeron huelsenii (Vatke) Rauschert;name;×Conyzigeron huelsenii (Vatke) Rauschert;×Conyzigeron huelsenii (Vatke) Rauschert;NA;ecoflora;3095938;3095939;Erigeron acer;Conyza canadensis;3147223;3147223;5404801;3146791
X Crataemespilus grandiflora (Sm.) E.G. Camus;name;×Crataemespilus grandiflora (Sm.) E.G. Camus;×Crataemespilus grandiflora (Sm.) E.G. Camus;NA;ecoflora;3032430;3032430;Mespilus germanica;Crataegus laevigata;3031774;3031774;8252683;8252683
X Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;name;×Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;×Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;NA;ecoflora;3611595;8030887;Cupressus macrocarpa;Xanthocyparis nootkatensis;2684070;2684070;2683894;2683894
X Festulolium braunii (K. Richt.) A. Camus;name;×Festulolium braunii (K. Richt.) A. Camus;×Festulolium braunii (K. Richt.) A. Camus;NA;ecoflora;2703221;10800064;Festuca pratensis;Lolium multiflorum;NA;NA;4129708;4129708
