key;accepted;kingdom;scientificName;speciesKey
10471001;NA;Plantae;Atriplex lapponica × prostrata;10471001
10471032;NA;Plantae;Fragaria chiloënsis x virginiana;10471032
10471091;NA;Plantae;Geum montanum x rivale;10471091
10211773;Oenothera ammophila × biennis;Plantae;Oenothera ammophila x biennis;10471759
10471759;NA;Plantae;Oenothera ammophila × biennis;10471759
10471921;NA;Plantae;Hypolepis rugosula x tenuifolia;10471921
9833561;Carex bigelowii × paleacea;Plantae;Carex bigelowii subsp. rigida × paleacea;10472606
10060230;Carex bigelowii × paleacea;Plantae;Carex bigelowii ssp. rigida × paleacea;10472606
10227654;Carex bigelowii × paleacea;Plantae;Carex bigelowii ssp. rigida x paleacea;10472606
10455809;Carex bigelowii × paleacea;Plantae;Carex bigelowii subsp. rigida x paleacea;10472606
10472606;NA;Plantae;Carex bigelowii × paleacea;10472606
10624132;Carex bigelowii × paleacea;Plantae;Carex bigelowii x paleacea;10472606
9833732;Verbascum lychnitis × pyramidatum;Plantae;Verbascum lychnitis x pyramidatum;10472783
10472783;NA;Plantae;Verbascum lychnitis × pyramidatum;10472783
10473076;NA;Plantae;Orthilia secunda x Pyrola minor;10473076
10473154;NA;Plantae;Athyrium filix femina x alpestre;10473154
9834782;Calamagrostis arundinacea × canescens;Plantae;Calamagrostis arundinacea x canescens;10473831
10473831;NA;Plantae;Calamagrostis arundinacea × canescens;10473831
10209339;Corydalis pumila × solida;Plantae;Corydalis pumila x solida;10474208
10474208;NA;Plantae;Corydalis pumila × solida;10474208
9835249;Rumex crispus × stenophyllus;Plantae;Rumex crispus x stenophyllus;10474310
10474310;NA;Plantae;Rumex crispus × stenophyllus;10474310
10474500;NA;Plantae;Arctotis leiocarpa x fastuosa;10474500
10209044;Euphrasia micrantha × nemorosa;Plantae;Euphrasia micrantha x nemorosa;10474510
10474510;NA;Plantae;Euphrasia micrantha × nemorosa;10474510
10208869;Carex rostrata × saxatilis;Plantae;Carex rostrata x saxatilis;10474658
10474658;NA;Plantae;Carex rostrata × saxatilis;10474658
10208580;Prunus cerasifera × spinosa;Plantae;Prunus cerasifera x spinosa;10474952
10474952;NA;Plantae;Prunus cerasifera × spinosa;10474952
10475037;NA;Plantae;Arctium nemorosum x tomentosum;10475037
10475100;NA;Plantae;Pterygoneurum subsessile x ovatum;10475100
9836780;Carex canescens × loliacea;Plantae;Carex canescens x loliacea;10475823
10475823;NA;Plantae;Carex canescens × loliacea;10475823
10475833;NA;Plantae;Asplenium halleri x trichomanes;10475833
9963994;Dactylorhiza incarnata var. incarnata × majalis subsp. majalis;Plantae;Dactylorhiza incarnata var. incarnata × majalis;10475897
10080140;Dactylorhiza incarnata var. incarnata × majalis subsp. majalis;Plantae;Dactylorhiza incarnata var. incarnata × majalis ssp. majalis;10475897
10207633;Dactylorhiza incarnata var. incarnata × majalis subsp. majalis;Plantae;Dactylorhiza incarnata var. incarnata x majalis ssp. majalis;10475897
10475897;NA;Plantae;Dactylorhiza incarnata var. incarnata × majalis subsp. majalis;10475897
10604009;Dactylorhiza incarnata var. incarnata × majalis subsp. majalis;Plantae;Dactylorhiza incarnata var. incarnata x majalis;10475897
10476199;NA;Plantae;Acer campestre x lobelii;10476199
9837247;Clematis potaninii × vitalba;Plantae;Clematis potaninii x vitalba;10476301
10476301;NA;Plantae;Clematis potaninii × vitalba;10476301
10476598;NA;Plantae;Carex saxatilis × Carex stylosa;10476598
