verbatim;parent;type;edited;source
Sempervivum × giuseppii;Sempervivum arachnoideum;name;Sempervivum ×giuseppii;wikidata
Sempervivum ×vaccarii;Sempervivum arachnoideum;name;Sempervivum ×vaccarii;wikidata
Sempervivum ×barbulatum;Sempervivum arachnoideum;name;Sempervivum ×barbulatum;wikidata
Sempervivum ×morellianum;Sempervivum arachnoideum;name;Sempervivum ×morellianum;wikidata
Sempervivum ×stenopetalum;Sempervivum montanum;name;Sempervivum ×stenopetalum;wikidata
Sempervivum ×rupicola;Sempervivum montanum;name;Sempervivum ×rupicola;wikidata
Sempervivum ×christii;Sempervivum montanum;name;Sempervivum ×christii;wikidata
Sempervivum ×barbulatum;Sempervivum montanum;name;Sempervivum ×barbulatum;wikidata
Triticum turanicum;Triticum polonicum;name;Triticum turanicum;wikidata
Sagittaria ×lunata;Sagittaria sagittifolia;name;Sagittaria ×lunata;wikidata
Viola mirabilis × reichenbachiana;Viola mirabilis;name;Viola mirabilis × reichenbachiana;wikidata
Viola mirabilis × riviniana;Viola mirabilis;name;Viola mirabilis × riviniana;wikidata
Sempervivum ×fauconnettii;Sempervivum tectorum;name;Sempervivum ×fauconnettii;wikidata
Sempervivum ×stenopetalum;Sempervivum tectorum;name;Sempervivum ×stenopetalum;wikidata
Sempervivum ×comollii;Sempervivum tectorum;name;Sempervivum ×comollii;wikidata
Mentha dalmatica;Mentha longifolia;name;Mentha dalmatica;wikidata
Mentha ×dumetorum;Mentha longifolia;name;Mentha ×dumetorum;wikidata
Oxalis × vanaelstii;Oxalis corniculata;name;Oxalis ×vanaelstii;wikidata
Betula ×dosmannii;Betula ermanii;name;Betula ×dosmannii;wikidata
Salix ×simulatrix;Salix herbacea;name;Salix ×simulatrix;wikidata
Salix ×grahamii;Salix herbacea;name;Salix ×grahamii;wikidata
Calystegia ×howittiorum;Calystegia pulchra;name;Calystegia ×howittiorum;wikidata
Tilia ×moltkei;Tilia petiolaris;name;Tilia ×moltkei;wikidata
Tilia ×moltkei;Tilia americana;name;Tilia ×moltkei;wikidata
Amaranthus × budensis;Amaranthus albus;name;Amaranthus ×budensis;wikidata
Sempervivum ×nixonii;Sempervivum globiferum;name;Sempervivum ×nixonii;wikidata
Salix ×cottetii;Salix retusa;name;Salix ×cottetii;wikidata
Crocus × fritschii;Crocus vernus;name;Crocus ×fritschii;wikidata
Picea albertiana;Picea engelmannii;name;Picea albertiana;wikidata
