verbatim;parent;type;edited;source
Cistus ×lenis;Cistus sintenisii;name;Cistus ×lenis;wikidata
Cistus ×mesoensis;Cistus sintenisii;name;Cistus ×mesoensis;wikidata
Cyclosorus ×linii;Cyclosorus clarkei;name;Cyclosorus ×linii;wikidata
Cyclosorus ×gorkhalensis;Cyclosorus clarkei;name;Cyclosorus ×gorkhalensis;wikidata
Cyclosorus ×papilioides;Cyclosorus papilio;name;Cyclosorus ×papilioides;wikidata
Cyclosorus ×parahispidulus;Cyclosorus papilio;name;Cyclosorus ×parahispidulus;wikidata
Cyclosorus ×nareshii;Cyclosorus appendiculatus;name;Cyclosorus ×nareshii;wikidata
Phlomis ×ekimii;Phlomis bruguieri;name;Phlomis ×ekimii;wikidata
Phlomis ×ekimii;Phlomis capitata;name;Phlomis ×ekimii;wikidata
Huernia distincta;Huernia clavigera;name;Huernia distincta;wikidata
Sideritis ×edetana;Sideritis sericea;name;Sideritis ×edetana;wikidata
×Orbelia barklyi;Orbea namaquensis;name;×Orbelia barklyi;wikidata
×Orbelia barklyi;Stapelia pulvinata;name;×Orbelia barklyi;wikidata
×Staparesia meintjesii;Tavaresia barklyi;name;×Staparesia meintjesii;wikidata
Citrus junos;Citrus cavaleriei;name;Citrus junos;wikidata
Eucalyptus erythrandra;Eucalyptus incrassata;name;Eucalyptus erythrandra;wikidata
Platanthera ×correllii;Platanthera aquilonis;name;Platanthera ×correllii;wikidata
Tylecodon ×fergusoniae;Tylecodon cacalioides;name;Tylecodon ×fergusoniae;wikidata
Sigmatostalix luerorum;Sigmatostalix morganii;name;Sigmatostalix luerorum;wikidata
Sigmatostalix luerorum;Sigmatostalix picta;name;Sigmatostalix luerorum;wikidata
Elymus pinalenoensis;Elymus arizonicus;name;Elymus pinalenoensis;wikidata
Elymus ×nothus;Elymus dentatus;name;Elymus ×nothus;wikidata
Elymus ×spurius;Elymus dentatus;name;Elymus ×spurius;wikidata
Elymus ×nothus;Elymus fedtschenkoi;name;Elymus ×nothus;wikidata
Elymus ×spurius;Elymus ×russellii;name;Elymus ×spurius;wikidata
Guzmania amoena;Guzmania kraenzliniana;name;Guzmania amoena;wikidata
Crocus × paulineae;Crocus abantensis;name;Crocus ×paulineae;wikidata
Alsophila ×fagildei;Alsophila minor;name;Alsophila ×fagildei;wikidata
Carex ×acutangula;Carex salina;name;Carex ×acutangula;wikidata
Atriplex ×neomexicana;Atriplex cuneata;name;Atriplex ×neomexicana;wikidata
Myriopteris ×fibrillosa;Myriopteris covillei;name;Myriopteris ×fibrillosa;wikidata
Myriopteris ×parishii;Myriopteris covillei;name;Myriopteris ×parishii;wikidata
Alsophila ×fagildei;Alsophila woodwardioides;name;Alsophila ×fagildei;wikidata
Ambrosia platyspina;Ambrosia salsola;name;Ambrosia platyspina;wikidata
Pilosella ×byzantina;Pilosella pseudopilosella;name;Pilosella ×byzantina;wikidata
Polystichum ×saltum;Polystichum wilsonii;name;Polystichum ×saltum;wikidata
Galactites ×rigualii;Galactites duriaei;name;Galactites ×rigualii;wikidata
Isoëtes carltaylori;Isoetes acadiensis;name;Isoëtes carltaylori;wikidata
Isoëtes michinokuana;Isoëtes pseudojaponica;name;Isoëtes michinokuana;wikidata
Polystichum ×saltum;Polystichum transvaalense;name;Polystichum ×saltum;wikidata
Asimina ×nashii;Asimina speciosa;name;Asimina ×nashii;wikidata
Cyclosorus ×wildemanii;Cyclosorus afrus;name;Cyclosorus ×wildemanii;wikidata
Cyclosorus ×varievenulosus;Cyclosorus afrus;name;Cyclosorus ×varievenulosus;wikidata
Cyclosorus ×varievenulosus;Cyclosorus hispidulus;name;Cyclosorus ×varievenulosus;wikidata
Cyclosorus ×kumaunicus;Cyclosorus procerus;name;Cyclosorus ×kumaunicus;wikidata
Cyclosorus ×papilioides;Cyclosorus procerus;name;Cyclosorus ×papilioides;wikidata
Cyclosorus ×parahispidulus;Cyclosorus procerus;name;Cyclosorus ×parahispidulus;wikidata
Myriopteris ×fibrillosa;Myriopteris newberryi;name;Myriopteris ×fibrillosa;wikidata
Myriopteris ×parishii;Myriopteris parryi;name;Myriopteris ×parishii;wikidata
Potentilla × pantotricha;Potentilla gorokana;name;Potentilla ×pantotricha;wikidata
Convolvulus ×turcicus;Convolvulus holosericeus;name;Convolvulus ×turcicus;wikidata
Convolvulus ×turcicus;Convolvulus compactus;name;Convolvulus ×turcicus;wikidata
Onosma ×hybrida;Onosma lineariloba;name;Onosma ×hybrida;wikidata
Cistus microcymosus;Cistus hybridus;name;Cistus microcymosus;wikidata
Hylotelephium furusei;Hylotelephium cauticola;name;Hylotelephium furusei;wikidata
Stapelia meintjesii;Stapelia gettliffei;name;Stapelia meintjesii;wikidata
×Staparesia meintjesii;Stapelia gettliffei;name;×Staparesia meintjesii;wikidata
Cistus ×crumleyae;Cistus ochreatus;name;Cistus ×crumleyae;wikidata
Cistus ×glaucifolius;Cistus ochreatus;name;Cistus ×glaucifolius;wikidata
Cistus ×oxyphyllus;Cistus ochreatus;name;Cistus ×oxyphyllus;wikidata
Potentilla × pantotricha;Potentilla philippinensis;name;Potentilla ×pantotricha;wikidata
Onosma ×hybrida;Onosma stenoloba;name;Onosma ×hybrida;wikidata
Tilia × euchlora;Tilia dasystyla subsp. dasystyla;name;Tilia ×euchlora;wikidata
Calypso bulbosa nothovar. kostiukiae;Calypso bulbosa var. americana;name;Calypso bulbosa nothovar. kostiukiae;wikidata
Spiranthes × simpsonii;Spiranthes lacera var. lacera;name;Spiranthes ×simpsonii;wikidata
Pilosella ×byzantina;Pilosella hoppeana subsp. testimonialis;name;Pilosella ×byzantina;wikidata
Crocus × hybridus;Crocus adamii;name;Crocus ×hybridus;wikidata
Calypso bulbosa nothovar. kostiukiae;Calypso bulbosa var. occidentalis;name;Calypso bulbosa nothovar. kostiukiae;wikidata
Crocus asturicus;Crocus salzmannii;name;Crocus asturicus;wikidata
Oncidium ×domingense;Oncidium haitiense;name;Oncidium ×domingense;wikidata
Oncidium ×ann-hadderae;Oncidium haitiense;name;Oncidium ×ann-hadderae;wikidata
Oncidium ×floride-phillipsiae;Oncidium prionochilum;name;Oncidium ×floride-phillipsiae;wikidata
Oncidium ×domingense;Oncidium scandens;name;Oncidium ×domingense;wikidata
Agropyron ×nothum;Agropyron dentatum;name;Agropyron ×nothum;wikidata
Potentilla polyjosephiana;Potentilla josephiana;name;Potentilla polyjosephiana;wikidata
Amaranthus × soproniensis;Amaranthus powellii powellii;name;Amaranthus ×soproniensis;wikidata
Oncidium ×floride-phillipsiae;Oncidium variegatum;name;Oncidium ×floride-phillipsiae;wikidata
Oncidium ×ann-hadderae;Oncidium variegatum;name;Oncidium ×ann-hadderae;wikidata
Crocus × fritschii;Crocus duplex;name;Crocus ×fritschii;wikidata
Citrus ×microcarpa;NA;name;Citrus ×microcarpa;wikidata
Mentha ×verticillata;NA;name;Mentha ×verticillata;wikidata
