hybrid;parent1;parent2;usageKey;parent_usageKey1;parent_usageKey2
Clinopodium ×bernhardtianum Starm.;Clinopodium glandulosum (Req.) Kuntze;Clinopodium menthifolium (Host) Stace;7656106;3887162;3883897
Clinopodium ×cadevallii (Sennen) Starm.;Clinopodium ascendens (Jord.) Samp.;Clinopodium vulgare L.;8239800;3888200;2926945
Clinopodium ×conillii (Sennen) Starm.;Clinopodium ascendens (Jord.) Samp.;Clinopodium nepeta (L.) Kuntze;7893124;3888200;8916040
Clinopodium ×mixtum (Ausserd. ex Heinr.Braun & Sennholz) Starm.;Clinopodium acinos (L.) Kuntze;Clinopodium alpinum (L.) Kuntze;7926273;2927118;7307319
Clinopodium nepeta nothosubsp. bellantianum (Bouchard) B.Bock, 2012;Clinopodium nepeta (L.) Kuntze;Clinopodium nepeta subsp. sylvaticum (Bromf.) Peruzzi & F.Conti;7484903;8916040;3886254
Clinopodium nepeta nothosubsp. conillii (Sennen) B.Bock;Clinopodium nepeta (L.) Kuntze;Clinopodium nepeta subsp. ascendens (Jord.) B.Bock;8312200;8916040;7719293
Clivia ×nimbicola Swanev., Truter & A.E.van Wyk;Clivia caulescens R.A.Dyer;Clivia miniata (Lindl.) Bosse;5326275;5326274;5326277
Coccoloba ×hybrida I.Castañeda;Coccoloba diversifolia Jacq.;Coccoloba uvifera (L.) L.;9586003;2888824;2888831
Coccothrinax ×angelae D.Suárez;Coccothrinax crinita subsp. brevicrinis Borhidi & O.Muñiz;Coccothrinax miraguama subsp. roseocarpa (León) Borhidi & O.Muñiz;9637458;2735233;2735310
Cohniella ×carbonoi Yepes-Rapelo & Cetzal;Cohniella cebolleta (Jacq.) Christenson;Cohniella nuda (Bateman ex Lindl.) Christenson;11100546;5324550;5324523
Cohniella ×francoi Cetzal & Carnevali;Cohniella ascendens (Lindl.) Christenson;Cohniella brachyphylla (Lindl.) Cetzal & Carnevali;9606881;5324605;6316281
Cola ficifolia var. bilenguensis (Pellegr.) Halle;Cola bilenguensis Pellegr.;Cola ficifolia Mast.;7861995;7637244;8148842
Cola lateritia var. maclaudii (A.Chev.) Brenan & Keay;Cola lateritia K.Schum.;Cola maclaudii Aubrév.;7513457;7990149;8343225
Colchicum ×agrippinum Baker;Colchicum autumnale L.;Colchicum variegatum L.;3701976;2739622;2739828
Colutea arborescens f. brevialata (Lange) Browicz;Colutea arborescens L.;Colutea brevialata Lange;4929808;7844167;2956457
Comparettia ×maloi I.Bock;Comparettia falcata Poepp. & Endl.;Comparettia speciosa Rchb.f.;2795998;2796000;2796015
Convolvulus ×despreauxii A.Santos & Carine;Convolvulus floridus L.fil.;Convolvulus scoparius L.fil.;3680226;7943397;7668580
Convolvulus ×peshmenii Aykurt & Sümbül;Convolvulus compactus Boiss.;Convolvulus holosericeus subsp. macrocalycinus Hausskn. & Bornm. ex Bornm.;7536463;3680678;8090823
Convolvulus ×pseudocompactus Aykurt & Sümbül;Convolvulus compactus Boiss.;Convolvulus oleifolius var. deserti Pamp.;7555984;3680678;8067936
Convolvulus althaeoides subsp. argyraeus (DC.) Bonnier & Layens;Convolvulus althaeoides L.;Convolvulus argyraeus DC.;9296168;2928400;3677094
Conyzigeron huelsenii (Vatke) Rauschert;Conyza canadensis (L.) Cronquist;Erigeron acer L.;3095938;5404801;3147223
Copernicia ×dahlgreniana Verdecia;Copernicia cowellii Britton & P.Wilson;Copernicia macroglossa H.Wendl.;9527711;2738274;7676342
Copiapoa ×scopa Doweld;Copiapoa cinerea (Phil.) Britton & Rose;Copiapoa krainziana F.Ritter;3958123;7284333;7284194
Coppensia ×francacesari Campacci;Coppensia mantiqueirensis Campacci;Coppensia warmingii (Rchb.f.) Campacci;9059858;3653383;2834810
Corispermum ×klokovii Mosyakin;Corispermum marschallii Stev.;Corispermum nitidum Kit. ex Schult.;3759642;3759530;3083973
Corispermum ×modestii Mosyakin;Corispermum marschallii Stev.;Corispermum pallasii Stev.;3759508;3759530;3083975
Cornus ×lepagei Gervais & Blondeau;Cornus canadensis subsp. pristina Gervais & Blondeau;Cornus suecica L.;3663158;3663639;3082246
