hybrid;parent1;parent2;usageKey;parent_usageKey1;parent_usageKey2
× Goydirola punctata A.O.Araujo & M.Peixoto;Goyazia petraea (S.M.Phillips) Wiehler;Mandirola hirsuta (DC.) A.O.Araujo & Chautems;NA;5592171;7398920
×Agropogon hondoensis (Ohwi) Hiyama;Agrostis palustris Huds.;Polypogon fugax Nees ex Steud.;4125958;2706439;5289912
×Agropogon robinsonii (Druce) Melderis & D.C.McClint.;Agrostis stolonifera L.;Polypogon viridis (Gouan) Breistr.;4135289;2706435;5289919
×Agrotrigia berelica Kotukhov;Agropyron krylovianum Schischk.;Elytrigia geniculata (Trin.) Nevski;4113761;4131787;4154042
×Alpingera martinica Luc-Cayol;Alpinia purpurata (Vieill.) K.Schum.;Etlingera elatior (Jack) R.M.Sm.;4928492;5301960;2759896
×Anacampaludorchis duquesneyi (Rchb.f.) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Paludorchis palustris (Jacq.) P.Delforge;8380586;2808330;5951453
×Anacampaludorchis larzacensis (H.Kurze & O.Kurze) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Paludorchis laxiflora (Lam.) P.Delforge;5951471;2808330;5951480
×Anacampterorchis laniccae (Braun-Blanq.) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Herorchis morio (L.) D.Tyteca & E.Klein;5951473;2808330;2808594
×Anacampteulenia vanlookenii (C.Bernard & G.Fabre) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Vermeulenia papilionacea (L.) Á.Löve & D.Löve;5951472;2808330;2808674
×Anacamptorchis bassoulsii (Balayer) B.Bock;Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis militaris L.;7684389;2808646;2809968
×Anacamptorchis bonnieriana (E.G.Camus) B.Bock;Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis militaris L.;7472628;2808399;2809968
×Anacamptorchis celtiberica (Pau) B.Bock;Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis purpurea Huds.;7963597;2808461;8794742
×Anacamptorchis christiani-bernardii B.Bock;Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis purpurea Huds.;7504776;2808646;8794742
×Anacamptorchis grazianiae (Conrad) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis pauciflora Ten.;7351446;2808565;2785019
×Anacamptorchis ladurneri (Murr) B.Bock;Anacamptis picta (Loisel.) R.M.Bateman;Orchis militaris L.;8085674;2808593;2809968
×Anacamptorchis larzacensis H.Kurze & O.Kurze;Anacamptis pyramidalis (L.) Rich.;Orchis laxiflora Lam.;2808639;2808330;2808405
×Anacamptorchis lauzensis (Balayer) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis provincialis Balb.;8010008;2808565;8104493
×Anacamptorchis lesbiensis Biel;Anacamptis pyramidalis (L.) Rich.;Orchis sancta L.;2808520;2808330;2808531
×Anacamptorchis neogennarii (E.G.Camus) B.Bock;Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis provincialis Balb.;7849376;2808646;8104493
×Anacamptorchis perretii (K.Richt.) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Orchis purpurea Huds.;8370601;2808565;8794742
×Anacamptorchis vanlookenii C.Bernard & G.Fabre;Anacamptis pyramidalis (L.) Rich.;Orchis papilionacea L.;2808460;2808330;2808686
×Anteriocamptis lesbiensis (Biel) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Anteriorchis sancta (L.) E.Klein & Strack;5951498;2808330;2808532
×Anteriocamptis simorrensis (E.G.Camus) P.Delforge;Anacamptis pyramidalis (L.) Rich.;Anteriorchis fragrans (Pollini) Szlach.;5951499;2808330;2808469
×Anterioherorchis eccarii (H.Kretzschmar & G.Kretzschmar) P.Delforge;Anteriorchis fragrans (Pollini) Szlach.;Herorchis boryi (Rchb.f.) D.Tyteca & E.Klein;5951502;2808469;2808642
×Anterioherorchis olida (H.Kretzschmar, Eccarius & H.Dietr.) P.Delforge;Anteriorchis coriophora (L.) E.Klein & Strack;Herorchis morio (L.) D.Tyteca & E.Klein;5951477;2808487;2808594
×Anterioherorchis paparistoi (Gölz & H.R.Reinhard) P.Delforge;Anteriorchis coriophora (L.) E.Klein & Strack;Herorchis picta (Loisel.) P.Delforge;7485213;2808487;5951460
×Anterioherorchis pauliana (Malinv.) P.Delforge;Anteriorchis fragrans (Pollini) Szlach.;Herorchis picta (Loisel.) P.Delforge;7704446;2808469;5951460
×Anteriomeulenia menosii (C.Bernard & G.Fabre) P.Delforge;Anteriorchis coriophora (L.) E.Klein & Strack;Vermeulenia papilionacea (L.) Á.Löve & D.Löve;5951484;2808487;2808674
×Anteriopaludorchis albuferensis (R.M.Bateman) P.Delforge;Anteriorchis fragrans (Pollini) Szlach.;Paludorchis robusta (T.Stephenson) P.Delforge;8219732;2808469;5951452
×Anteriopaludorchis barlae (E.G.Camus) P.Delforge;Anteriorchis fragrans (Pollini) Szlach.;Paludorchis palustris (Jacq.) P.Delforge;8111077;2808469;5951453
×Anteriopaludorchis bicknellii (E.G.Camus) P.Delforge;Anteriorchis fragrans (Pollini) Szlach.;Paludorchis laxiflora (Lam.) P.Delforge;5951496;2808469;5951480
×Anteriopaludorchis parviflora (Chaub.) P.Delforge, 2009;Anteriorchis coriophora (L.) E.Klein & Strack;Paludorchis laxiflora (Lam.) P.Delforge;10948833;2808487;5951480
×Anteriopaludorchis timbali (Velen.) P.Delforge;Anteriorchis coriophora (L.) E.Klein & Strack;Paludorchis palustris (Jacq.) P.Delforge;7402094;2808487;5951453
×Anterioserapias andaluciana (B.Baumann & H.Baumann) P.Delforge;Anteriorchis fragrans (Pollini) Szlach.;Serapias parviflora Parl.;5952142;2808469;5314849
×Anterioserapias duffortii (E.G.Camus) P.Delforge;Anteriorchis coriophora (L.) E.Klein & Strack;Serapias lingua L.;5952141;2808487;5314814
×Anterioserapias tommasinii (Kern.) P.Delforge;Anteriorchis coriophora (L.) E.Klein & Strack;Serapias vomeracea (Burm.f.) Briq.;5952145;2808487;5314764
×Aporberocereus innesii (Kimnach) Doweld;Aporocactus flagelliformis (L.) Lem.;Weberocereus biolleyi (F.A.C.Weber) Britton & Rose;3955202;7283331;7281497
×Barlorchis salaminensis Kalop. & Constantin.;Barlia robertiana (Loisel.) Greuter;Orchis italica Poir.;2816106;2850023;2849640
×Bensteinia ramonensis Pupulin;Benzingia reichenbachiana (Schltr.) Dressler;Kefersteinia excentrica Dressler & Mora-Ret.;2809582;2804622;5319438
×Beruladium procurrens A.C.Leslie;Berula erecta (Huds.) Coville;Helosciadium nodiflorum (L.) W.D.J.Koch;10865027;3034699;3631293
×Blepharopsis vossii (Case) Efimov;Blephariglottis albiflora Raf.;Gymnadeniopsis clavellata (Michx.) Rydb.;5950529;2788002;2797986
×Borkersia soniae Halda, Malina & Panar.;Akersia roseiflora Buining;Borzicactus madisoniorum Hutchison;3948948;3955697;7281311
×Brachystemon nolae-carriae P.V.Heath;Brachystelma barberae Harv. ex Hook.fil.;Gonostemon similis (N.E.Br.) P.V.Heath;3579471;7578839;7312444
×Brassocattleya tramandahyana Roeth;Brassavola tuberculata Hook.;Cattleya leopoldii Verschaff. ex Lem.;2820317;5314198;2801089
×Bratonia bahiensis Marçal & Chiron;Brassia arachnoidea Barb.Rodr.;Miltonia flavescens (Lindl.) Lindl.;10758782;5323897;2803669
×Brunsdonna bidwillii Worsley;Amaryllis belladonna L.;Brunsvigia multiflora W.T.Aiton;9331198;5325855;2853387
×Calammophila don-hensonii Reznicek & Judz.;Ammophila breviligulata Fernald;Calamagrostis canadensis (Michx.) P.Beauv.;2702711;5289843;2704895
×Carmispartium hutchinsii M.D.Griffiths;Carmichaelia astonii G.Simpson;Notospartium glabrescens Petrie;3966654;5348430;2959211
×Carpophyma mutabile Heenan & Sykes;Carpobrotus edulis (L.) N.E.Br.;Disphyma australe (Sol. ex Aiton) N.E.Br.;8415936;3084842;7329373
×Carpophyma pallidum Sykes & Heenan;Carpobrotus chilensis (Molina) N.E.Br.;Disphyma australe (Sol. ex Aiton) N.E.Br.;7607438;3084844;7329373
×Cattlianthe dabeibaensis Sauleda;Cattleya warscewiczii Rchb.f.;Guarianthe hennisiana (Rolfe) Van den Berg;10853575;2801043;9408509
×Cephalorchis sussana F.M.Vázquez;Cephalanthera longifolia (L.) Fritsch;Orchis langei Lange ex K.Richt.;3655518;2795869;2849481
×Cephalorhiza hybrida (Holuby ex Soó) B.Bock, 2012;Cephalanthera damasonium (Mill.) Druce;Dactylorhiza fuchsii (Druce) Soó;7976192;2795952;2810677
×Cepheliocereus impossibilis P.V.Heath;Cephalocereus palmeri Rose;Heliocereus speciosus (Cav.) Britton & Rose;3957025;7283967;11016271
×Chamaezicactus cintiae Halda, Malina & Panar.;Borzicactus samaipatanus (Cárdenas) Kimnach;Chamaecereus silvestrii (Speg.) Britton & Rose;3944499;7281260;3944596
×Chilosimpliglottis pescottiana (R.S.Rogers) Jeanes;Chiloglottis trapeziformis Fitzg.;Simpliglottis valida (D.L.Jones) Szlach.;2847240;2847224;2847237
×Chitalpa tashkentensis T.S.Elias & Wisura;Catalpa bignonioides Walter;Chilopsis linearis (Cav.) Sweet;4093332;3172615;5415072
×Cochlezella costaricensis Pupulin;Cochleanthes aromatica (Rchb.f.) R.E.Schult. & Garay;Warczewiczella discolor (Lindl.) Rchb.f.;9280516;2791298;2791346
×Cohnlophiaris quintanarooensis Cetzal & Carnevali;Cohniella ascendens (Lindl.) Christenson;Lophiaris oerstedii (Rchb.f.) R.Jiménez, Carnevali & Dressler;9401461;5324605;2846577
×Comptoglossum agiasense Karatzas;Comperia comperiana (Steven) Asch. & Graebn.;Himantoglossum montis-tauri Kreutz & W.Lüders;2849969;5324927;5324931
×Conyzigeron stanleyi A.R.G.Mundell;Conyza floribunda Kunth;Erigeron acris L.;11015650;9643836;3147080
×Crataemespilus grandiflora (Sm.) E.G.Camus;Crataegus laevigata (Poir.) DC.;Mespilus germanica L.;3032430;8252683;3031774
×Cuprocyparis leylandii (A.B.Jacks. & Dallim.) Farjon;Cupressus macrocarpa Hartw.;Cupressus macrocarpa Hartw. ex Gordon;3611595;8426792;2684070
×Cuprocyparis ovensii (A.F.Mitch.) Farjon;Cupressus lusitanica Mill.;Xanthocyparis nootkatensis (D.Don) Farjon & Harder;3611591;2684046;2683894
×Cynochloris reynoldsensis B.K.Simon;Chloris ventricosa R.Br.;Cynodon dactylon (L.) Pers.;4137624;5289629;6109637
×Dactylanthera somersetensis (A.Camus) B.Bock;Dactylorhiza maculata (L.) Soó;Platanthera bifolia (L.) Rich.;7437060;8179794;9213153
×Dactyleucorchis bulgarica D.Lindig;Dactylorhiza cordigera (Fr.) Soó;Leucorchis albida (L.) E.Mey.;2786189;2810926;5306890
×Dactylitella alto-ovirensis Jakely & Könighofer;Dactylorhiza fuchsii (Druce) Soó;Nigritella lithopolitanica Ravnik;10824603;2810677;5323906
×Dactylitella berninaensis W.Schmid;Dactylorhiza majalis (Rchb.f.) Rauschert;Nigritella rhellicani Teppner & E.Klein;3652222;7608154;5323920
×Dactylocamptis arbostii (E.G.Camus) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza incarnata (L.) Soó;7441869;2808565;8248593
×Dactylocamptis boudieri (E.G.Camus) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.;7955138;2808565;2810155
×Dactylocamptis chassagnei (Alleiz.) B.Bock;Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.;7512979;2808426;2810155
×Dactylocamptis drudei (M.Schulze) B.Bock;Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza incarnata (L.) Soó;7749382;2808461;8248593
×Dactylocamptis leguei (E.G.Camus) B.Bock;Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza incarnata (L.) Soó;7737916;2808426;8248593
×Dactylocamptis luciae (Royer) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza sambucina (L.) Soó;7641577;2808565;8231647
×Dactylocamptis luizetiana (E.G.Camus) B.Bock;Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza praetermissa (Druce) Soó;7703237;2808399;7631065
×Dactylocamptis neglecta (E.G.Camus) B.Bock;Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza maculata (L.) Soó;8141368;2808399;8179794
×Dactylocamptis rouyana (E.G.Camus) B.Bock;Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.;7359379;2808399;2810155
×Dactylocamptis schulzei B.Bock;Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.;8200592;2808461;2810155
×Dactylocamptis timbaliana (E.G.Camus) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza maculata (L.) Soó;7822771;2808565;8179794
×Dactylocamptis valonii (E.G.Camus) B.Bock;Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase;Dactylorhiza maculata (L.) Soó;7664606;2808426;8179794
×Dactylodenia aravardii M.Gerbaud & O.Gerbaud;Dactylorhiza traunsteineri (Saut. ex Rchb.) Soó;Gymnadenia odoratissima (L.) Rich.;2817739;2810532;2840474
×Dactylodenia engelii M.Gerbaud, O.Gerbaud & J.-M.Lewin;Dactylorhiza savogiensis D.Tyteca & Gathoye;Gymnadenia gabasiana (Teppner & E.Klein) Teppner & E.Klein;2817773;2810399;2840418
×Dactylodenia ettlingeriana M.J.Clark & L.Lewis;Dactylorhiza praetermissa (Druce) Soó;Gymnadenia densiflora (Wahlenb.) A.Dietr.;8381606;7631065;2840425
×Dactylodenia jacksonii (Quirk) B.Bock;Dactylorhiza viridis (L.) R.M.Bateman, Pridgeon & M.W.Chase;Gymnadenia conopsea (L.) R.Br.;2817727;2810284;7845022
×Dactylodenia lacerta R.M.Bateman & Tattersall;Dactylorhiza praetermissa (Druce) Soó;Gymnadenia borealis (Druce) R.M.Bateman, Pridgeon & M.W.Chase;10675061;7631065;2840508
×Dactylodenia lawalreei P.Delforge & D.Tyteca;Dactylorhiza fuchsii (Druce) Soó;Gymnadenia odoratissima (L.) Rich.;2817717;2810677;2840474
×Dactylodenia sursesis C.Boillat & V.Boillat;Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.;Gymnadenia odoratissima (L.) Rich.;6315508;2810155;2840474
×Dactylodenia tourensis (Godfery) B.Bock;Dactylorhiza maculata (L.) Soó;Gymnadenia nigra subsp. rhellicani (Teppner & E.Klein) J.-M.Tison;2817736;8179794;7742708
×Dactylodenia toussaintiorum D.Tyteca & Gathoye;Dactylorhiza brennensis (E.Nelson) D.Tyteca & Gathoye;Gymnadenia conopsea (L.) R.Br.;2817767;2809810;7845022
×Dactylodenia vitosensis Jagiello;Dactylorhiza cordigera (Fr.) Soó;Gymnadenia conopsea (L.) R.Br.;2817768;2810926;7845022
×Dactyloglossum alutiiqorum A.Baum & H.Baum;Coeloglossum viride (L.) Hartm.;Dactylorhiza aristata (Fisch. ex Lindl.) Soó;7810898;5313015;8218727
×Dactyloglossum evae R.Breiner;Coeloglossum viride var. islandicum (Lindl.) M.Schulze;Dactylorhiza maculata subsp. islandica (Á.Löve & D.Löve) Soó;2810238;6314779;2810394
×Dactyloglossum ponticum Kohlmüller;Coeloglossum viride (L.) Hartm.;Dactylorhiza urvilleana (Steud.) H.Baumann & Künkele;2810464;5313015;2809995
×Disisocactus petersenii Doweld;Disisorhipsalis macrantha (Alexander) Doweld;Disocactus nelsonii (Britton & Rose) Linding.;3949927;3949914;7281750
×Dupontopoa dezhnevii Prob.;Arctopoa eminens (J.Presl) Prob.;Dupontia psilosantha Rupr.;4120233;4129137;7557754
×Elyhordeum arachleicum Peschkova;Elymus sibiricus L.;Hordeum brevisubulatum (Trin.) Link;4114396;5290323;4149617
×Elyhordeum kolymense Prob.;Elymus confusus subsp. pilosifolius A.P.Khokhr.;Hordeum jubatum DC., 1815;4114269;5673031;7748129
×Elyleymus magadanensis (A.P.Khokhr.) Lysenko;Elymus boreoochotensis A.P.Khokhr.;Leymus mollis (Trin.) Pilg.;7400011;5673247;2706373
×Elymotrigia austroaltaica Kotukhov;Elymus gmelinii (Trin.) Tzvelev;Elytrigia gmelinii (Trin. ex Schrad.) Nevski;4113697;5290316;4154023
×Elymotrigia bobrovica Kotukhov;Elymus nevskii Tzvelev;Elytrigia repens (L.) Nevski;4113673;5672224;2706649
×Elymotrigia gigantea Kotukhov;Elymus mutabilis (Drobow) Tzvelev;Elytrigia repens (L.) Nevski;4113665;4107948;2706649
×Elymotrigia kurtczumica Kotukhov;Elymus fedtschenkoi Tzvelev;Elytrigia gmelinii (Trin. ex Schrad.) Nevski;4113631;5672857;4154023
×Elymotrigia leninogorica Kotukhov;Elymus sibiricus L.;Elytrigia geniculata (Trin.) Nevski;4113623;5290323;4154042
×Elymotrigia versicolor (A.P.Khokhr.) Lysenko;Elymus kronokensis (Kom.) Tzvelev;Elytrigia jacutorum (Nevski) Nevski;7809641;5290249;4153836
×Epicattleya balarucensis;Cattleya labiata Lindl.;Epidendrum eburneum Rchb.f.;10750376;2801162;5320078
×Epicattleya figaro;Cattleya intermedia Grah.;Epidendrum falcatum Lindl.;10713829;8090706;5320501
×Epicattleya lawrencei Rolfe & Hurst;Cattleya gaskelliana (N.E.Br.) B.S.Williams;Epidendrum parkinsonianum Hook.;10689863;2800987;5320790
×Epicattleya lesueuri Rolfe & Hurst;Cattleya skinneri Bateman;Epidendrum nocturnum Jacq.;9607092;2816090;5320021
×Epicattleya magdeburgensis Anon.;Cattleya gaskelliana (N.E.Br.) B.S.Williams;Epidendrum vitellinum Lindl.;11010290;2800987;5308144
×Epicattleya matutina Mast.;Cattleya bowringiana O'Brien;Epidendrum radicans Pav. ex Lindl.;9412246;2816092;5320619
×Epicattleya nebo Orpet;Cattleya ×claesiana Rolfe;Epidendrum ×obrienianum Rolfe;10865299;3656373;5541947
×Epicattleya obrieniae Rolfe & Hurst;Cattleya bowringiana O'Brien;Epidendrum ×obrienianum Rolfe;9472782;2816092;5541947
×Epicattleya orpetii Anon.;Cattleya amethystoglossa Linden & Rchb.f. ex R.Warner;Epidendrum ×obrienianum Rolfe;10825636;2800905;5541947
×Epicattleya pentomos Anon.;Cattleya mossiae C.Parker ex Hook.;Epidendrum pentotis Rchb.f.;10916266;2801063;5308117
×Epicattleya wolteri Rolfe & Hurst;Cattleya loddigesii Lindl.;Epidendrum vitellinum Lindl.;9607813;2801104;5308144
×Epicattleya wolteriana Kraenzl.;Cattleya schroederae Rchb.f.;Epidendrum aurantiacum Bateman, 1838;9240575;7600718;7554135
×Eriocereopsis jusbertii (Rebut ex K.Schum.) Doweld;Echinopsis eyriesii (Turpin) Zucc. ex Pfeiff. & Otto;Eriocereus bonplandii (Parm.) Riccob.;3944238;7281827;3944189
×Gasteraloe sculptilis L.E.Newton;Aloe variegata L.;Gasteria ×cheilophylla Baker;8066975;2777736;3696904
×Glebianthemum valinianum J.M.Watson & A.R.Flores;Argyranthemum frutescens (L.) Sch.Bip.;Glebionis coronaria (L.) Cass. ex Spach;10828444;3104491;3141115
×Gonimara corderoyi (A.Berger) Gideon F.Sm. & Molteno;Gonialoe variegata (L.) Boatwr. & J.C.Manning;Kumara plicatilis (L.) G.D.Rowley;10978088;9528502;9611708
×Gonostapelia barklyi (N.E.Br.) P.V.Heath, 1992;Gonostemon pulvinatus (Masson) P.V.Heath;Stapelia namaquensis N.E.Br.;3580369;3579738;3575404
×Gonostapelia plowesii P.V.Heath;Gonostemon kwebensis (N.E.Br.) P.V.Heath;Stapelia grandidens (Verd.) P.V.Heath;3580340;3579929;3576199
×Gonotriche bella (A.Berger) P.V.Heath;Gonostemon deflexus (Jacq.) P.V.Heath;Tromotriche revoluta (Masson) Haw.;3579596;7312506;7312559
×Gymnacamptis burdigalensis (G.Keller & Jeanj.) B.Bock;Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase;Gymnadenia conopsea (L.) R.Br.;7365598;2808399;7845022
×Gymnacamptis evequei (L.C.Lamb.) B.Bock;Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase;Gymnadenia odoratissima (L.) Rich.;9355243;2808426;2840474
×Gymnacamptis reserata (Pau) B.Bock;Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase;Gymnadenia conopsea (L.) R.Br.;7790021;2808565;7845022
×Gymnanacamptis anacamptis (F.Wilms) Asch. & Graebn.;Anacamptis pyramidalis (L.) Rich.;Gymnadenia conopsea (L.) R.Br.;2820959;2808330;7845022
×Gymnigritella geigelsteiniana B.Baumann & H.Baumann;Gymnadenia odoratissima (L.) Rich.;Nigritella widderi Teppner & E.Klein;3654857;2840474;5323919
×Gymnigritella hedrenii W.Foelsche;Gymnadenia conopsea (L.) R.Br.;Nigritella hygrophila W.Foelsche & Heidtke;9627331;7845022;8224778
×Gymnigritella heufleri (A.Kern.) E.G.Camus;Gymnadenia odoratissima (L.) Rich.;Gymnadenia rhellicani (Teppner & E.Klein) Teppner & E.Klein;2840583;2840474;2840460
×Gymnigritella hubertii Griebl;Gymnadenia conopsea (L.) R.Br.;Nigritella bicolor W.Foelsche;9289134;7845022;7891354
×Gymnigritella pyrenaica C.E.Hermos. & Sabando;Gymnadenia conopsea (L.) R.Br.;Nigritella gabasiana Teppner & E.Klein;2840409;7845022;5323903
×Gymnigritella trummeriana W.Foelsche;Gymnadenia odoratissima (L.) Rich.;Nigritella stiriaca (Rech.) Teppner & E.Klein;7604579;2840474;5323900
×Gymnigritella truongiae Demares;Gymnadenia conopsea (L.) R.Br.;Nigritella nigra subsp. corneliana Beauverd;2840441;7845022;5323914
×Gymnigritella turnowskyi W.Foelsche;Gymnadenia conopsea (L.) R.Br.;Nigritella lithopolitanica Ravnik;2840550;7845022;5323906
×Hadrocattleya amoena (God.-Leb.) V.P.Castro & Chiron;Cattleya loddigesii Lindl.;Hadrolaelia perrinii (Lindl.) Chiron & V.P.Castro;2782141;2801104;2812213
×Hadrocattleya dayana (Pabst) V.P.Castro & Chiron;Cattleya velutina Rchb.f.;Hadrolaelia crispa (Lindl.) Chiron & V.P.Castro;2782167;2801007;2812122
×Hadrocattleya ericoi V.P.Castro;Cattleya warneri T.Moore ex R.Warner;Hadrolaelia praestans (Rchb.f.) Chiron & V.P.Castro;3653171;2800953;2812070
×Hadrocattleya gottoiana (hort.) V.P.Castro & Chiron, 2002;Cattleya warneri T.Moore ex R.Warner;Hadrolaelia tenebrosa (Rolfe) Chiron & V.P.Castro;2782150;2800953;2812288
×Hadrocattleya occhioniana (Brade) V.P.Castro & Chiron;Cattleya harrisoniana Bateman ex Lindl.;Hadrolaelia perrinii (Lindl.) Chiron & V.P.Castro;3653164;2800863;2812213
×Hadrocattleya ruschii V.P.Castro;Cattleya schilleriana Rchb.f.;Hadrolaelia pumila (Hook.) Chiron & V.P.Castro;9594042;2800892;2812242
×Hadrocattleya schilleriana (Rchb.f.) V.P.Castro & Chiron;Cattleya intermedia Grah.;Hadrolaelia purpurata (Lindl. & Paxton) Chiron & V.P.Castro;2782184;8090706;2812178
×Hadrodungsia jetibaensis V.P.Castro & G.F.Carr;Dungsia harpophylla (Rchb.f.) Chiron & V.P.Castro;Hadrolaelia wittigiana (Barb.Rodr.) Chiron & V.P.Castro;3653157;2812261;2811933
×Halimiocistus humilis Demoly;Cistus inflatus Pourr. ex Demoly;Halimium umbellatum Spach;3595501;3595200;10996133
×Heliorhipsalis macdougallii Doweld;Disisorhipsalis macrantha (Alexander) Doweld;Heliocereus ackermannii (Lindl.) Doweld;3945737;3949914;3946161
×Heliphyllum amaranthinum (Regel) Doweld;Epiphyllum crenatum (Lindl.) G.Don;Heliocereus phyllanthoides (DC.) Doweld;7904888;7280720;3945977
×Heliphyllum splendens (Regel) Doweld;Epiphyllum crenatum (Lindl.) G.Don;Heliocereus ackermannii (Lindl.) Doweld;3945686;7280720;3946161
×Heromeulenia bornemannii (Asch.) P.Delforge, 2009;Herorchis longicornu (Poir.) D.Tyteca & E.Klein;Vermeulenia papilionacea (L.) Á.Löve & D.Löve;11104603;2808568;2808674
×Heromeulenia feinbruniae (H.Baumann & Dafni) P.Delforge;Herorchis israelitica (H.Baumann & Dafni) D.Tyteca & E.Klein;Vermeulenia papilionacea (L.) Á.Löve & D.Löve;5951470;2808632;2808674
×Heromeulenia gennarii (Rchb.f.) P.Delforge;Herorchis morio (L.) D.Tyteca & E.Klein;Vermeulenia papilionacea (L.) Á.Löve & D.Löve;5951457;2808594;2808674
×Heromeulenia lasithica (Renz) P.Delforge;Herorchis boryi (Rchb.f.) D.Tyteca & E.Klein;Vermeulenia papilionacea (L.) Á.Löve & D.Löve;5951487;2808642;2808674
×Heromeulenia murgiana (Medagli, D'Emerico, Ruggiero & Bianco) P.Delforge;Herorchis picta (Loisel.) P.Delforge;Vermeulenia collina (Banks & Sol. ex Russell) P.Delforge;7631340;5951460;5951486
×Heromeulenia santamariotae (Galesi & M.P.Grasso) P.Delforge;Herorchis longicornu (Poir.) D.Tyteca & E.Klein;Vermeulenia collina (Banks & Sol. ex Russell) P.Delforge;7898307;2808568;5951486
×Heropaludorchis alata (Fleury) P.Delforge;Herorchis morio (L.) D.Tyteca & E.Klein;Paludorchis laxiflora (Lam.) P.Delforge;5951488;2808594;5951480
×Heropaludorchis genevensis (Chenevard) P.Delforge;Herorchis morio (L.) D.Tyteca & E.Klein;Paludorchis palustris (Jacq.) P.Delforge;5951483;2808594;5951453
×Heropaludorchis gerakarionis (Faller & Kreutz) P.Delforge;Herorchis boryi (Rchb.f.) D.Tyteca & E.Klein;Paludorchis laxiflora (Lam.) P.Delforge;5951501;2808642;5951480
×Heropaludorchis sarcidani (Scrugli & M.P.Grasso) P.Delforge;Herorchis longicornu (Poir.) D.Tyteca & E.Klein;Paludorchis laxiflora (Lam.) P.Delforge;8408277;2808568;5951480
×Herorchiserapias bevilacquae (Pénzes) P.Delforge;Herorchis morio (L.) D.Tyteca & E.Klein;Serapias ×neglecta Forest. ex Nyman;5952138;2808594;7689344
×Herorchiserapias capitata (E.G.Camus) P.Delforge;Herorchis morio (L.) D.Tyteca & E.Klein;Serapias lingua L.;5952156;2808594;5314814
×Herorchiserapias correvonii (E.G.Camus & A.Camus) P.Delforge;Herorchis picta (Loisel.) P.Delforge;Serapias lingua L.;5952146;5951460;5314814
×Herorchiserapias dhiorii (M.Ackermann & Mar.Ackermann) P.Delforge;Herorchis syriaca (Boiss. ex H.Baumann & Künkele) D.Tyteca & E.Klein;Serapias levantina H.Baumann & Künkele;7633234;2808619;5314781
×Herorchiserapias ducoroniae (P.Delforge) P.Delforge;Herorchis picta (Loisel.) P.Delforge;Serapias apulica (H.Baumann & Künkele) P.Delforge;5952139;5951460;5314751
×Herorchiserapias erhardtiana (K.Lorenz & R.Lorenz) P.Delforge;Herorchis picta (Loisel.) P.Delforge;Serapias bergonii E.G.Camus;8186176;5951460;5314755
