verbatim;source;edited;type;edited2;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Agrostis canina × stolonifera;florkart;Agrostis canina × stolonifera;formula;Agrostis canina × stolonifera;9908899;9908899;Agrostis canina;Agrostis stolonifera;2706465;2706465;2706435;2706435
Agrostis stolonifera × Polypogon monspeliensis;florkart;Agrostis stolonifera × Polypogon monspeliensis;formula;Agrostis stolonifera × Polypogon monspeliensis;NA;NA;Agrostis stolonifera;Polypogon monspeliensis;2706435;2706435;5289917;5289917
Ajuga genevensis × pyramidalis;florkart;Ajuga genevensis × pyramidalis;formula;Ajuga genevensis × pyramidalis;10121026;10121026;Ajuga genevensis;Ajuga pyramidalis;2927079;2927079;8429926;8429926
Ajuga pyramidalis × reptans;florkart;Ajuga pyramidalis × reptans;formula;Ajuga pyramidalis × reptans;10303841;10303841;Ajuga pyramidalis;Ajuga reptans;8429926;8429926;2927078;2927078
Alopecurus geniculatus × pratensis;florkart;Alopecurus geniculatus × pratensis;formula;Alopecurus geniculatus × pratensis;10149233;10149233;Alopecurus geniculatus;Alopecurus pratensis;5290090;5290090;5290081;5290081
Amaranthus hybridus × retroflexus;florkart;Amaranthus hybridus × retroflexus;formula;Amaranthus hybridus × retroflexus;10279930;10008242;Amaranthus hybridus;Amaranthus retroflexus;5384364;5384364;6109534;6109534
Amaranthus powellii × retroflexus;florkart;Amaranthus powellii × retroflexus;formula;Amaranthus powellii × retroflexus;10008242;10008242;Amaranthus powellii;Amaranthus retroflexus;5384359;5384359;6109534;6109534
Anemone nemorosa × ranunculoides;florkart;Anemone nemorosa × ranunculoides;formula;Anemone nemorosa × ranunculoides;10246936;10246936;Anemone nemorosa;Anemone ranunculoides;3033263;3033263;3033266;3033266
Anthemis arvensis × tinctoria;florkart;Anthemis arvensis × tinctoria;formula;Anthemis arvensis × tinctoria;10123666;10200033;Anthemis arvensis;Anthemis tinctoria;3102781;3102781;3102756;7066062
Anthemis cotula × tictoria;florkart;Anthemis cotula × tinctoria;formula;Anthemis cotula × tinctoria;NA;NA;Anthemis cotula;Anthemis tinctoria;8035698;8035698;3102756;7066062
Anthemis ruthenica × tinctoria;florkart;Anthemis ruthenica × tinctoria;formula;Anthemis ruthenica × tinctoria;NA;NA;Anthemis ruthenica;Anthemis tinctoria;3102823;3102823;3102756;7066062
Arctium × ambiguum (Čelak.) Nyman;florkart;Arctium × ambiguum (Čelak.) Nyman;name;Arctium ×ambiguum (Čelak.) Nyman;5393100;5393100;NA;NA;NA;NA;NA;NA
Arctium minus × nemorosum;florkart;Arctium minus × nemorosum;formula;Arctium minus × nemorosum;10453325;10453325;Arctium minus;Arctium nemorosum;5393103;5393103;5393111;5393111
Arctium minus × tomentosum;florkart;Arctium minus × tomentosum;formula;Arctium minus × tomentosum;9893293;9893293;Arctium minus;Arctium tomentosum;5393103;5393103;5393080;5393080
Arctium nemorosum × tomentosum;florkart;Arctium nemorosum × tomentosum;formula;Arctium nemorosum × tomentosum;9649777;9649777;Arctium nemorosum;Arctium tomentosum;5393111;5393111;5393080;5393080
Arctium lappa × minus;florkart;Arctium lappa × minus;formula;Arctium lappa × minus;10230065;10230065;Arctium lappa;Arctium minus;7353729;7353729;5393103;5393103
Sorbus aria × mougeotii;florkart;Sorbus aria × mougeotii;formula;Sorbus aria × mougeotii;NA;NA;Sorbus aria;Sorbus mougeotii;NA;NA;7393765;7393765
