verbatim;type;edited;parent;source
Oenothera x fallax Renner;name;Oenothera ×fallax Renner;Oenothera biennis;ecoflora
Olearia x haastii Hook. f.;name;Olearia ×haastii Hook. f.;Olearia avicenniifolia;ecoflora
Olearia x haastii Hook. f.;name;Olearia ×haastii Hook. f.;Olearia moschata;ecoflora
Papaver x hungaricum Borbás;name;Papaver ×hungaricum Borbás;Papaver rhoeas;ecoflora
Papaver x hungaricum Borbás;name;Papaver ×hungaricum Borbás;Papaver dubium;ecoflora
Petunia x hybrida (Hook.) Vilm.;name;Petunia ×hybrida (Hook.) Vilm.;Petunia axillaris;ecoflora
Petunia x hybrida (Hook.) Vilm.;name;Petunia ×hybrida (Hook.) Vilm.;Petunia integrifolia;ecoflora
Philadelphus x virginalis Rehder;name;Philadelphus ×virginalis Rehder;Philadelphus coronarius;ecoflora
Philadelphus x virginalis Rehder;name;Philadelphus ×virginalis Rehder;Philadelphus microphyllus;ecoflora
Philadelphus x virginalis Rehder;name;Philadelphus ×virginalis Rehder;Philadelphus pubescens;ecoflora
Pilosella x floribunda (Wimm. & Grab.) Arv.-Touv.;name;Pilosella ×floribunda (Wimm. & Grab.) Arv.-Touv.;Pilosella caespitosa;ecoflora
Pilosella x floribunda (Wimm. & Grab.) Arv.-Touv.;name;Pilosella ×floribunda (Wimm. & Grab.) Arv.-Touv.;Pilosella lactucella;ecoflora
Pilosella x stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;name;Pilosella ×stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;Pilosella officinarum;ecoflora
Pilosella x stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;name;Pilosella ×stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;Pilosella aurantiaca;ecoflora
Platanus x hispanica Mill. ex Münchh.;name;Platanus ×hispanica Mill. ex Münchh.;Platanus occidentalis;ecoflora
Platanus x hispanica Mill. ex Münchh.;name;Platanus ×hispanica Mill. ex Münchh.;Platanus orientalis;ecoflora
Poa x jemtlandica (Almq.) K. Richt.;name;Poa ×jemtlandica (Almq.) K. Richt.;Poa flexuosa;ecoflora
Poa x jemtlandica (Almq.) K. Richt.;name;Poa ×jemtlandica (Almq.) K. Richt.;Poa alpina;ecoflora
Polygonatum x hybridum Brügger;name;Polygonatum ×hybridum Brügger;Polygonatum multiflorum;ecoflora
Polygonatum x hybridum Brügger;name;Polygonatum ×hybridum Brügger;Polygonatum odoratum;ecoflora
Populus x canescens (Aiton) Sm.;name;Populus ×canescens (Aiton) Sm.;Populus alba;ecoflora
Populus x canescens (Aiton) Sm.;name;Populus ×canescens (Aiton) Sm.;Populus tremula;ecoflora
Populus x berolinensis (K. Koch) Dippel;name;Populus ×berolinensis (K. Koch) Dippel;Populus nigra;ecoflora
Populus x berolinensis (K. Koch) Dippel;name;Populus ×berolinensis (K. Koch) Dippel;Populus laurifolia;ecoflora
Populus x canadensis Moench;name;Populus ×canadensis Moench;Populus nigra;ecoflora
Populus x canadensis Moench;name;Populus ×canadensis Moench;Populus deltoides;ecoflora
Populus x generosa A. Henry;name;Populus ×generosa A. Henry;Populus trichocarpa;ecoflora
Populus x generosa A. Henry;name;Populus ×generosa A. Henry;Populus deltoides;ecoflora
Populus x jackii Sarg.;name;Populus ×jackii Sarg.;Populus balsamifera;ecoflora
Populus x jackii Sarg.;name;Populus ×jackii Sarg.;Populus deltoides;ecoflora
Populus x jackii x P. nigra;name;Populus ×jackii × P. nigra;Populus × jackii;ecoflora
Populus x jackii x P. nigra;name;Populus ×jackii × P. nigra;Populus nigra;ecoflora
Prunella x intermedia Link;name;Prunella ×intermedia Link;Prunella vulgaris;ecoflora
Prunella x intermedia Link;name;Prunella ×intermedia Link;Prunella laciniata;ecoflora
Prunus x fruticans Weihe;name;Prunus ×fruticans Weihe;Prunus spinosa;ecoflora
Prunus x fruticans Weihe;name;Prunus ×fruticans Weihe;Prunus domestica;ecoflora
Qercus x crenata Lam.;name;Qercus ×crenata Lam.;Quercus cerris;ecoflora
Qercus x crenata Lam.;name;Qercus ×crenata Lam.;Qercus suber;ecoflora
Quercus cerris x robur;formula;Quercus cerris × robur;Quercus cerris;ecoflora
Quercus cerris x robur;formula;Quercus cerris × robur;Quercus robur;ecoflora
Raphanus x micranthus (Uechtr.) O.E. Schulz;name;Raphanus ×micranthus (Uechtr.) O.E. Schulz;Raphanus raphanistrum;ecoflora
Raphanus x micranthus (Uechtr.) O.E. Schulz;name;Raphanus ×micranthus (Uechtr.) O.E. Schulz;Raphanus sativus;ecoflora
Rheum x hybridum Murray;name;Rheum ×hybridum Murray;Rheum palmatum;ecoflora
Rheum x hybridum Murray;name;Rheum ×hybridum Murray;Rheum rhaponticum;ecoflora
Rorippa x armoracioides (Tausch) Fuss;name;Rorippa ×armoracioides (Tausch) Fuss;Rorippa sylvestris;ecoflora
Rorippa x armoracioides (Tausch) Fuss;name;Rorippa ×armoracioides (Tausch) Fuss;Rorippa austriaca;ecoflora
Rorippa x hungarica Borbás;name;Rorippa ×hungarica Borbás;Rorippa amphibia;ecoflora
Rorippa x hungarica Borbás;name;Rorippa ×hungarica Borbás;Rorippa austriaca;ecoflora
Rosa x alba L.;name;Rosa ×alba L.;Rosa arvensis;ecoflora
Rosa x alba L.;name;Rosa ×alba L.;Rosa gallica;ecoflora
Rosa x paulii Rehder;name;Rosa ×paulii Rehder;Rosa arvensis;ecoflora
Rosa x paulii Rehder;name;Rosa ×paulii Rehder;Rosa rugosa;ecoflora
Rosa x praegeri Wolley-Dod;name;Rosa ×praegeri Wolley-Dod;Rosa rugosa;ecoflora
Rosa x praegeri Wolley-Dod;name;Rosa ×praegeri Wolley-Dod;Rosa canina;ecoflora
Rubus x fraseri Rehder;name;Rubus ×fraseri Rehder;Rubus odoratus;ecoflora
Rubus x fraseri Rehder;name;Rubus ×fraseri Rehder;Rubus parviflorus;ecoflora
Rubus x paxii Focke;name;Rubus ×paxii Focke;Rubus idaeus;ecoflora
Rubus x paxii Focke;name;Rubus ×paxii Focke;Rubus phoenicolasius;ecoflora
Rumex cristatus x conglomeratus;formula;Rumex cristatus × conglomeratus;Rumex cristatus;ecoflora
Rumex cristatus x conglomeratus;formula;Rumex cristatus × conglomeratus;Rumex conglomeratus;ecoflora
Rumex patientia x conglomeratus;formula;Rumex patientia × conglomeratus;Rumex patientia;ecoflora
Rumex patientia x conglomeratus;formula;Rumex patientia × conglomeratus;Rumex conglomeratus;ecoflora
Rumex x akeroydii Rumsey;name;Rumex ×akeroydii Rumsey;Rumex cristatus;ecoflora
Rumex x akeroydii Rumsey;name;Rumex ×akeroydii Rumsey;Rumex palustris;ecoflora
Rumex x borbasii Blocki;name;Rumex ×borbasii Blocki;Rumex confertus;ecoflora
Rumex x borbasii Blocki;name;Rumex ×borbasii Blocki;Rumex obtusifolius;ecoflora
Rumex x confusus Simonk;name;Rumex ×confusus Simonk;Rumex patientia;ecoflora
Rumex x confusus Simonk;name;Rumex ×confusus Simonk;Rumex crispus;ecoflora
Rumex x cornubiensis Holyoak;name;Rumex ×cornubiensis Holyoak;Rumex frutescens;ecoflora
Rumex x cornubiensis Holyoak;name;Rumex ×cornubiensis Holyoak;Rumex obtusifolius;ecoflora
Rumex x dimidiatus Hausskn.;name;Rumex ×dimidiatus Hausskn.;Rumex cristatus;ecoflora
Rumex x dimidiatus Hausskn.;name;Rumex ×dimidiatus Hausskn.;Rumex crispus;ecoflora
Rumex x erubescens Simonk.;name;Rumex ×erubescens Simonk.;Rumex patientia;ecoflora
Rumex x erubescens Simonk.;name;Rumex ×erubescens Simonk.;Rumex obtusifolius;ecoflora
Rumex x lousleyi D.H. Kent;name;Rumex ×lousleyi D.H. Kent;Rumex cristatus;ecoflora
Rumex x lousleyi D.H. Kent;name;Rumex ×lousleyi D.H. Kent;Rumex obtusifolius;ecoflora
Rumex x skofitzii Blocki;name;Rumex ×skofitzii Blocki;Rumex confertus;ecoflora
Rumex x skofitzii Blocki;name;Rumex ×skofitzii Blocki;Rumex crispus;ecoflora
Sagina x normaniana Lagerh.;name;Sagina ×normaniana Lagerh.;Sagina saginoides;ecoflora
Sagina x normaniana Lagerh.;name;Sagina ×normaniana Lagerh.;Sagina procumbens;ecoflora
Salix x alopecuroides Tausch ex Opiz;name;Salix ×alopecuroides Tausch ex Opiz;Salix fragilis;ecoflora
Salix x alopecuroides Tausch ex Opiz;name;Salix ×alopecuroides Tausch ex Opiz;Salix triandra;ecoflora
Salix x angusensis Rech. f.;name;Salix ×angusensis Rech. f.;Salix viminalis;ecoflora
Salix x angusensis Rech. f.;name;Salix ×angusensis Rech. f.;Salix cinerea;ecoflora
Salix x angusensis Rech. f.;name;Salix ×angusensis Rech. f.;Salix repens;ecoflora
Salix x calodendron Wimm;name;Salix ×calodendron Wimm;Salix viminalis;ecoflora
Salix x calodendron Wimm;name;Salix ×calodendron Wimm;Salix caprea;ecoflora
Salix x calodendron Wimm;name;Salix ×calodendron Wimm;Salix cinerea;ecoflora
Salix x ehrhartiana Sm.;name;Salix ×ehrhartiana Sm.;Salix pentandra;ecoflora
Salix x ehrhartiana Sm.;name;Salix ×ehrhartiana Sm.;Salix alba;ecoflora
Salix x forbyana Sm.;name;Salix ×forbyana Sm.;Salix purpurea;ecoflora
Salix x forbyana Sm.;name;Salix ×forbyana Sm.;Salix viminalis;ecoflora
Salix x forbyana Sm.;name;Salix ×forbyana Sm.;Salix cinerea;ecoflora
Salix x friesiana Andersson;name;Salix ×friesiana Andersson;Salix viminalis;ecoflora
Salix x friesiana Andersson;name;Salix ×friesiana Andersson;Salix repens;ecoflora
Salix x fruticosa Döll;name;Salix ×fruticosa Döll;Salix viminalis;ecoflora
Salix x fruticosa Döll;name;Salix ×fruticosa Döll;Salix aurita;ecoflora
Salix x hirtii Strähler;name;Salix ×hirtii Strähler;Salix viminalis;ecoflora
Salix x hirtii Strähler;name;Salix ×hirtii Strähler;Salix cinerea;ecoflora
Salix x hirtii Strähler;name;Salix ×hirtii Strähler;Salix aurita;ecoflora
Salix x holosericea Willd.;name;Salix ×holosericea Willd.;Salix viminalis;ecoflora
Salix x holosericea Willd.;name;Salix ×holosericea Willd.;Salix cinerea;ecoflora
Salix x meyeriana Rostk. ex Willd.;name;Salix ×meyeriana Rostk. ex Willd.;Salix pentandra;ecoflora
Salix x meyeriana Rostk. ex Willd.;name;Salix ×meyeriana Rostk. ex Willd.;Salix fragilis;ecoflora
Salix x mollissima Hoffm. ex Elwert;name;Salix ×mollissima Hoffm. ex Elwert;Salix triandra;ecoflora
Salix x mollissima Hoffm. ex Elwert;name;Salix ×mollissima Hoffm. ex Elwert;Salix viminalis;ecoflora
Salix x pendulina Wender;name;Salix ×pendulina Wender;Salix fragilis;ecoflora
Salix x pendulina Wender;name;Salix ×pendulina Wender;Salix babylonica;ecoflora
Salix x rubens Schrank;name;Salix ×rubens Schrank;Salix fragilis;ecoflora
Salix x rubens Schrank;name;Salix ×rubens Schrank;Salix alba;ecoflora
Salix x rubra Huds.;name;Salix ×rubra Huds.;Salix purpurea;ecoflora
Salix x rubra Huds.;name;Salix ×rubra Huds.;Salix viminalis;ecoflora
Salix x seminigricans E.G. Camus & A. Camus;name;Salix ×seminigricans E.G. Camus & A. Camus;Salix viminalis;ecoflora
Salix x seminigricans E.G. Camus & A. Camus;name;Salix ×seminigricans E.G. Camus & A. Camus;Salix myrsinifolia;ecoflora
Salix x sepulcralis Simonk.;name;Salix ×sepulcralis Simonk.;Salix alba;ecoflora
Salix x sepulcralis Simonk.;name;Salix ×sepulcralis Simonk.;Salix babylonica;ecoflora
Salix x smithiana Willd.;name;Salix ×smithiana Willd.;Salix viminalis;ecoflora
Salix x smithiana Willd.;name;Salix ×smithiana Willd.;Salix caprea;ecoflora
Salix x stipularis Sm.;name;Salix ×stipularis Sm.;Salix viminalis;ecoflora
Salix x stipularis Sm.;name;Salix ×stipularis Sm.;Salix caprea;ecoflora
Salix x stipularis Sm.;name;Salix ×stipularis Sm.;Salix aurita;ecoflora
Salix x taylorii Rech. f.;name;Salix ×taylorii Rech. f.;Salix purpurea;ecoflora
Salix x taylorii Rech. f.;name;Salix ×taylorii Rech. f.;Salix viminalis;ecoflora
Salix x taylorii Rech. f.;name;Salix ×taylorii Rech. f.;Salix caprea;ecoflora
Salix x taylorii Rech. f.;name;Salix ×taylorii Rech. f.;Salix cinerea;ecoflora
Saxifraga x geum L.;name;Saxifraga ×geum L.;Saxifraga umbrosa;ecoflora
Saxifraga x geum L.;name;Saxifraga ×geum L.;Saxifraga hirsuta;ecoflora
Saxifraga x polita (Haw.) Link;name;Saxifraga ×polita (Haw.) Link;Saxifraga spathularis;ecoflora
Saxifraga x polita (Haw.) Link;name;Saxifraga ×polita (Haw.) Link;Saxifraga hirsuta;ecoflora
Saxifraga x urbium D.A. Webb;name;Saxifraga ×urbium D.A. Webb;Saxifraga umbrosa;ecoflora
Saxifraga x urbium D.A. Webb;name;Saxifraga ×urbium D.A. Webb;Saxifraga spathularis;ecoflora
Senecio x albescens Burb. & Colgan;name;Senecio ×albescens Burb. & Colgan;Senecio cineraria;ecoflora
Senecio x albescens Burb. & Colgan;name;Senecio ×albescens Burb. & Colgan;Senecio jacobaea;ecoflora
Senecio x baxteri Druce;name;Senecio ×baxteri Druce;Senecio squalidus;ecoflora
Senecio x baxteri Druce;name;Senecio ×baxteri Druce;Senecio vulgaris;ecoflora
Senecio x helwingii Beger ex Hegi;name;Senecio ×helwingii Beger ex Hegi;Senecio vulgaris;ecoflora
Senecio x helwingii Beger ex Hegi;name;Senecio ×helwingii Beger ex Hegi;Senecio vernalis;ecoflora
Senecio x subnebrodensis Simonk.;name;Senecio ×subnebrodensis Simonk.;Senecio squalidus;ecoflora
Senecio x subnebrodensis Simonk.;name;Senecio ×subnebrodensis Simonk.;Senecio viscosus;ecoflora
Senecio x thuretii Briq. & Cavill.;name;Senecio ×thuretii Briq. & Cavill.;Senecio cineraria;ecoflora
Senecio x thuretii Briq. & Cavill.;name;Senecio ×thuretii Briq. & Cavill.;Senecio erucifolius;ecoflora
Senecio x viscidulus Scheele;name;Senecio ×viscidulus Scheele;Senecio sylvaticus;ecoflora
Senecio x viscidulus Scheele;name;Senecio ×viscidulus Scheele;Senecio viscosus;ecoflora
Silene x hampeana Meusel & K. Werner;name;Silene ×hampeana Meusel & K. Werner;Silene latifolia;ecoflora
Silene x hampeana Meusel & K. Werner;name;Silene ×hampeana Meusel & K. Werner;Silene dioica;ecoflora
Solanum x procurrens A.C. Leslie;name;Solanum ×procurrens A.C. Leslie;Solanum nigrum;ecoflora
Solanum x procurrens A.C. Leslie;name;Solanum ×procurrens A.C. Leslie;Solanum physalifolium;ecoflora
Solidago x niederederi Khek;name;Solidago ×niederederi Khek;Solidago virgaurea;ecoflora
Solidago x niederederi Khek;name;Solidago ×niederederi Khek;Solidago canadensis;ecoflora
Sorbus aucuparia x intermedia;formula;Sorbus aucuparia × intermedia;Sorbus aucuparia;ecoflora
Sorbus aucuparia x intermedia;formula;Sorbus aucuparia × intermedia;Sorbus intermedia;ecoflora
Spartina x townsendii H. Groves & J. Groves;name;Spartina ×townsendii H. Groves & J. Groves;Spartina maritima;ecoflora
Spartina x townsendii H. Groves & J. Groves;name;Spartina ×townsendii H. Groves & J. Groves;Spartina alterniflora;ecoflora
Spiraea x arguta Zabel;name;Spiraea ×arguta Zabel;Spiraea multiflora;ecoflora
Spiraea x arguta Zabel;name;Spiraea ×arguta Zabel;Spiraea thunbergii;ecoflora
Spiraea x billardii Hérincq;name;Spiraea ×billardii Hérincq;Spiraea alba;ecoflora
Spiraea x billardii Hérincq;name;Spiraea ×billardii Hérincq;Spiraea douglasii;ecoflora
Spiraea x brachybotrys Lange;name;Spiraea ×brachybotrys Lange;Spiraea douglasii;ecoflora
Spiraea x brachybotrys Lange;name;Spiraea ×brachybotrys Lange;Spiraea canescens;ecoflora
Spiraea x pseudosalicifolia Silverside;name;Spiraea ×pseudosalicifolia Silverside;Spiraea salicifolia;ecoflora
Spiraea x pseudosalicifolia Silverside;name;Spiraea ×pseudosalicifolia Silverside;Spiraea douglasii;ecoflora
Spiraea x rosalba Dippel;name;Spiraea ×rosalba Dippel;Spiraea salicifolia;ecoflora
Spiraea x rosalba Dippel;name;Spiraea ×rosalba Dippel;Spiraea alba;ecoflora
Spiraea x vanhouttei (Briot) Carrière;name;Spiraea ×vanhouttei (Briot) Carrière;Spiraea cantoniensis;ecoflora
Spiraea x vanhouttei (Briot) Carrière;name;Spiraea ×vanhouttei (Briot) Carrière;Spiraea trilobata;ecoflora
Symphoricarpos x chenaultii Rehder;name;Symphoricarpos ×chenaultii Rehder;Symphoricarpos microphyllus;ecoflora
Symphoricarpos x chenaultii Rehder;name;Symphoricarpos ×chenaultii Rehder;Symphoricarpos orbiculatus;ecoflora
Symphytum officinale x asperum x tuberosum;formula;Symphytum officinale × asperum × tuberosum;Symphytum officinale;ecoflora
Symphytum officinale x asperum x tuberosum;formula;Symphytum officinale × asperum × tuberosum;Symphytum asperum;ecoflora
Symphytum officinale x asperum x tuberosum;formula;Symphytum officinale × asperum × tuberosum;Symphytum tuberosum;ecoflora
Symphytum x uplandicum Nyman;name;Symphytum ×uplandicum Nyman;Symphytum officinale;ecoflora
Symphytum x uplandicum Nyman;name;Symphytum ×uplandicum Nyman;Symphytum asperum;ecoflora
Tilia x europaea L;name;Tilia ×europaea L;Tilia platyphyllos;ecoflora
Tilia x europaea L;name;Tilia ×europaea L;Tilia cordata;ecoflora
Tragopogon x mirabilis Rouy;name;Tragopogon ×mirabilis Rouy;Tragopogon pratensis;ecoflora
Tragopogon x mirabilis Rouy;name;Tragopogon ×mirabilis Rouy;Tragopogon porrifolius;ecoflora
Tripleurospermum maritimum x inodorum;formula;Tripleurospermum maritimum × inodorum;Tripleurospermum maritimum;ecoflora
Tripleurospermum maritimum x inodorum;formula;Tripleurospermum maritimum × inodorum;Tripleurospermum inodorum;ecoflora
Verbascum pyramidatum x nigrum;formula;Verbascum pyramidatum × nigrum;Verbascum pyramidatum;ecoflora
Verbascum pyramidatum x nigrum;formula;Verbascum pyramidatum × nigrum;Verbascum nigrum;ecoflora
Verbascum pyramidatum x thapsus;formula;Verbascum pyramidatum × thapsus;Verbascum pyramidatum;ecoflora
Verbascum pyramidatum x thapsus;formula;Verbascum pyramidatum × thapsus;Verbascum thapsus;ecoflora
Verbascum x duernsteinense Teyber;name;Verbascum ×duernsteinense Teyber;Verbascum thapsus;ecoflora
Verbascum x duernsteinense Teyber;name;Verbascum ×duernsteinense Teyber;Verbascum speciosum;ecoflora
Verbascum x intermedium Rupr. ex Bercht. & Pfund;name;Verbascum ×intermedium Rupr. ex Bercht. & Pfund;Verbascum blattaria;ecoflora
Verbascum x intermedium Rupr. ex Bercht. & Pfund;name;Verbascum ×intermedium Rupr. ex Bercht. & Pfund;Verbascum nigrum;ecoflora
Verbascum x kerneri Fritsch;name;Verbascum ×kerneri Fritsch;Verbascum phlomoides;ecoflora
Verbascum x kerneri Fritsch;name;Verbascum ×kerneri Fritsch;Verbascum thapsus;ecoflora
Verbascum x lemaitrei Boreau;name;Verbascum ×lemaitrei Boreau;Verbascum virgatum;ecoflora
Verbascum x lemaitrei Boreau;name;Verbascum ×lemaitrei Boreau;Verbascum thapsus;ecoflora
Veronica longifolia x spicata;formula;Veronica longifolia × spicata;Veronica longifolia;ecoflora
Veronica longifolia x spicata;formula;Veronica longifolia × spicata;Veronica spicata;ecoflora
Viburnum x rhytidophylloides J.V. Suringar;name;Viburnum ×rhytidophylloides J.V. Suringar;Viburnum lantana;ecoflora
Viburnum x rhytidophylloides J.V. Suringar;name;Viburnum ×rhytidophylloides J.V. Suringar;Viburnum rhytidophyllum;ecoflora
Viola x wittrockiana Gams ex Kappert;name;Viola ×wittrockiana Gams ex Kappert;Viola lutea;ecoflora
Viola x wittrockiana Gams ex Kappert;name;Viola ×wittrockiana Gams ex Kappert;Viola tricolor;ecoflora
Viola x wittrockiana Gams ex Kappert;name;Viola ×wittrockiana Gams ex Kappert;Viola altaica;ecoflora
X Agropogon robinsonii (Druce) Melderis & D.C. McClint.;name;×Agropogon robinsonii (Druce) Melderis & D.C. McClint.;Agrostis stolonifera;ecoflora
X Agropogon robinsonii (Druce) Melderis & D.C. McClint.;name;×Agropogon robinsonii (Druce) Melderis & D.C. McClint.;Polypogon viridis;ecoflora
X Conyzigeron huelsenii (Vatke) Rauschert;name;×Conyzigeron huelsenii (Vatke) Rauschert;Erigeron acer;ecoflora
X Conyzigeron huelsenii (Vatke) Rauschert;name;×Conyzigeron huelsenii (Vatke) Rauschert;Conyza canadensis;ecoflora
X Crataemespilus grandiflora (Sm.) E.G. Camus;name;×Crataemespilus grandiflora (Sm.) E.G. Camus;Mespilus germanica;ecoflora
X Crataemespilus grandiflora (Sm.) E.G. Camus;name;×Crataemespilus grandiflora (Sm.) E.G. Camus;Crataegus laevigata;ecoflora
X Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;name;×Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;Cupressus macrocarpa;ecoflora
X Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;name;×Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;Xanthocyparis nootkatensis;ecoflora
X Festulolium braunii (K. Richt.) A. Camus;name;×Festulolium braunii (K. Richt.) A. Camus;Festuca pratensis;ecoflora
X Festulolium braunii (K. Richt.) A. Camus;name;×Festulolium braunii (K. Richt.) A. Camus;Lolium multiflorum;ecoflora
Circaea x intermedia Ehrh.;name;Circaea ×intermedia Ehrh.;NA;ecoflora
Freesia x hybrida L.H. Bailey;name;Freesia ×hybrida L.H. Bailey;NA;ecoflora
Mentha x villosa Huds.;name;Mentha ×villosa Huds.;NA;ecoflora
