verbatim;source;edited;type;parent
Amaranthus powellii × retroflexus;florkart;Amaranthus powellii × retroflexus;formula;Amaranthus powellii
Amaranthus powellii × retroflexus;florkart;Amaranthus powellii × retroflexus;formula;Amaranthus retroflexus
Amelanchier grandiflora Rehder;florkart;Amelanchier grandiflora Rehder;formula;NA
Calammophila baltica (Flüggé ex Schrad.) Brand;florkart;Calammophila baltica (Flüggé ex Schrad.) Brand;formula;NA
Orchis × morioides Brand;florkart;Orchis ×morioides Brand;name;NA
Anemone × hybrida Paxton;florkart;Anemone ×hybrida Paxton;name;NA
Anemone nemorosa × ranunculoides;florkart;Anemone nemorosa × ranunculoides;formula;Anemone nemorosa
Anemone nemorosa × ranunculoides;florkart;Anemone nemorosa × ranunculoides;formula;Anemone ranunculoides
Anthemis arvensis × tinctoria;florkart;Anthemis arvensis × tinctoria;formula;Anthemis arvensis
Anthemis arvensis × tinctoria;florkart;Anthemis arvensis × tinctoria;formula;Anthemis tinctoria
Anthemis cotula × tictoria;florkart;Anthemis cotula × tictoria;formula;Anthemis cotula
Anthemis cotula × tictoria;florkart;Anthemis cotula × tictoria;formula;Anthemis tictoria
Anthemis × ochroleuca Čelak.;florkart;Anthemis ×ochroleuca Čelak.;name;NA
Anthemis ruthenica × tinctoria;florkart;Anthemis ruthenica × tinctoria;formula;Anthemis ruthenica
Anthemis ruthenica × tinctoria;florkart;Anthemis ruthenica × tinctoria;formula;Anthemis tinctoria
Anthericum × confusum;florkart;Anthericum ×confusum;name;NA
Arctium × ambiguum (Čelak.) Nyman;florkart;Arctium ×ambiguum (Čelak.) Nyman;name;NA
Arctium × cimbricum;florkart;Arctium ×cimbricum;name;NA
Arctium minus × nemorosum;florkart;Arctium minus × nemorosum;formula;Arctium minus
Arctium minus × nemorosum;florkart;Arctium minus × nemorosum;formula;Arctium nemorosum
Arctium minus × tomentosum;florkart;Arctium minus × tomentosum;formula;Arctium minus
Arctium minus × tomentosum;florkart;Arctium minus × tomentosum;formula;Arctium tomentosum
Arctium nemorosum × tomentosum;florkart;Arctium nemorosum × tomentosum;formula;Arctium nemorosum
Arctium nemorosum × tomentosum;florkart;Arctium nemorosum × tomentosum;formula;Arctium tomentosum
Arctium lappa × minus;florkart;Arctium lappa × minus;formula;Arctium lappa
Arctium lappa × minus;florkart;Arctium lappa × minus;formula;Arctium minus
Sorbus aria × mougeotii;florkart;Sorbus aria × mougeotii;formula;Sorbus aria
Sorbus aria × mougeotii;florkart;Sorbus aria × mougeotii;formula;Sorbus mougeotii
