verbatim;source;edited;type;parent
Dactylorhiza maculata × sambucina;florkart;Dactylorhiza maculata × sambucina;formula;Dactylorhiza maculata
Dactylorhiza maculata × sambucina;florkart;Dactylorhiza maculata × sambucina;formula;Dactylorhiza sambucina
Dactylorhiza maculata × traunsteineri;florkart;Dactylorhiza maculata × traunsteineri;formula;Dactylorhiza maculata
Dactylorhiza maculata × traunsteineri;florkart;Dactylorhiza maculata × traunsteineri;formula;Dactylorhiza traunsteineri
Dactylorhiza sphagnicola (Höppner) Soó;florkart;Dactylorhiza sphagnicola (Höppner) Soó;formula;NA
Dactylorhiza majalis × Gymnadenia conopsea;florkart;Dactylorhiza majalis × Gymnadenia conopsea;formula;Dactylorhiza majalis
Dactylorhiza majalis × Gymnadenia conopsea;florkart;Dactylorhiza majalis × Gymnadenia conopsea;formula;Gymnadenia conopsea
Dactylorhiza majalis × ochroleuca;florkart;Dactylorhiza majalis × ochroleuca;formula;Dactylorhiza majalis
Dactylorhiza majalis × ochroleuca;florkart;Dactylorhiza majalis × ochroleuca;formula;Dactylorhiza ochroleuca
Dactylorhiza majalis × Orchis mascula;florkart;Dactylorhiza majalis × Orchis mascula;formula;Dactylorhiza majalis
Dactylorhiza majalis × Orchis mascula;florkart;Dactylorhiza majalis × Orchis mascula;formula;Orchis mascula
Dactylorhiza majalis × Orchis morio;florkart;Dactylorhiza majalis × Orchis morio;formula;Dactylorhiza majalis
Dactylorhiza majalis × Orchis morio;florkart;Dactylorhiza majalis × Orchis morio;formula;Orchis morio
Dactylorhiza majalis × Orchis palustris;florkart;Dactylorhiza majalis × Orchis palustris;formula;Dactylorhiza majalis
Dactylorhiza majalis × Orchis palustris;florkart;Dactylorhiza majalis × Orchis palustris;formula;Orchis palustris
Dactylorhiza majalis × sambucina;florkart;Dactylorhiza majalis × sambucina;formula;Dactylorhiza majalis
Dactylorhiza majalis × sambucina;florkart;Dactylorhiza majalis × sambucina;formula;Dactylorhiza sambucina
Dactylorhiza ruthei (M. Schulze ex R. Ruthe) Soó;florkart;Dactylorhiza ruthei (M. Schulze ex R. Ruthe) Soó;formula;NA
Dactylorhiza traunsteineri × Orchis mascula;florkart;Dactylorhiza traunsteineri × Orchis mascula;formula;Dactylorhiza traunsteineri
Dactylorhiza traunsteineri × Orchis mascula;florkart;Dactylorhiza traunsteineri × Orchis mascula;formula;Orchis mascula
Dactylorhiza × vermeuleniana Soó;florkart;Dactylorhiza ×vermeuleniana Soó;name;NA
Dahlia hortensis;florkart;Dahlia hortensis;formula;NA
Daphne burkwoodii Turrill;florkart;Daphne burkwoodii Turrill;formula;NA
Delphinium cultorum Voss;florkart;Delphinium cultorum Voss;formula;NA
Deutzia hybrida Lemoine;florkart;Deutzia hybrida Lemoine;formula;NA
Deutzia × magnifica (Lemoine) Rehder;florkart;Deutzia ×magnifica (Lemoine) Rehder;name;NA
Dianthus arenarius × carthusianorum;florkart;Dianthus arenarius × carthusianorum;formula;Dianthus arenarius
Dianthus arenarius × carthusianorum;florkart;Dianthus arenarius × carthusianorum;formula;Dianthus carthusianorum
Dianthus armeria × superbus;florkart;Dianthus armeria × superbus;formula;Dianthus armeria
Dianthus armeria × superbus;florkart;Dianthus armeria × superbus;formula;Dianthus superbus
Dianthus barbatus × deltoides;florkart;Dianthus barbatus × deltoides;formula;Dianthus barbatus
Dianthus barbatus × deltoides;florkart;Dianthus barbatus × deltoides;formula;Dianthus deltoides
Dianthus barbatus × superbus;florkart;Dianthus barbatus × superbus;formula;Dianthus barbatus
Dianthus barbatus × superbus;florkart;Dianthus barbatus × superbus;formula;Dianthus superbus
Dianthus carthusianorum × deltoides;florkart;Dianthus carthusianorum × deltoides;formula;Dianthus carthusianorum
Dianthus carthusianorum × deltoides;florkart;Dianthus carthusianorum × deltoides;formula;Dianthus deltoides
Dianthus carthusianorum × seguieri;florkart;Dianthus carthusianorum × seguieri;formula;Dianthus carthusianorum
Dianthus carthusianorum × seguieri;florkart;Dianthus carthusianorum × seguieri;formula;Dianthus seguieri
Dianthus × hellwigii Asch.;florkart;Dianthus ×hellwigii Asch.;name;NA
Dianthus deltoides × superbus;florkart;Dianthus deltoides × superbus;formula;Dianthus deltoides
Dianthus deltoides × superbus;florkart;Dianthus deltoides × superbus;formula;Dianthus superbus
Digitalis × fulva;florkart;Digitalis ×fulva;name;NA
Digitalis × media;florkart;Digitalis ×media;name;NA
Digitalis × purpurascens;florkart;Digitalis ×purpurascens;name;NA
Diphasiastrum issleri (Rouy) Holub;florkart;Diphasiastrum issleri (Rouy) Holub;formula;NA
Diphasiastrum oellgaardii Stoor, Boudry, Jérôme, K. Horn & Bennert;florkart;Diphasiastrum oellgaardii Stoor, Boudry, Jérôme, K. Horn & Bennert;formula;NA
Diphasiastrum zeilleri (Rouy) Holub;florkart;Diphasiastrum zeilleri (Rouy) Holub;formula;NA
Dipsacus fullonum × laciniatus;florkart;Dipsacus fullonum × laciniatus;formula;Dipsacus fullonum
Dipsacus fullonum × laciniatus;florkart;Dipsacus fullonum × laciniatus;formula;Dipsacus laciniatus
Doronicum × willdenowii (Rouy) A. W. Hill;florkart;Doronicum ×willdenowii (Rouy) A. W. Hill;name;NA
Drosera anglica × intermedia;florkart;Drosera anglica × intermedia;formula;Drosera anglica
Drosera anglica × intermedia;florkart;Drosera anglica × intermedia;formula;Drosera intermedia
Drosera intermedia × rotundifolia;florkart;Drosera intermedia × rotundifolia;formula;Drosera intermedia
Drosera intermedia × rotundifolia;florkart;Drosera intermedia × rotundifolia;formula;Drosera rotundifolia
Drosera × obovata Mert. & W. D. J. Koch;florkart;Drosera ×obovata Mert. & W. D. J. Koch;name;NA
Dryopteris carthusiana × remota;florkart;Dryopteris carthusiana × remota;formula;Dryopteris carthusiana
Dryopteris carthusiana × remota;florkart;Dryopteris carthusiana × remota;formula;Dryopteris remota
Dryopteris dilatata × expansa;florkart;Dryopteris dilatata × expansa;formula;Dryopteris dilatata
Dryopteris dilatata × expansa;florkart;Dryopteris dilatata × expansa;formula;Dryopteris expansa
Dryopteris carthusiana × filix-mas;florkart;Dryopteris carthusiana × filix-mas;formula;Dryopteris carthusiana
Dryopteris carthusiana × filix-mas;florkart;Dryopteris carthusiana × filix-mas;formula;Dryopteris filix-mas
Dryopteris filix-mas × pseudodisjuncta;florkart;Dryopteris filix-mas × pseudodisjuncta;formula;Dryopteris filix-mas
Dryopteris filix-mas × pseudodisjuncta;florkart;Dryopteris filix-mas × pseudodisjuncta;formula;Dryopteris pseudodisjuncta
Dryopteris × complexa Fraser-Jenk.;florkart;Dryopteris ×complexa Fraser-Jenk.;name;NA
Dryopteris cambrensis × filix-mas;florkart;Dryopteris cambrensis × filix-mas;formula;Dryopteris cambrensis
Dryopteris cambrensis × filix-mas;florkart;Dryopteris cambrensis × filix-mas;formula;Dryopteris filix-mas
Dryopteris borreri × filix-mas;florkart;Dryopteris borreri × filix-mas;formula;Dryopteris borreri
Dryopteris borreri × filix-mas;florkart;Dryopteris borreri × filix-mas;formula;Dryopteris filix-mas
Dryopteris × deweveri (J. T. Jansen) Jansen & Wacht.;florkart;Dryopteris ×deweveri (J. T. Jansen) Jansen & Wacht.;name;NA
Dryopteris carthusiana × expansa;florkart;Dryopteris carthusiana × expansa;formula;Dryopteris carthusiana
Dryopteris carthusiana × expansa;florkart;Dryopteris carthusiana × expansa;formula;Dryopteris expansa
Dryopteris × uliginosa (A. Braun) Druce;florkart;Dryopteris ×uliginosa (A. Braun) Druce;name;NA
Echinops × pellezianus Hügin & Lohmeyer;florkart;Echinops ×pellezianus Hügin & Lohmeyer;name;NA
Elyleymus bergrothii (H. Lindb.) Conert;florkart;Elyleymus bergrothii (H. Lindb.) Conert;formula;NA
Elyleymus strictus (Dethard. ex Rchb.) Conert;florkart;Elyleymus strictus (Dethard. ex Rchb.) Conert;formula;NA
Elymus aenaeanus × laxulus;florkart;Elymus aenaeanus × laxulus;formula;Elymus aenaeanus
Elymus aenaeanus × laxulus;florkart;Elymus aenaeanus × laxulus;formula;Elymus laxulus
Elymus aenaeanus × repens;florkart;Elymus aenaeanus × repens;formula;Elymus aenaeanus
Elymus aenaeanus × repens;florkart;Elymus aenaeanus × repens;formula;Elymus repens
Elymus campestris × repens;florkart;Elymus campestris × repens;formula;Elymus campestris
Elymus campestris × repens;florkart;Elymus campestris × repens;formula;Elymus repens
Elymus drucei (Stace) Lambinon;florkart;Elymus drucei (Stace) Lambinon;formula;NA
Elymus laxulus × repens;florkart;Elymus laxulus × repens;formula;Elymus laxulus
Elymus laxulus × repens;florkart;Elymus laxulus × repens;formula;Elymus repens
Elymus laxus (Fr.) Melderis & D. C. McClint.;florkart;Elymus laxus (Fr.) Melderis & D. C. McClint.;formula;NA
Elymus obtusiusculus (Lange) Melderis & D. C. McClint.;florkart;Elymus obtusiusculus (Lange) Melderis & D. C. McClint.;formula;NA
Epilobium × aggregatum Čelak.;florkart;Epilobium ×aggregatum Čelak.;name;NA
Epilobium × salicifolium Facchini;florkart;Epilobium ×salicifolium Facchini;name;NA
Epilobium × ambigens Hausskn.;florkart;Epilobium ×ambigens Hausskn.;name;NA
Epilobium × amphibolum Hausskn.;florkart;Epilobium ×amphibolum Hausskn.;name;NA
Epilobium × aschersonianum Hausskn.;florkart;Epilobium ×aschersonianum Hausskn.;name;NA
Epilobium × beckhausii;florkart;Epilobium ×beckhausii;name;NA
Epilobium × boissieri Hausskn.;florkart;Epilobium ×boissieri Hausskn.;name;NA
Epilobium roseum × tetragonum;florkart;Epilobium roseum × tetragonum;formula;Epilobium roseum
Epilobium roseum × tetragonum;florkart;Epilobium roseum × tetragonum;formula;Epilobium tetragonum
Epilobium × brachiatum Čelak.;florkart;Epilobium ×brachiatum Čelak.;name;NA
Epilobium × brevipilum;florkart;Epilobium ×brevipilum;name;NA
Epilobium × celakovskyanum Hausskn.;florkart;Epilobium ×celakovskyanum Hausskn.;name;NA
Epilobium ciliatum × hirsutum × parviflorum;florkart;Epilobium ciliatum × hirsutum × parviflorum;formula;Epilobium ciliatum
Epilobium ciliatum × hirsutum × parviflorum;florkart;Epilobium ciliatum × hirsutum × parviflorum;formula;Epilobium hirsutum
Epilobium ciliatum × hirsutum × parviflorum;florkart;Epilobium ciliatum × hirsutum × parviflorum;formula;Epilobium parviflorum
Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;florkart;Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;formula;Epilobium ciliatum
Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;florkart;Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;formula;Epilobium parviflorum
Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;florkart;Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;formula;Epilobium tetragonum subsp. tetragonum
Epilobium collinum × lanceolatum;florkart;Epilobium collinum × lanceolatum;formula;Epilobium collinum
Epilobium collinum × lanceolatum;florkart;Epilobium collinum × lanceolatum;formula;Epilobium lanceolatum
Epilobium collinum × palustre;florkart;Epilobium collinum × palustre;formula;Epilobium collinum
Epilobium collinum × palustre;florkart;Epilobium collinum × palustre;formula;Epilobium palustre
Epilobium × confine Hausskn.;florkart;Epilobium ×confine Hausskn.;name;NA
Epilobium × dacicum Borbás;florkart;Epilobium ×dacicum Borbás;name;NA
Epilobium × dasycarpum Fr.;florkart;Epilobium ×dasycarpum Fr.;name;NA
Epilobium × decipiens F. W. Schultz;florkart;Epilobium ×decipiens F. W. Schultz;name;NA
Epilobium × dufftii Hausskn.;florkart;Epilobium ×dufftii Hausskn.;name;NA
Epilobium × eriksonii Levl.;florkart;Epilobium ×eriksonii Levl.;name;NA
Epilobium × erroneum Hausskn.;florkart;Epilobium ×erroneum Hausskn.;name;NA
Epilobium × fallacinum Hausskn.;florkart;Epilobium ×fallacinum Hausskn.;name;NA
Epilobium × finitimum Hausskn.;florkart;Epilobium ×finitimum Hausskn.;name;NA
Epilobium ciliatum × parviflorum;florkart;Epilobium ciliatum × parviflorum;formula;Epilobium ciliatum
Epilobium ciliatum × parviflorum;florkart;Epilobium ciliatum × parviflorum;formula;Epilobium parviflorum
Epilobium ciliatum × palustre;florkart;Epilobium ciliatum × palustre;formula;Epilobium ciliatum
Epilobium ciliatum × palustre;florkart;Epilobium ciliatum × palustre;formula;Epilobium palustre
Epilobium × freyni Čelak.;florkart;Epilobium ×freyni Čelak.;name;NA
Epilobium × friburgense Thell.;florkart;Epilobium ×friburgense Thell.;name;NA
Epilobium × gemmiferum Boreau;florkart;Epilobium ×gemmiferum Boreau;name;NA
Epilobium × gerstlaueri Rubner;florkart;Epilobium ×gerstlaueri Rubner;name;NA
Epilobium × glanduligerum Knaf;florkart;Epilobium ×glanduligerum Knaf;name;NA
Epilobium × goerzii Rubner;florkart;Epilobium ×goerzii Rubner;name;NA
Epilobium × grenieri Rouy & Camus;florkart;Epilobium ×grenieri Rouy & Camus;name;NA
Epilobium × haussknechtianum Borbás;florkart;Epilobium ×haussknechtianum Borbás;name;NA
Epilobium × haynaldianum Hausskn.;florkart;Epilobium ×haynaldianum Hausskn.;name;NA
Epilobium × hectori-leveilleanum Thell.;florkart;Epilobium ×hectori-leveilleanum Thell.;name;NA
Epilobium montanum × roseum;florkart;Epilobium montanum × roseum;formula;Epilobium montanum
Epilobium montanum × roseum;florkart;Epilobium montanum × roseum;formula;Epilobium roseum
Epilobium hirsutum × lamyi;florkart;Epilobium hirsutum × lamyi;formula;Epilobium hirsutum
Epilobium hirsutum × lamyi;florkart;Epilobium hirsutum × lamyi;formula;Epilobium lamyi
Epilobium × huteri Borbás;florkart;Epilobium ×huteri Borbás;name;NA
Epilobium ciliatum × lamyi;florkart;Epilobium ciliatum × lamyi;formula;Epilobium ciliatum
Epilobium ciliatum × lamyi;florkart;Epilobium ciliatum × lamyi;formula;Epilobium lamyi
Epilobium ciliatum × montanum;florkart;Epilobium ciliatum × montanum;formula;Epilobium ciliatum
Epilobium ciliatum × montanum;florkart;Epilobium ciliatum × montanum;formula;Epilobium montanum
Epilobium × lamotteanum Hausskn.;florkart;Epilobium ×lamotteanum Hausskn.;name;NA
Epilobium × abortivum Hausskn.;florkart;Epilobium ×abortivum Hausskn.;name;NA
Epilobium × neogradense Hausskn.;florkart;Epilobium ×neogradense Hausskn.;name;NA
Epilobium × langeanum Hausskn.;florkart;Epilobium ×langeanum Hausskn.;name;NA
Epilobium × laschianum Hausskn.;florkart;Epilobium ×laschianum Hausskn.;name;NA
Epilobium × limosum Schur;florkart;Epilobium ×limosum Schur;name;NA
Epilobium ciliatum × tetragonum;florkart;Epilobium ciliatum × tetragonum;formula;Epilobium ciliatum
Epilobium ciliatum × tetragonum;florkart;Epilobium ciliatum × tetragonum;formula;Epilobium tetragonum
Epilobium × moillefarinei Levl.;florkart;Epilobium ×moillefarinei Levl.;name;NA
Epilobium × montaniforme Knaf;florkart;Epilobium ×montaniforme Knaf;name;NA
Epilobium × novae-civitatis;florkart;Epilobium ×novae-civitatis;name;NA
Epilobium ciliatum × roseum;florkart;Epilobium ciliatum × roseum;formula;Epilobium ciliatum
Epilobium ciliatum × roseum;florkart;Epilobium ciliatum × roseum;formula;Epilobium roseum
Epilobium × palatinum F. W. Schultz;florkart;Epilobium ×palatinum F. W. Schultz;name;NA
Epilobium × weissenburgiense F. W. Schultz;florkart;Epilobium ×weissenburgiense F. W. Schultz;name;NA
Epilobium × percollinum Simonk.;florkart;Epilobium ×percollinum Simonk.;name;NA
Epilobium × persicinum Rchb.;florkart;Epilobium ×persicinum Rchb.;name;NA
Epilobium × knafii Rubner;florkart;Epilobium ×knafii Rubner;name;NA
Epilobium × probstii Levl.;florkart;Epilobium ×probstii Levl.;name;NA
Epilobium × pseudotrigonum Borbás;florkart;Epilobium ×pseudotrigonum Borbás;name;NA
Epilobium × purpureum Fr.;florkart;Epilobium ×purpureum Fr.;name;NA
Epilobium × radoi Borbás;florkart;Epilobium ×radoi Borbás;name;NA
Epilobium × rivolicolum Hausskn.;florkart;Epilobium ×rivolicolum Hausskn.;name;NA
Epilobium × rivulare Wahlenb.;florkart;Epilobium ×rivulare Wahlenb.;name;NA
Epilobium obscurum × palustre;florkart;Epilobium obscurum × palustre;formula;Epilobium obscurum
Epilobium obscurum × palustre;florkart;Epilobium obscurum × palustre;formula;Epilobium palustre
Epilobium × schulzeanum Hausskn.;florkart;Epilobium ×schulzeanum Hausskn.;name;NA
Epilobium × semiobscurum Borbás;florkart;Epilobium ×semiobscurum Borbás;name;NA
Epilobium × subhirsutum Gennaris;florkart;Epilobium ×subhirsutum Gennaris;name;NA
Epilobium × similatum Hausskn.;florkart;Epilobium ×similatum Hausskn.;name;NA
Epilobium × thuringiacum Hausskn.;florkart;Epilobium ×thuringiacum Hausskn.;name;NA
Epilobium × uechtritzianum Pax;florkart;Epilobium ×uechtritzianum Pax;name;NA
Epilobium ciliatum × obscurum;florkart;Epilobium ciliatum × obscurum;formula;Epilobium ciliatum
Epilobium ciliatum × obscurum;florkart;Epilobium ciliatum × obscurum;formula;Epilobium obscurum
Epipactis atrorubens × microphylla;florkart;Epipactis atrorubens × microphylla;formula;Epipactis atrorubens
Epipactis atrorubens × microphylla;florkart;Epipactis atrorubens × microphylla;formula;Epipactis microphylla
Epipactis × gauckleri Weigelt & Riechelmann;florkart;Epipactis ×gauckleri Weigelt & Riechelmann;name;NA
Epipactis helleborine × microphylla;florkart;Epipactis helleborine × microphylla;formula;Epipactis helleborine
Epipactis helleborine × microphylla;florkart;Epipactis helleborine × microphylla;formula;Epipactis microphylla
Epipactis helleborine × muelleri;florkart;Epipactis helleborine × muelleri;formula;Epipactis helleborine
Epipactis helleborine × muelleri;florkart;Epipactis helleborine × muelleri;formula;Epipactis muelleri
Epipactis helleborine × purpurata;florkart;Epipactis helleborine × purpurata;formula;Epipactis helleborine
Epipactis helleborine × purpurata;florkart;Epipactis helleborine × purpurata;formula;Epipactis purpurata
Epipactis leptochila × muelleri;florkart;Epipactis leptochila × muelleri;formula;Epipactis leptochila
Epipactis leptochila × muelleri;florkart;Epipactis leptochila × muelleri;formula;Epipactis muelleri
Epipactis leptochila × purpurata;florkart;Epipactis leptochila × purpurata;formula;Epipactis leptochila
Epipactis leptochila × purpurata;florkart;Epipactis leptochila × purpurata;formula;Epipactis purpurata
Epipactis × pupplingensis Bell;florkart;Epipactis ×pupplingensis Bell;name;NA
Epipactis atrorubens × helleborine;florkart;Epipactis atrorubens × helleborine;formula;Epipactis atrorubens
Epipactis atrorubens × helleborine;florkart;Epipactis atrorubens × helleborine;formula;Epipactis helleborine
Equisetum alsaticum (H. P. Fuchs & Geissert) G. Phil.;florkart;Equisetum alsaticum (H. P. Fuchs & Geissert) G. Phil.;formula;NA
Equisetum dycei C. N. Page;florkart;Equisetum dycei C. N. Page;formula;NA
Equisetum litorale Kühlew. ex Rupr.;florkart;Equisetum litorale Kühlew. ex Rupr.;formula;NA
Equisetum meridionale (Milde) Chiov.;florkart;Equisetum meridionale (Milde) Chiov.;formula;NA
Equisetum pratense × sylvaticum;florkart;Equisetum pratense × sylvaticum;formula;Equisetum pratense
Equisetum pratense × sylvaticum;florkart;Equisetum pratense × sylvaticum;formula;Equisetum sylvaticum
Equisetum moorei Newman;florkart;Equisetum moorei Newman;formula;NA
Equisetum × torgesianum;florkart;Equisetum ×torgesianum;name;NA
Equisetum trachyodon (A. Braun) W. D. J. Koch;florkart;Equisetum trachyodon (A. Braun) W. D. J. Koch;formula;NA
Eranthis × tubergenii Bowles;florkart;Eranthis ×tubergenii Bowles;name;NA
Erigeron acris × canadensis;florkart;Erigeron acris × canadensis;formula;Erigeron acris
Erigeron acris × canadensis;florkart;Erigeron acris × canadensis;formula;Erigeron canadensis
Erigeron acris × droebachiensis;florkart;Erigeron acris × droebachiensis;formula;Erigeron acris
Erigeron acris × droebachiensis;florkart;Erigeron acris × droebachiensis;formula;Erigeron droebachiensis
Erigeron acris × angulosus;florkart;Erigeron acris × angulosus;formula;Erigeron acris
Erigeron acris × angulosus;florkart;Erigeron acris × angulosus;formula;Erigeron angulosus
Erigeron canadensis × acris;florkart;Erigeron canadensis × acris;formula;Erigeron canadensis
Erigeron canadensis × acris;florkart;Erigeron canadensis × acris;formula;Erigeron acris
Eriophorum angustifolium × latifolium;florkart;Eriophorum angustifolium × latifolium;formula;Eriophorum angustifolium
Eriophorum angustifolium × latifolium;florkart;Eriophorum angustifolium × latifolium;formula;Eriophorum latifolium
Erysimum cheiri (L.) Crantz;florkart;Erysimum cheiri (L.) Crantz;formula;NA
Erysimum marshallii;florkart;Erysimum marshallii;formula;NA
Euphorbia cyparissias × lucida;florkart;Euphorbia cyparissias × lucida;formula;Euphorbia cyparissias
Euphorbia cyparissias × lucida;florkart;Euphorbia cyparissias × lucida;formula;Euphorbia lucida
Euphorbia × paradoxa;florkart;Euphorbia ×paradoxa;name;NA
Euphorbia cyparissias × esula;florkart;Euphorbia cyparissias × esula;formula;Euphorbia cyparissias
Euphorbia cyparissias × esula;florkart;Euphorbia cyparissias × esula;formula;Euphorbia esula
Euphorbia virgultosa Klokov;florkart;Euphorbia virgultosa Klokov;formula;NA
Euphrasia nemorosa × stricta;florkart;Euphrasia nemorosa × stricta;formula;Euphrasia nemorosa
Euphrasia nemorosa × stricta;florkart;Euphrasia nemorosa × stricta;formula;Euphrasia stricta
Euphrasia × haussknechtii Wettst.;florkart;Euphrasia ×haussknechtii Wettst.;name;NA
Euphrasia × jordanii Wettst.;florkart;Euphrasia ×jordanii Wettst.;name;NA
Euphrasia micrantha × nemorosa;florkart;Euphrasia micrantha × nemorosa;formula;Euphrasia micrantha
Euphrasia micrantha × nemorosa;florkart;Euphrasia micrantha × nemorosa;formula;Euphrasia nemorosa
Euphrasia minima × officinalis;florkart;Euphrasia minima × officinalis;formula;Euphrasia minima
Euphrasia minima × officinalis;florkart;Euphrasia minima × officinalis;formula;Euphrasia officinalis
Euphrasia minima × officinalis subsp. pratensis;florkart;Euphrasia minima × officinalis subsp. pratensis;formula;Euphrasia minima
Euphrasia minima × officinalis subsp. pratensis;florkart;Euphrasia minima × officinalis subsp. pratensis;formula;Euphrasia officinalis subsp. pratensis
Euphrasia nemorosa × E. officinalis subsp. rostkoviana;florkart;Euphrasia nemorosa × E. officinalis subsp. rostkoviana;formula;Euphrasia nemorosa
Euphrasia nemorosa × E. officinalis subsp. rostkoviana;florkart;Euphrasia nemorosa × E. officinalis subsp. rostkoviana;formula;Euphrasia  officinalis subsp. rostkoviana
Euphrasia nemorosa × officinalis;florkart;Euphrasia nemorosa × officinalis;formula;Euphrasia nemorosa
Euphrasia nemorosa × officinalis;florkart;Euphrasia nemorosa × officinalis;formula;Euphrasia officinalis
Euphrasia officinalis × stricta;florkart;Euphrasia officinalis × stricta;formula;Euphrasia officinalis
Euphrasia officinalis × stricta;florkart;Euphrasia officinalis × stricta;formula;Euphrasia stricta
Euphrasia officinalis subsp. rostkoviana × E. stricta;florkart;Euphrasia officinalis subsp. rostkoviana × E. stricta;formula;Euphrasia officinalis subsp. rostkoviana
Euphrasia officinalis subsp. rostkoviana × E. stricta;florkart;Euphrasia officinalis subsp. rostkoviana × E. stricta;formula;Euphrasia  stricta
Euphrasia salisburgensis × stricta;florkart;Euphrasia salisburgensis × stricta;formula;Euphrasia salisburgensis
Euphrasia salisburgensis × stricta;florkart;Euphrasia salisburgensis × stricta;formula;Euphrasia stricta
Fallopia × convolvuloides;florkart;Fallopia ×convolvuloides;name;NA
Festuca gigantea × Lolium perenne;florkart;Festuca gigantea × Lolium perenne;formula;Festuca gigantea
Festuca gigantea × Lolium perenne;florkart;Festuca gigantea × Lolium perenne;formula;Lolium perenne
Festuca gigantea × pratensis;florkart;Festuca gigantea × pratensis;formula;Festuca gigantea
Festuca gigantea × pratensis;florkart;Festuca gigantea × pratensis;formula;Festuca pratensis
Festuca pratensis × Lolium perenne;florkart;Festuca pratensis × Lolium perenne;formula;Festuca pratensis
Festuca pratensis × Lolium perenne;florkart;Festuca pratensis × Lolium perenne;formula;Lolium perenne
X Festulolium loliaceum Curtis ex Koeler ex P. Fourn.;florkart;×Festulolium loliaceum Curtis ex Koeler ex P. Fourn.;name;NA
X Festulolium adscendens;florkart;×Festulolium adscendens;name;NA
Festuca pratensis × Lolium multiflorum;florkart;Festuca pratensis × Lolium multiflorum;formula;Festuca pratensis
Festuca pratensis × Lolium multiflorum;florkart;Festuca pratensis × Lolium multiflorum;formula;Lolium multiflorum
Filago × montana L.;florkart;Filago ×montana L.;name;NA
Filago arvensis × vulgaris;florkart;Filago arvensis × vulgaris;formula;Filago arvensis
Filago arvensis × vulgaris;florkart;Filago arvensis × vulgaris;formula;Filago vulgaris
Forsythia × intermedia Zabel;florkart;Forsythia ×intermedia Zabel;name;NA
Fragaria ananassa (Duchesne ex Weston) Rozier;florkart;Fragaria ananassa (Duchesne ex Weston) Rozier;formula;NA
Fragaria bifera Duchesne;florkart;Fragaria bifera Duchesne;formula;NA
Fragaria × intermedia Bach;florkart;Fragaria ×intermedia Bach;name;NA
Fragaria moschata × viridis;florkart;Fragaria moschata × viridis;formula;Fragaria moschata
Fragaria moschata × viridis;florkart;Fragaria moschata × viridis;formula;Fragaria viridis
Gagea lutea × pratensis;florkart;Gagea lutea × pratensis;formula;Gagea lutea
Gagea lutea × pratensis;florkart;Gagea lutea × pratensis;formula;Gagea pratensis
Gagea minima × villosa;florkart;Gagea minima × villosa;formula;Gagea minima
Gagea minima × villosa;florkart;Gagea minima × villosa;formula;Gagea villosa
Gaillardia × grandiflora;florkart;Gaillardia ×grandiflora;name;NA
Galanthus elwesii × nivalis;florkart;Galanthus elwesii × nivalis;formula;Galanthus elwesii
Galanthus elwesii × nivalis;florkart;Galanthus elwesii × nivalis;formula;Galanthus nivalis
Galeopsis pubescens × tetrahit;florkart;Galeopsis pubescens × tetrahit;formula;Galeopsis pubescens
Galeopsis pubescens × tetrahit;florkart;Galeopsis pubescens × tetrahit;formula;Galeopsis tetrahit
Galeopsis angustifolia × ladanum;florkart;Galeopsis angustifolia × ladanum;formula;Galeopsis angustifolia
Galeopsis angustifolia × ladanum;florkart;Galeopsis angustifolia × ladanum;formula;Galeopsis ladanum
Galeopsis bifida × pubescens;florkart;Galeopsis bifida × pubescens;formula;Galeopsis bifida
Galeopsis bifida × pubescens;florkart;Galeopsis bifida × pubescens;formula;Galeopsis pubescens
Galeopsis ladanum × segetum;florkart;Galeopsis ladanum × segetum;formula;Galeopsis ladanum
Galeopsis ladanum × segetum;florkart;Galeopsis ladanum × segetum;formula;Galeopsis segetum
Galeopsis bifida × tetrahit;florkart;Galeopsis bifida × tetrahit;formula;Galeopsis bifida
Galeopsis bifida × tetrahit;florkart;Galeopsis bifida × tetrahit;formula;Galeopsis tetrahit
Galeopsis pubescens × speciosa;florkart;Galeopsis pubescens × speciosa;formula;Galeopsis pubescens
Galeopsis pubescens × speciosa;florkart;Galeopsis pubescens × speciosa;formula;Galeopsis speciosa
Galeopsis speciosa × tetrahit;florkart;Galeopsis speciosa × tetrahit;formula;Galeopsis speciosa
Galeopsis speciosa × tetrahit;florkart;Galeopsis speciosa × tetrahit;formula;Galeopsis tetrahit
Galeopsis × wirtgenii Ludw.;florkart;Galeopsis ×wirtgenii Ludw.;name;NA
Galinsoga ciliata × parviflora;florkart;Galinsoga ciliata × parviflora;formula;Galinsoga ciliata
Galinsoga ciliata × parviflora;florkart;Galinsoga ciliata × parviflora;formula;Galinsoga parviflora
Galium album × boreale;florkart;Galium album × boreale;formula;Galium album
Galium album × boreale;florkart;Galium album × boreale;formula;Galium boreale
Galium album × glaucum;florkart;Galium album × glaucum;formula;Galium album
Galium album × glaucum;florkart;Galium album × glaucum;formula;Galium glaucum
