id;verbatim;type;parent;parent_taxonID;edited;source
urn:lsid:ipni.org:names:1000000-1;Elymus × mucronatus (Opiz) Conert;name;NA;NA;Elymus ×mucronatus (Opiz) Conert;ipni
urn:lsid:ipni.org:names:1000001-1;× Elyleymus strictus (Dethard.) Conert;name;NA;NA;×Elyleymus strictus (Dethard.) Conert;ipni
urn:lsid:ipni.org:names:1000002-1;× Elyleymus bergrothii (H.Lindb.) Conert;name;NA;NA;×Elyleymus bergrothii (H.Lindb.) Conert;ipni
urn:lsid:ipni.org:names:1000278-1;Stilifolium × marvraganii Lückel;name;Stilifolium stacyi (Garay) Lückel;urn:lsid:ipni.org:names:1000277-1;Stilifolium ×marvraganii Lückel;ipni
urn:lsid:ipni.org:names:1000278-1;Stilifolium × marvraganii Lückel;name;Stilifolium jonesianum (Rchb.f.) Königer & D.Pongratz;urn:lsid:ipni.org:names:999285-1;Stilifolium ×marvraganii Lückel;ipni
urn:lsid:ipni.org:names:1000419-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu;name;Reynoutria japonica var. uzenensis;urn:lsid:ipni.org:names:51006770-1;Reynoutria ×mizushimae Yokouchi ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000419-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu;name;Reynoutria sachalinensis Nakai;urn:lsid:ipni.org:names:696697-1;Reynoutria ×mizushimae Yokouchi ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000421-1;Viola chinoi f. sordida E.Hama ex T.Shimizu;name;NA;NA;Viola chinoi f. sordida E.Hama ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000422-1;Viola × eizasieboldii Sugim. ex T.Shimizu;name;Viola sieboldii;urn:lsid:ipni.org:names:50886686-1;Viola ×eizasieboldii Sugim. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000422-1;Viola × eizasieboldii Sugim. ex T.Shimizu;name;Viola eizanensis (Makino) Makino;urn:lsid:ipni.org:names:868094-1;Viola ×eizasieboldii Sugim. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000423-1;Viola miyajiana f. sordida E.Hama ex T.Shimizu;name;NA;NA;Viola miyajiana f. sordida E.Hama ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000424-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu;name;Viola acuminata Ledeb.;urn:lsid:ipni.org:names:867555-1;Viola ×obtusoacuminata T.Hashim. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000424-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu;name;Viola obtusa Makino;urn:lsid:ipni.org:names:868815-1;Viola ×obtusoacuminata T.Hashim. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000425-1;Viola ogawae f. variegata E.Hama ex T.Shimizu;name;NA;NA;Viola ogawae f. variegata E.Hama ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000426-1;Viola × okuharae F.Maek. ex T.Shimizu;name;Viola violacea Makino var. makinoi;urn:lsid:ipni.org:names:51011100-1;Viola ×okuharae F.Maek. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000426-1;Viola × okuharae F.Maek. ex T.Shimizu;name;Viola hirtipes S.Moore;urn:lsid:ipni.org:names:868313-1;Viola ×okuharae F.Maek. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000428-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu;name;Viola sieboldii Maxim. f. variegata E.Hama;urn:lsid:ipni.org:names:892720-1;Viola ×pseudomakinoi M.Mizush. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000428-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu;name;Viola violacea Makino var. makinoi;urn:lsid:ipni.org:names:51011100-1;Viola ×pseudomakinoi M.Mizush. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000429-1;Viola savatieri f. variegata E.Hama ex T.Shimizu;name;NA;NA;Viola savatieri f. variegata E.Hama ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000431-1;Viola taradakensis var. eizalacea F.Maek. & T.Hashim. ex T.Shimizu;name;NA;NA;Viola taradakensis var. eizalacea F.Maek. & T.Hashim. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000432-1;Viola taradakensis f. variegata E.Hama ex T.Shimizu;name;NA;NA;Viola taradakensis f. variegata E.Hama ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000433-1;Rorippa × brachyceras Kitam. ex T.Shimizu;name;NA;NA;Rorippa ×brachyceras Kitam. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000438-1;Rhododendron × kisoanum Okuhara ex T.Shimizu;name;Rhododendron reticulatum D.Don ex G.Don;urn:lsid:ipni.org:names:333215-1;Rhododendron ×kisoanum Okuhara ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000438-1;Rhododendron × kisoanum Okuhara ex T.Shimizu;name;Rhododendron dilatatum Miq.;urn:lsid:ipni.org:names:332337-1;Rhododendron ×kisoanum Okuhara ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000443-1;Prunus × misayamensis Okuhara & Y.Matsuda ex T.Shimizu;name;Prunus apetala;urn:lsid:ipni.org:names:50959532-1;Prunus ×misayamensis Okuhara & Y.Matsuda ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000443-1;Prunus × misayamensis Okuhara & Y.Matsuda ex T.Shimizu;name;Prunus nipponica Matsum.;urn:lsid:ipni.org:names:730028-1;Prunus ×misayamensis Okuhara & Y.Matsuda ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000444-1;Sorbus × yokouchii M.Mizush. ex T.Shimizu;name;Sorbus sambucifolia M.Roem.;urn:lsid:ipni.org:names:741955-1;Sorbus ×yokouchii M.Mizush. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000444-1;Sorbus × yokouchii M.Mizush. ex T.Shimizu;name;Sorbus matsumurana Koehne;urn:lsid:ipni.org:names:741842-1;Sorbus ×yokouchii M.Mizush. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000459-1;Saussurea × subgracilis K.Asano ex T.Shimizu;name;Saussurea ussuriensis Maxim.;urn:lsid:ipni.org:names:242738-1;Saussurea ×subgracilis K.Asano ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000459-1;Saussurea × subgracilis K.Asano ex T.Shimizu;name;Saussurea gracilis Maxim.;urn:lsid:ipni.org:names:242286-1;Saussurea ×subgracilis K.Asano ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000462-1;Iris × setosothungbergii H.Koidz. ex T.Shimizu;name;Iris sanguinea Hornem.;urn:lsid:ipni.org:names:439065-1;Iris ×setosothungbergii H.Koidz. ex T.Shimizu;ipni
urn:lsid:ipni.org:names:1000462-1;Iris × setosothungbergii H.Koidz. ex T.Shimizu;name;Iris setosa Pall. ex Link;urn:lsid:ipni.org:names:439084-1;Iris ×setosothungbergii H.Koidz. ex T.Shimizu;ipni
