taxonID;Taxon;taxonName;taxonNameEdited;taxonNameEditedShort;taxonNameAuthors;taxonRank;isHybrid;acceptedTaxonName;acceptedHigherTaxonName;countRaw;countFiltered;taxonNameForGSL;keep;remark
pladias:1797;Hypochaeris uniflora;Hypochaeris uniflora Vill.;Hypochaeris uniflora Vill.;Hypochaeris uniflora;Vill.;species;NA;Hypochaeris uniflora Vill.;Hypochaeris uniflora Vill.;21;14;Hypochaeris uniflora;1;NA
pladias:1186;Hyssopus officinalis;Hyssopus officinalis L.;Hyssopus officinalis L.;Hyssopus officinalis;L.;species;NA;Hyssopus officinalis L.;Hyssopus officinalis L.;29;27;Hyssopus officinalis;1;NA
pladias:4359;Iberis amara;Iberis amara L.;Iberis amara L.;Iberis amara;L.;species;NA;Iberis amara L.;Iberis amara L.;1;1;Iberis amara;1;NA
pladias:2236;Iberis sempervirens;Iberis sempervirens L.;Iberis sempervirens L.;Iberis sempervirens;L.;species;NA;Iberis sempervirens L.;Iberis sempervirens L.;3;3;Iberis sempervirens;1;NA
pladias:2139;Iberis umbellata;Iberis umbellata L.;Iberis umbellata L.;Iberis umbellata;L.;species;NA;Iberis umbellata L.;Iberis umbellata L.;26;23;Iberis umbellata;1;NA
pladias:2381;Ilex aquifolium;Ilex aquifolium L.;Ilex aquifolium L.;Ilex aquifolium;L.;species;NA;Ilex aquifolium L.;Ilex aquifolium L.;33;30;Ilex aquifolium;0;cultivated
pladias:3428;Illecebrum verticillatum;Illecebrum verticillatum L.;Illecebrum verticillatum L.;Illecebrum verticillatum;L.;species;NA;Illecebrum verticillatum L.;Illecebrum verticillatum L.;38;33;Illecebrum verticillatum;1;NA
pladias:4096;Impatiens balfourii;Impatiens balfourii Hook. f.;Impatiens balfourii Hook.f.;Impatiens balfourii;Hook.f.;species;NA;Impatiens balfourii Hook.f.;Impatiens balfourii Hook.f.;1;1;Impatiens balfourii;1;NA
pladias:4293;Impatiens balsamina;Impatiens balsamina L.;Impatiens balsamina L.;Impatiens balsamina;L.;species;NA;Impatiens balsamina L.;Impatiens balsamina L.;1;1;Impatiens balsamina;1;NA
pladias:841;Impatiens glandulifera;Impatiens glandulifera Royle;Impatiens glandulifera Royle;Impatiens glandulifera;Royle;species;NA;Impatiens glandulifera Royle;Impatiens glandulifera Royle;524;473;Impatiens glandulifera;1;NA
pladias:165;Impatiens noli-tangere;Impatiens noli-tangere L.;Impatiens noli-tangere L.;Impatiens noli-tangere;L.;species;NA;Impatiens noli-tangere L.;Impatiens noli-tangere L.;639;569;Impatiens noli-tangere;1;NA
pladias:533;Impatiens parviflora;Impatiens parviflora DC.;Impatiens parviflora DC.;Impatiens parviflora;DC.;species;NA;Impatiens parviflora DC.;Impatiens parviflora DC.;636;568;Impatiens parviflora;1;NA
pladias:3658;Impatiens scabrida;Impatiens scabrida DC.;Impatiens scabrida DC.;Impatiens scabrida;DC.;species;NA;Impatiens scabrida DC.;Impatiens scabrida DC.;3;3;Impatiens scabrida;1;NA
pladias:1609;Peucedanum ostruthium;Peucedanum ostruthium (L.) W. D. J. Koch;Peucedanum ostruthium (L.) W.D.J.Koch;Peucedanum ostruthium;(L.) W.D.J.Koch;species;NA;Imperatoria ostruthium L.;Imperatoria ostruthium L.;73;61;Peucedanum ostruthium;1;NA
pladias:4299;Inula salicina subsp. aspera;Inula salicina subsp. aspera (Poir.) Hayek;Inula salicina subsp. aspera (Poir.) Hayek;Inula salicina subsp. aspera;(Poir.) Hayek;subsp;NA;Inula aspera Poir.;Inula aspera Poir.;2;2;Inula salicina subsp. aspera;0;extinct/missing
pladias:534;Inula helenium;Inula helenium L.;Inula helenium L.;Inula helenium;L.;species;NA;Inula helenium L.;Inula helenium L.;115;109;Inula helenium;1;NA
pladias:4003;Inula racemosa;Inula racemosa Hook. f.;Inula racemosa Hook.f.;Inula racemosa;Hook.f.;species;NA;Inula racemosa Hook.f.;Inula racemosa Hook.f.;4;3;Inula racemosa;1;NA
pladias:3217;Inula ×rigida;Inula ×rigida Döll;Inula rigida Döll;Inula rigida;Döll;species;TRUE;Inula rigida Döll;Inula rigida Döll;10;6;Inula rigida;1;hybrid with species treatment
pladias:4315;Inula ×stricta;Inula ×stricta Tausch;Inula stricta Tausch;Inula stricta;Tausch;species;TRUE;Inula stricta Tausch;Inula stricta Tausch;15;11;Inula ×stricta;1;NA
pladias:4316;Inula ×suaveolens;Inula ×suaveolens Jacq.;Inula suaveolens Jacq.;Inula suaveolens;Jacq.;species;TRUE;Inula suaveolens Jacq.;Inula suaveolens Jacq.;1;1;Inula ×suaveolens;1;NA
pladias:3870;Ipomoea hederacea;Ipomoea hederacea (L.) Jacq.;Ipomoea hederacea (L.) Jacq.;Ipomoea hederacea;(L.) Jacq.;species;NA;Ipomoea hederacea Jacq.;Ipomoea hederacea Jacq.;1;1;Ipomoea hederacea;1;NA
