verbatim;edited;parent
Ophrys saratoi_x subsp. benacensis (Reisigl) DelPrete;Ophrys saratoi subsp. benacensis (Reisigl) DelPrete;NA
Ophrys saratoi_x E.G.Camus;Ophrys saratoi E.G.Camus;NA
Ophrys pseudobertolonii_x subsp. catalaunica (O.Danesch & E.Danesch) H.Baumann & Künkele;Ophrys pseudobertolonii subsp. catalaunica (O.Danesch & E.Danesch) H.Baumann & Künkele;NA
Ophrys pseudobertolonii_x subsp. bertoloniiformis (O.Danesch & E.Danesch) H.Baumann & Künkele;Ophrys pseudobertolonii subsp. bertoloniiformis (O.Danesch & E.Danesch) H.Baumann & Künkele;NA
Ophrys pseudobertolonii_x Murr;Ophrys pseudobertolonii Murr;NA
Ophrys promontorii_x O.Danesch & E.Danesch;Ophrys promontorii O.Danesch & E.Danesch;NA
Ophrys motolesensis_x Soca;Ophrys motolesensis Soca;NA
Ophrys montserratensis_x Cadevall;Ophrys montserratensis Cadevall;NA
Ophrys magniflora_x Geniez & Melki;Ophrys magniflora Geniez & Melki;NA
Ophrys grinincensis_x P.Delforge;Ophrys grinincensis P.Delforge;NA
Ophrys gelmii_x Murr;Ophrys gelmii Murr;NA
Ophrys drumana_x P.Delforge;Ophrys drumana P.Delforge;NA
Ophrys disjecta_x Murr;Ophrys disjecta Murr;NA
Ophrys dekegheliana_x P.Delforge;Ophrys dekegheliana P.Delforge;NA
Ophrys couloniana_x P.Delforge & C.Delforge;Ophrys couloniana P.Delforge & C.Delforge;NA
Ophrys catalaunica_x O.Danesch & E.Danesch;Ophrys catalaunica O.Danesch & E.Danesch;NA
Ophrys bertoloniiformis_x subsp. benacensis Reisigl;Ophrys bertoloniiformis subsp. benacensis Reisigl;NA
Ophrys bertoloniiformis_x O.Danesch & E.Danesch;Ophrys bertoloniiformis O.Danesch & E.Danesch;NA
Ophrys balearica_x P.Delforge;Ophrys balearica P.Delforge;NA
Ophrys azurea_x H.Baumann & Künkele;Ophrys azurea H.Baumann & Künkele;NA
Ophrys aurelia_x P.Delforge & al.;Ophrys aurelia P.Delforge & al.;NA
Ophrys agustinii_x Kreutz;Ophrys agustinii Kreutz;NA
Ophrys flahaultii_x D'Abzac;Ophrys flahaultii D'Abzac;NA
Ophrys ferruginea_x W.Rossi & Liuti;Ophrys ferruginea W.Rossi & Liuti;NA
Ophrys fernandii_x Rolfe;Ophrys fernandii Rolfe;NA
Ophrys ferliana_x Bartolo & Pulv.;Ophrys ferliana Bartolo & Pulv.;NA
Ophrys feldwegiana_x B.Baumann & H.Baumann;Ophrys feldwegiana B.Baumann & H.Baumann;NA
Ophrys fassbenderi_x Ruppert;Ophrys fassbenderi Ruppert;NA
Ophrys fabrei_x C.Bernard;Ophrys fabrei C.Bernard;NA
Ophrys extorris_x Soó;Ophrys extorris Soó;NA
Ophrys evvia_x Riech.;Ophrys evvia Riech.;NA
Ophrys ettlingeriana_x P.Delforge;Ophrys ettlingeriana P.Delforge;NA
Ophrys estacensis_x Soca;Ophrys estacensis Soca;NA
Ophrys epidavrensis_x Eberle;Ophrys epidavrensis Eberle;NA
Ophrys enobarbia_x DelPrete & Tosi;Ophrys enobarbia DelPrete & Tosi;NA
Ophrys enigmatodes_x G.Keller ex Soó;Ophrys enigmatodes G.Keller ex Soó;NA
Ophrys emmae_x G.Keller ex H.Wettst.;Ophrys emmae G.Keller ex H.Wettst.;NA
Ophrys lumenii_x Soca;Ophrys lumenii Soca;NA
Ophrys eliasii_x Sennen ex E.G.Camus & A.Camus;Ophrys eliasii Sennen ex E.G.Camus & A.Camus;NA
Ophrys duvigneaudiana_x P.Delforge & C.Delforge;Ophrys duvigneaudiana P.Delforge & C.Delforge;NA
Ophrys duchateauana_x P.Delforge;Ophrys duchateauana P.Delforge;NA
Ophrys domus-maria_x M.P.Grasso;Ophrys domus-maria M.P.Grasso;NA
Ophrys dodonica_x B.Willing & E.Willing;Ophrys dodonica B.Willing & E.Willing;NA
Ophrys dodekanensis_x H.Kretzschmar & Kreutz;Ophrys dodekanensis H.Kretzschmar & Kreutz;NA
Ophrys diakoptensis_x M.Bayer;Ophrys diakoptensis M.Bayer;NA
Ophrys devenensis_x Rchb.f.;Ophrys devenensis Rchb.f.;NA
Ophrys apiculata_x Rich.;Ophrys apiculata Rich.;NA
Ophrys dessartiana_x P.Delforge;Ophrys dessartiana P.Delforge;NA
Ophrys denisiana_x H.Baumann & al.;Ophrys denisiana H.Baumann & al.;NA
Ophrys denglerensis_x Riech.;Ophrys denglerensis Riech.;NA
Ophrys demutiana_x B.Baumann & H.Baumann;Ophrys demutiana B.Baumann & H.Baumann;NA
Ophrys demangeana_x P.Delforge;Ophrys demangeana P.Delforge;NA
Ophrys delvauxiorum_x P.Delforge;Ophrys delvauxiorum P.Delforge;NA
Ophrys delphinensis_x O.Danesch & E.Danesch;Ophrys delphinensis O.Danesch & E.Danesch;NA
Ophrys delargeana_x P.Delforge;Ophrys delargeana P.Delforge;NA
Ophrys delamainii_x Alleiz.;Ophrys delamainii Alleiz.;NA
Ophrys deheyniana_x P.Delforge;Ophrys deheyniana P.Delforge;NA
Ophrys daunia_x H.Baumann & Künkele;Ophrys daunia H.Baumann & Künkele;NA
Ophrys daneschiana_x W.J.Schrenk;Ophrys daneschiana W.J.Schrenk;NA
Ophrys royanensis_x M.Gerbaud & al.;Ophrys royanensis M.Gerbaud & al.;NA
Ophrys cugniensis_x Soca;Ophrys cugniensis Soca;NA
Ophrys creutzburgii_x H.Baumann & Künkele;Ophrys creutzburgii H.Baumann & Künkele;NA
Ophrys cranbrookeana_x Godfery;Ophrys cranbrookeana Godfery;NA
Ophrys coulotii_x Soca;Ophrys coulotii Soca;NA
Ophrys costei_x Looken;Ophrys costei Looken;NA
Ophrys ezcaraiensis_x C.E.Hermos. & Soca;Ophrys ezcaraiensis C.E.Hermos. & Soca;NA
Ophrys ayusoi_x C.E.Hermos. & Soca;Ophrys ayusoi C.E.Hermos. & Soca;NA
Ophrys cosentiana_x H.Baumann & Künkele;Ophrys cosentiana H.Baumann & Künkele;NA
Ophrys corvey-bironii_x J.M.Lewin;Ophrys corvey-bironii J.M.Lewin;NA
Ophrys cortesii_x A.Camus;Ophrys cortesii A.Camus;NA
Ophrys cornelli_x O.Danesch & E.Danesch;Ophrys cornelli O.Danesch & E.Danesch;NA
Ophrys corcyrensis_x Renz;Ophrys corcyrensis Renz;NA
Ophrys clapensis_x Balayer;Ophrys clapensis Balayer;NA
Ophrys circlarium_x Pellegrino;Ophrys circlarium Pellegrino;NA
Ophrys circaea_x W.Rossi & Prola;Ophrys circaea W.Rossi & Prola;NA
Ophrys cicmiriana_x P.Delforge;Ophrys cicmiriana P.Delforge;NA
Ophrys chobautii_x G.Keller ex B.Tyteca & D.Tyteca;Ophrys chobautii G.Keller ex B.Tyteca & D.Tyteca;NA
Ophrys cesinensis_x Medagli & al.;Ophrys cesinensis Medagli & al.;NA
Ophrys celani_x O.Danesch & E.Danesch;Ophrys celani O.Danesch & E.Danesch;NA
Ophrys cataldii_x Gölz;Ophrys cataldii Gölz;NA
Ophrys cascalesii_x Soca;Ophrys cascalesii Soca;NA
Ophrys carquierannensis_x E.G.Camus;Ophrys carquierannensis E.G.Camus;NA
Ophrys turrium_x Kohlmüller;Ophrys turrium Kohlmüller;NA
Ophrys carpinensis_x O.Danesch & E.Danesch;Ophrys carpinensis O.Danesch & E.Danesch;NA
Ophrys carnazzae_x Galesi;Ophrys carnazzae Galesi;NA
Ophrys carica_x H.Baumann & Künkele;Ophrys carica H.Baumann & Künkele;NA
Ophrys capoliverii_x Iamonico & al.;Ophrys capoliverii Iamonico & al.;NA
Ophrys capellae-pacis_x G.Kretzschmar & H.Kretzschmar;Ophrys capellae-pacis G.Kretzschmar & H.Kretzschmar;NA
Ophrys campolati_x O.Danesch & E.Danesch;Ophrys campolati O.Danesch & E.Danesch;NA
Ophrys daneschiorum_x P.Delforge;Ophrys daneschiorum P.Delforge;NA
Ophrys campoi_x Soca;Ophrys campoi Soca;NA
Ophrys calypsus_x M.Hirth & H.Spaeth;Ophrys calypsus M.Hirth & H.Spaeth;NA
Ophrys calypsus_x var. scolopaxoides (P.Delforge) P.Delforge;Ophrys calypsus var. scolopaxoides (P.Delforge) P.Delforge;NA
Ophrys calypsus_x var. pseudoapulica (P.Delforge) P.Delforge;Ophrys calypsus var. pseudoapulica (P.Delforge) P.Delforge;NA
Ophrys caliandri_x O.Danesch & E.Danesch;Ophrys caliandri O.Danesch & E.Danesch;NA
Ophrys calabrica_x H.Baumann & Künkele;Ophrys calabrica H.Baumann & Künkele;NA
Ophrys cailliauana_x P.Delforge;Ophrys cailliauana P.Delforge;NA
Ophrys caballeroi_x C.E.Hermos.;Ophrys caballeroi C.E.Hermos.;NA
Ophrys burneriana_x C.Alibertis & A.Alibertis;Ophrys burneriana C.Alibertis & A.Alibertis;NA
Ophrys broeckii_x A.Camus;Ophrys broeckii A.Camus;NA
Ophrys brigodeana_x P.Delforge;Ophrys brigodeana P.Delforge;NA
Ophrys brigittae_x H.Baumann;Ophrys brigittae H.Baumann;NA
Ophrys socae_x J.M.Lewin;Ophrys socae J.M.Lewin;NA
Ophrys breuerorum_x P.Delforge;Ophrys breuerorum P.Delforge;NA
Ophrys braun-blanquetiana_x Soó;Ophrys braun-blanquetiana Soó;NA
Ophrys bourlieri_x Maire;Ophrys bourlieri Maire;NA
Ophrys pouyannei_x Maire;Ophrys pouyannei Maire;NA
Ophrys boscoquartensis_x O.Danesch & E.Danesch;Ophrys boscoquartensis O.Danesch & E.Danesch;NA
Ophrys borgersiae_x P.Delforge;Ophrys borgersiae P.Delforge;NA
Ophrys borakisiana_x P.Delforge & C.Delforge;Ophrys borakisiana P.Delforge & C.Delforge;NA
Ophrys bibbiensis_x Soca;Ophrys bibbiensis Soca;NA
Ophrys biancoae_x Medagli & al.;Ophrys biancoae Medagli & al.;NA
Ophrys bernardii_x Looken;Ophrys bernardii Looken;NA
Ophrys benoitiana_x Tineo ex Lojac.;Ophrys benoitiana Tineo ex Lojac.;NA
Ophrys camarinana_x H.Baumann & Künkele;Ophrys camarinana H.Baumann & Künkele;NA
Ophrys bayeri_x H.Baumann;Ophrys bayeri H.Baumann;NA
Ophrys baumanniana_x Soó;Ophrys baumanniana Soó;NA
Ophrys battandieri_x E.G.Camus;Ophrys battandieri E.G.Camus;NA
Ophrys murbeckii_x H.Fleischm.;Ophrys murbeckii H.Fleischm.;NA
Ophrys mulierum_x H.Baumann & Künkele;Ophrys mulierum H.Baumann & Künkele;NA
Ophrys lucronii_x Benito;Ophrys lucronii Benito;NA
Ophrys kozanica_x B.Willing & E.Willing;Ophrys kozanica B.Willing & E.Willing;NA
Ophrys gauthieri_x LeLièvre;Ophrys gauthieri LeLièvre;NA
Ophrys fraresiana_x M.R.Lowe & al.;Ophrys fraresiana M.R.Lowe & al.;NA
Ophrys carpitana_x M.R.Lowe & al.;Ophrys carpitana M.R.Lowe & al.;NA
Ophrys barauensis_x J.M.Lewin;Ophrys barauensis J.M.Lewin;NA
Ophrys barlae_x E.G.Camus;Ophrys barlae E.G.Camus;NA
Ophrys lyrata_x H.Fleischm.;Ophrys lyrata H.Fleischm.;NA
Ophrys barbaricina_x M.Allard & M.P.Grasso;Ophrys barbaricina M.Allard & M.P.Grasso;NA
Ophrys asterusica_x C.Alibertis & A.Alibertis;Ophrys asterusica C.Alibertis & A.Alibertis;NA
Ophrys argentariensis_x Ruppert;Ophrys argentariensis Ruppert;NA
Ophrys arciensis_x Bartolo & Pulv.;Ophrys arciensis Bartolo & Pulv.;NA
Ophrys araniferiformis_x DallaTorre & Sarnth.;Ophrys araniferiformis DallaTorre & Sarnth.;NA
Ophrys terrae-laboris_x W.Rossi & Minut.;Ophrys terrae-laboris W.Rossi & Minut.;NA
Ophrys arachnitiformis_x Gren. & Philippe;Ophrys arachnitiformis Gren. & Philippe;NA
Ophrys tyrrhena_x Gölz & H.R.Reinhard;Ophrys tyrrhena Gölz & H.R.Reinhard;NA
Ophrys trombettensis_x Soca;Ophrys trombettensis Soca;NA
Ophrys splendida_x Gölz & H.R.Reinhard;Ophrys splendida Gölz & H.R.Reinhard;NA
Ophrys sipontensis_x O.Danesch & E.Danesch;Ophrys sipontensis O.Danesch & E.Danesch;NA
Ophrys pesseiae_x P.Delforge;Ophrys pesseiae P.Delforge;NA
Ophrys panattensis_x Scrugli & al.;Ophrys panattensis Scrugli & al.;NA
Ophrys arachnitiformis_x forma nicaeensis (Barla) P.Delforge;Ophrys arachnitiformis f. nicaeensis (Barla) P.Delforge;NA
Ophrys arachnitiformis_x forma specularia (Rchb.f.) P.Delforge;Ophrys arachnitiformis f. specularia (Rchb.f.) P.Delforge;NA
Ophrys arachnitiformis_x subsp. archipelagi (Gölz & H.R.Reinhard) Kreutz;Ophrys arachnitiformis subsp. archipelagi (Gölz & H.R.Reinhard) Kreutz;NA
Ophrys arachnitiformis_x subsp. gallica (Looken) Kreutz;Ophrys arachnitiformis subsp. gallica (Looken) Kreutz;NA
Ophrys arachnitiformis_x subsp. mateolana (Medagli & al.) Kreutz;Ophrys arachnitiformis subsp. mateolana (Medagli & al.) Kreutz;NA
Ophrys arachnitiformis_x subsp. occidentalis Scappat.;Ophrys arachnitiformis subsp. occidentalis Scappat.;NA
Ophrys arachnitiformis_x subsp. splendida (Gölz & H.R.Reinhard) H.Baumann & R.Lorenz;Ophrys arachnitiformis subsp. splendida (Gölz & H.R.Reinhard) H.Baumann & R.Lorenz;NA
Ophrys arachnitiformis_x subsp. tyrrhena (Gölz & H.R.Reinhard) H.Baumann & R.Lorenz;Ophrys arachnitiformis subsp. tyrrhena (Gölz & H.R.Reinhard) H.Baumann & R.Lorenz;NA
Ophrys arachnitiformis_x var. occidentalis (Scappat.) P.Delforge;Ophrys arachnitiformis var. occidentalis (Scappat.) P.Delforge;NA
Ophrys archipelagi_x Gölz & H.R.Reinhard;Ophrys archipelagi Gölz & H.R.Reinhard;NA
Ophrys aschersonii_x Nanteuil;Ophrys aschersonii Nanteuil;NA
Ophrys augustae_x A.Fuchs;Ophrys augustae A.Fuchs;NA
Ophrys carduccii_x Romolini & Soca;Ophrys carduccii Romolini & Soca;NA
Ophrys castellana_x Devillers-Tersch. & Devillers;Ophrys castellana Devillers-Tersch. & Devillers;NA
Ophrys chatenieri_x Rouy;Ophrys chatenieri Rouy;NA
Ophrys crocii_x Soca;Ophrys crocii Soca;NA
Ophrys debruijckereana_x Looken;Ophrys debruijckereana Looken;NA
Ophrys dionysii_x P.Delforge;Ophrys dionysii P.Delforge;NA
Ophrys gallica_x Looken;Ophrys gallica Looken;NA
Ophrys glanensis_x Soca;Ophrys glanensis Soca;NA
Ophrys godferyana_x A.Camus;Ophrys godferyana A.Camus;NA
Ophrys licana_x A.Fuchs;Ophrys licana A.Fuchs;NA
Ophrys massiliensis_x Viglione & Véla;Ophrys massiliensis Viglione & Véla;NA
Ophrys mateolana_x Medagli & al.;Ophrys mateolana Medagli & al.;NA
Ophrys monachorum_x O.Danesch & E.Danesch;Ophrys monachorum O.Danesch & E.Danesch;NA
Ophrys montis-leonis_x O.Danesch & E.Danesch;Ophrys montis-leonis O.Danesch & E.Danesch;NA
Ophrys apolloniensis_x H.Baumann & Künkele;Ophrys apolloniensis H.Baumann & Künkele;NA
Ophrys apicula_x J.C.Schmidt ex Rchb.f.;Ophrys apicula J.C.Schmidt ex Rchb.f.;NA
Ophrys ansedoniensis_x Soca;Ophrys ansedoniensis Soca;NA
Ophrys anomala_x Renz;Ophrys anomala Renz;NA
Ophrys angelensis_x H.Baumann & Künkele;Ophrys angelensis H.Baumann & Künkele;NA
Ophrys ambrosii_x Soca;Ophrys ambrosii Soca;NA
Ophrys ambigua_x Galesi;Ophrys ambigua Galesi;NA
Ophrys alibertiana_x C.Alibertis & A.Alibertis;Ophrys alibertiana C.Alibertis & A.Alibertis;NA
Ophrys albertiana_x E.G.Camus;Ophrys albertiana E.G.Camus;NA
Ophrys alberobellensis_x H.Baumann & Künkele;Ophrys alberobellensis H.Baumann & Künkele;NA
Ophrys aghemanii_x Renz;Ophrys aghemanii Renz;NA
Ophrys aetolica_x H.Baumann & Künkele;Ophrys aetolica H.Baumann & Künkele;NA
Ophrys acina_x C.E.Hermos.;Ophrys acina C.E.Hermos.;NA
Ophrys abdita_x C.E.Hermos.;Ophrys abdita C.E.Hermos.;NA
Oncidium wattianum_x Rolfe;Oncidium wattianum Rolfe;NA
Odontoglossum wattianum_x var. superbum J.Fraser;Odontoglossum wattianum var. superbum J.Fraser;NA
Odontoglossum wattianum_x Rolfe;Odontoglossum wattianum Rolfe;NA
Oncidium rolfei_x J.M.H.Shaw;Oncidium rolfei J.M.H.Shaw;NA
Odontoglossum godseffianum_x Rolfe;Odontoglossum godseffianum Rolfe;NA
Oncidium millianum_x Rchb.f.;Oncidium millianum Rchb.f.;NA
Oncidium lueroroides_x M.W.Chase & N.H.Williams;Oncidium lueroroides M.W.Chase & N.H.Williams;NA
Sigmatostalix luerorum_x Dodson;Sigmatostalix luerorum Dodson;NA
Oncidium inopinatum_x Christenson;Oncidium inopinatum Christenson;NA
Oncidium gardstyle_x Braem & Campacci;Oncidium gardstyle Braem & Campacci;NA
Oncidium charlesworthii_x H.J.Veitch;Oncidium charlesworthii H.J.Veitch;NA
Oncidium bockemuhliae_x J.M.H.Shaw;Oncidium bockemuhliae J.M.H.Shaw;NA
Odontoglossum elegans_x Rchb.f.;Odontoglossum elegans Rchb.f.;NA
Oberonia hybrida_x Schltr.;Oberonia hybrida Schltr.;NA
Mormodes salvadorensis_x Hamer & Garay;Mormodes salvadorensis Hamer & Garay;NA
Miltonia rosina_x Barb.Rodr.;Miltonia rosina Barb.Rodr.;NA
Miltonia leucoglossa_x Auct.;Miltonia leucoglossa Auct.;NA
Miltonia lamarckeana_x Rchb.f.;Miltonia lamarckeana Rchb.f.;NA
Miltonia joiceyana_x O'Brien;Miltonia joiceyana O'Brien;NA
Miltonia cyrtochiloides_x Barb.Rodr.;Miltonia cyrtochiloides Barb.Rodr.;NA
Miltonia festiva_x G.Nicholson;Miltonia festiva G.Nicholson;NA
Miltonia cogniauxiae_x Peeters ex Cogn. & A.Gooss.;Miltonia cogniauxiae Peeters ex Cogn. & A.Gooss.;NA
Miltonia cogniauxiae_x var. pallida Cogn.;Miltonia cogniauxiae var. pallida Cogn.;NA
Miltonia cogniauxiae_x var. massaiana Cogn.;Miltonia cogniauxiae var. massaiana Cogn.;NA
Miltonia cogniauxiae_x var. bicolor Rolfe;Miltonia cogniauxiae var. bicolor Rolfe;NA
Miltonia bluntii_x Rchb.f.;Miltonia bluntii Rchb.f.;NA
Oncidium bluntii_x Rchb.f.;Oncidium bluntii Rchb.f.;NA
Miltonia peetersiana_x Rchb.f.;Miltonia peetersiana Rchb.f.;NA
Miltonia bleuana_x L.Linden & Rodigas;Miltonia bleuana L.Linden & Rodigas;NA
Miltonia binotii_x Cogn.;Miltonia binotii Cogn.;NA
Miltonia binotii_x var. flavescens Cogn.;Miltonia binotii var. flavescens Cogn.;NA
Maxillaria lyothii_x A.D.Hawkes;Maxillaria lyothii A.D.Hawkes;NA
Maxillaria dunstervillei_x Carnevali & I.Ramírez;Maxillaria dunstervillei Carnevali & I.Ramírez;NA
Maxillaria doucetteana_x Christenson;Maxillaria doucetteana Christenson;NA
Masdevallia wubbenii_x Luer;Masdevallia wubbenii Luer;NA
Masdevallia strumella_x Luer;Masdevallia strumella Luer;NA
Masdevallia stella_x Rolfe;Masdevallia stella Rolfe;NA
Masdevallia splendida_x Rchb.f.;Masdevallia splendida Rchb.f.;NA
Masdevallia splendida_x var. parlatoreana (Rchb.f.) A.H.Kent;Masdevallia splendida var. parlatoreana (Rchb.f.) A.H.Kent;NA
Masdevallia parlatoreana_x Rchb.f.;Masdevallia parlatoreana Rchb.f.;NA
Masdevallia shuttryana_x Lawr.;Masdevallia shuttryana Lawr.;NA
Masdevallia senghasiana_x Luer;Masdevallia senghasiana Luer;NA
Masdevallia polita_x Luer & Sijm;Masdevallia polita Luer & Sijm;NA
Masdevallia mystica_x Luer;Masdevallia mystica Luer;NA
Masdevallia measuresiana_x Rolfe;Masdevallia measuresiana Rolfe;NA
Masdevallia macvitiae_x J.Thomson;Masdevallia macvitiae J.Thomson;NA
Masdevallia ligiae_x Luer & R.Escobar;Masdevallia ligiae Luer & R.Escobar;NA
Masdevallia kareliae_x Oakeley;Masdevallia kareliae Oakeley;NA
Masdevallia hincksiana_x Rchb.f.;Masdevallia hincksiana Rchb.f.;NA
Masdevallia glaphyrantha_x Rchb.f.;Masdevallia glaphyrantha Rchb.f.;NA
Masdevallia geleniana_x Rchb.f.;Masdevallia geleniana Rchb.f.;NA
Masdevallia gairiana_x Rchb.f.;Masdevallia gairiana Rchb.f.;NA
Masdevallia fraseri_x Rchb.f.;Masdevallia fraseri Rchb.f.;NA
Masdevallia falcata_x O'Brien;Masdevallia falcata O'Brien;NA
Masdevallia ellisiana_x Auct.;Masdevallia ellisiana Auct.;NA
Masdevallia courtauldiana_x Auct.;Masdevallia courtauldiana Auct.;NA
Masdevallia chelsonii_x Rchb.f.;Masdevallia chelsonii Rchb.f.;NA
Masdevallia cassiope_x Auct.;Masdevallia cassiope Auct.;NA
Masdevallia alvaroi_x Luer & R.Escobar;Masdevallia alvaroi Luer & R.Escobar;NA
Lycaste smeeana_x Rchb.f.;Lycaste smeeana Rchb.f.;NA
Lycaste sandrae_x Oakeley;Lycaste sandrae Oakeley;NA
Lycaste rogersonii_x Rolfe;Lycaste rogersonii Rolfe;NA
Lycaste panchita_x Tinschert ex Oakeley;Lycaste panchita Tinschert ex Oakeley;NA
Lycaste niesseniae_x Oakeley;Lycaste niesseniae Oakeley;NA
Lycaste niesseniae_x var. rosea Oakeley;Lycaste niesseniae var. rosea Oakeley;NA
Lycaste michelii_x Oakeley;Lycaste michelii Oakeley;NA
Lycaste lucianiana_x VanImschoot & Cogn.;Lycaste lucianiana VanImschoot & Cogn.;NA
Lycaste lucianii_x Linden ex Mast.;Lycaste lucianii Linden ex Mast.;NA
Lycaste imschootiana_x L.Linden & Cogn.;Lycaste imschootiana L.Linden & Cogn.;NA
Lycaste janetae_x Rolfe;Lycaste janetae Rolfe;NA
Lycaste groganii_x E.Cooper;Lycaste groganii E.Cooper;NA
Lycaste donadrianii_x Tinschert ex Oakeley;Lycaste donadrianii Tinschert ex Oakeley;NA
Lycaste daniloi_x Oakeley;Lycaste daniloi Oakeley;NA
Lycaste cobani_x Oakeley;Lycaste cobani Oakeley;NA
Lycaste cobani_x var. longibracteata Oakeley;Lycaste cobani var. longibracteata Oakeley;NA
Lycaste balliae_x Rolfe;Lycaste balliae Rolfe;NA
Liparis jonesii_x S.L.Bentley;Liparis jonesii S.L.Bentley;NA
Lepanthes tuerckheimii_x Schltr.;Lepanthes tuerckheimii Schltr.;NA
Lepanthes stenosepala_x Luer & Béhar;Lepanthes stenosepala Luer & Béhar;NA
Lepanthes castillomontii_x Archila;Lepanthes castillomontii Archila;NA
Lepanthes mendiatae_x Archila;Lepanthes mendiatae Archila;NA
Lepanthes fonacytii_x Archila;Lepanthes fonacytii Archila;NA
Laelia vitellina_x O'Brien;Laelia vitellina O'Brien;NA
Laelia vietchiana_x Rchb.f.;Laelia vietchiana Rchb.f.;NA
Laelia tresederiana_x Rchb.f.;Laelia tresederiana Rchb.f.;NA
Laelia timora_x N.E.Br.;Laelia timora N.E.Br.;NA
Laelia sedenii_x Rchb.f.;Laelia sedenii Rchb.f.;NA
Laelia pilcheri_x Dombrain;Laelia pilcheri Dombrain;NA
Laelia pilcheriana_x Rchb.f.;Laelia pilcheriana Rchb.f.;NA
Cattleya pilcheri_x Rolfe;Cattleya pilcheri Rolfe;NA
Laelia philbrickiana_x Rchb.f.;Laelia philbrickiana Rchb.f.;NA
Laelia oweniana_x O'Brien;Laelia oweniana O'Brien;NA
Laelia oweniae_x L.Linden;Laelia oweniae L.Linden;NA
Laelia normannii_x Kraenzl.;Laelia normannii Kraenzl.;NA
Laelia mylamiana_x Rchb.f.;Laelia mylamiana Rchb.f.;NA
Laelia juvenilis_x Bleu;Laelia juvenilis Bleu;NA
Laelia horniana_x Rchb.f.;Laelia horniana Rchb.f.;NA
Laelia flammea_x Rchb.f.;Laelia flammea Rchb.f.;NA
Laelia veitchii_x G.Nicholson;Laelia veitchii G.Nicholson;NA
Laelia finckeniana_x O'Brien;Laelia finckeniana O'Brien;NA
Laelia euterpe_x Rchb.f.;Laelia euterpe Rchb.f.;NA
Laelia dominiana_x Rchb.f.;Laelia dominiana Rchb.f.;NA
Laelia dellensis_x Auct.;Laelia dellensis Auct.;NA
Laelia canhamiana_x Rchb.f.;Laelia canhamiana Rchb.f.;NA
Laelia caloglossa_x Rchb.f.;Laelia caloglossa Rchb.f.;NA
Laelia callistoglossa_x Rchb.f.;Laelia callistoglossa Rchb.f.;NA
Laelia bella_x Rchb.f.;Laelia bella Rchb.f.;NA
Laelia batemanniana_x Rchb.f.;Laelia batemanniana Rchb.f.;NA
Laelia amesiana_x Rchb.f.;Laelia amesiana Rchb.f.;NA
Himantoglossum samariense_x C.Alibertis & A.Alibertis;Himantoglossum samariense C.Alibertis & A.Alibertis;NA
Hemipilia mixta_x Ormerod;Hemipilia mixta Ormerod;NA
Habenaria suzannae_x Auct.;Habenaria suzannae Auct.;NA
Habenaria schweinfurthii_x Luer;Habenaria schweinfurthii Luer;NA
Gymnadenia wettsteiniana_x O.Abel;Gymnadenia wettsteiniana O.Abel;NA
Gymnadenia bornmuelleri_x DallaTorre & Sarnth.;Gymnadenia bornmuelleri DallaTorre & Sarnth.;NA
Gymnadenia souppensis_x E.G.Camus;Gymnadenia souppensis E.G.Camus;NA
Gymnadenia pyrenaeensis_x W.Foelsche;Gymnadenia pyrenaeensis W.Foelsche;NA
Gymnadenia eggeriana_x O.Gerbaud;Gymnadenia eggeriana O.Gerbaud;NA
Gymnadenia chodatii_x Lendn. ex Schröt.;Gymnadenia chodatii Lendn. ex Schröt.;NA
Gymnadenia chanousiana_x G.Foelsche & W.Foelsche;Gymnadenia chanousiana G.Foelsche & W.Foelsche;NA
Orchis suaveolens_x Vill.;Orchis suaveolens Vill.;NA
Gymnadenia borisii_x Stoj. & al.;Gymnadenia borisii Stoj. & al.;NA
Gymnadenia aschersoniana_x Brügger & Killias;Gymnadenia aschersoniana Brügger & Killias;NA
Gymnadenia aschersoni_x Brügger & Killias;Gymnadenia aschersoni Brügger & Killias;NA
Gymnadenia anacamptis_x F.Wilms;Gymnadenia anacamptis F.Wilms;NA
Goodyera veitchii_x B.S.Williams;Goodyera veitchii B.S.Williams;NA
Goodyera dominii_x B.S.Williams;Goodyera dominii B.S.Williams;NA
Eulophiella rolfei_x Dupont;Eulophiella rolfei Dupont;NA
Eulophia pholelana_x H.Kurze & O.Kurze;Eulophia pholelana H.Kurze & O.Kurze;NA
Eulophia burundiensis_x Arbonn. & Geerinck;Eulophia burundiensis Arbonn. & Geerinck;NA
Epipactis vermionensis_x B.Baumann & H.Baumann;Epipactis vermionensis B.Baumann & H.Baumann;NA
Epipactis trikalana_x B.Baumann & H.Baumann;Epipactis trikalana B.Baumann & H.Baumann;NA
Epipactis stephensonii_x Godfery;Epipactis stephensonii Godfery;NA
Epipactis soguksuensis_x Kreutz;Epipactis soguksuensis Kreutz;NA
Epipactis schulzei_x P.Fourn.;Epipactis schulzei P.Fourn.;NA
Epipactis schulzei_x var. wolfii E.G.Camus;Epipactis schulzei var. wolfii E.G.Camus;NA
Epipactis schmalhausenii_x K.Richt.;Epipactis schmalhausenii K.Richt.;NA
Epipactis robatschii_x Gévaudan & P.Delforge;Epipactis robatschii Gévaudan & P.Delforge;NA
