verbatim;edited;parent
Knautia arvensis x Knautia basaltica var. foreziensis;Knautia arvensis × Knautia basaltica var. foreziensis;Knautia basaltica var. foreziensis
Anacamptis coriophora subsp. coriophora x Neotinea lactea;Anacamptis coriophora subsp. coriophora × Neotinea lactea;Anacamptis coriophora subsp. coriophora
Anacamptis coriophora subsp. coriophora x Neotinea lactea;Anacamptis coriophora subsp. coriophora × Neotinea lactea;Neotinea lactea
Dactylorhiza sudetica x Gymnadenia nigra subsp. rhellicani;Dactylorhiza sudetica × Gymnadenia nigra subsp. rhellicani;Dactylorhiza sudetica
Dactylorhiza sudetica x Gymnadenia nigra subsp. rhellicani;Dactylorhiza sudetica × Gymnadenia nigra subsp. rhellicani;Gymnadenia nigra subsp. rhellicani
Dactylorhiza majalis subsp. alpestris x Dactylorhiza sudetica;Dactylorhiza majalis subsp. alpestris × Dactylorhiza sudetica;Dactylorhiza majalis subsp. alpestris
Dactylorhiza majalis subsp. alpestris x Dactylorhiza sudetica;Dactylorhiza majalis subsp. alpestris × Dactylorhiza sudetica;Dactylorhiza sudetica
Setaria verticillata x Setaria italica subsp. viridis;Setaria verticillata × Setaria italica subsp. viridis;Setaria verticillata
Setaria verticillata x Setaria italica subsp. viridis;Setaria verticillata × Setaria italica subsp. viridis;Setaria italica subsp. viridis
Erigeron acris x angulosus;Erigeron acris × angulosus;Erigeron acris
Erigeron acris x angulosus;Erigeron acris × angulosus;Erigeron angulosus
Epipactis kleinii x Epipactis helleborine subsp. tremolsii;Epipactis kleinii × Epipactis helleborine subsp. tremolsii;Epipactis kleinii
Epipactis kleinii x Epipactis helleborine subsp. tremolsii;Epipactis kleinii × Epipactis helleborine subsp. tremolsii;Epipactis helleborine subsp. tremolsii
Dactylorhiza incarnata subsp. incarnata x Orchis purpurea;Dactylorhiza incarnata subsp. incarnata × Orchis purpurea;Dactylorhiza incarnata subsp. incarnata
Dactylorhiza incarnata subsp. incarnata x Orchis purpurea;Dactylorhiza incarnata subsp. incarnata × Orchis purpurea;Orchis purpurea
Armeria arenaria subsp. arenaria x Armeria pubinervis;Armeria arenaria subsp. arenaria × Armeria pubinervis;Armeria arenaria subsp. arenaria
Armeria arenaria subsp. arenaria x Armeria pubinervis;Armeria arenaria subsp. arenaria × Armeria pubinervis;Armeria pubinervis
Salicornia appressa x Salicornia europaea subsp. x marshallii;Salicornia appressa × Salicornia europaea subsp. marshallii;Salicornia appressa
Salicornia appressa x Salicornia europaea subsp. x marshallii;Salicornia appressa × Salicornia europaea subsp. marshallii;Salicornia europaea subsp. marshallii
Arum italicum var. neglectum x Arum maculatum;Arum italicum var. neglectum × Arum maculatum;Arum italicum var. neglectum
Arum italicum var. neglectum x Arum maculatum;Arum italicum var. neglectum × Arum maculatum;Arum maculatum
Salix cinerea subsp. cinerea x subsp. oleifolia;Salix cinerea subsp. cinerea × subsp. oleifolia;Salix cinerea subsp. cinerea
Salix cinerea subsp. cinerea x subsp. oleifolia;Salix cinerea subsp. cinerea × subsp. oleifolia;Salix cinerea subsp. oleifolia
Petasites frigidus var. X vitifolius;Petasites frigidus var. vitifolius;NA
Asplenium trichomanes subsp. hastatum x subsp. quadrivalens;Asplenium trichomanes subsp. hastatum × subsp. quadrivalens;Asplenium trichomanes subsp. hastatum
Asplenium trichomanes subsp. hastatum x subsp. quadrivalens;Asplenium trichomanes subsp. hastatum × subsp. quadrivalens;Asplenium trichomanes subsp. quadrivalens
Gymnadenia nigra subsp. corneliana x Pseudorchis albida;Gymnadenia nigra subsp. corneliana × Pseudorchis albida;Gymnadenia nigra subsp. corneliana
Gymnadenia nigra subsp. corneliana x Pseudorchis albida;Gymnadenia nigra subsp. corneliana × Pseudorchis albida;Pseudorchis albida
Asplenium trichomanes subsp. hastatum x subsp. pachyrhachis;Asplenium trichomanes subsp. hastatum × subsp. pachyrhachis;Asplenium trichomanes subsp. hastatum
Asplenium trichomanes subsp. hastatum x subsp. pachyrhachis;Asplenium trichomanes subsp. hastatum × subsp. pachyrhachis;Asplenium trichomanes subsp. pachyrhachis
Euphorbia paralias x Euphorbia segetalis subsp. portlandica;Euphorbia paralias × Euphorbia segetalis subsp. portlandica;Euphorbia paralias
Euphorbia paralias x Euphorbia segetalis subsp. portlandica;Euphorbia paralias × Euphorbia segetalis subsp. portlandica;Euphorbia segetalis subsp. portlandica
Ophrys lupercalis x Ophrys aranifera subsp. massiliensis;Ophrys lupercalis × Ophrys aranifera subsp. massiliensis;Ophrys lupercalis
Ophrys lupercalis x Ophrys aranifera subsp. massiliensis;Ophrys lupercalis × Ophrys aranifera subsp. massiliensis;Ophrys aranifera subsp. massiliensis
Ophrys scolopax x Ophrys tenthredinifera subsp. ficalhoana;Ophrys scolopax × Ophrys tenthredinifera subsp. ficalhoana;Ophrys scolopax
Ophrys scolopax x Ophrys tenthredinifera subsp. ficalhoana;Ophrys scolopax × Ophrys tenthredinifera subsp. ficalhoana;Ophrys tenthredinifera subsp. ficalhoana
Dactylorhiza maculata subsp. ericetorum x Dactylorhiza traunsteineri;Dactylorhiza maculata subsp. ericetorum × Dactylorhiza traunsteineri;Dactylorhiza maculata subsp. ericetorum
Dactylorhiza maculata subsp. ericetorum x Dactylorhiza traunsteineri;Dactylorhiza maculata subsp. ericetorum × Dactylorhiza traunsteineri;Dactylorhiza traunsteineri
Salicornia europaea x Salicornia europaea subsp. x marshallii;Salicornia europaea × Salicornia europaea subsp. marshallii;Salicornia europaea
Salicornia europaea x Salicornia europaea subsp. x marshallii;Salicornia europaea × Salicornia europaea subsp. marshallii;Salicornia europaea subsp. marshallii
Passiflora caerulea var. x colvillii;Passiflora caerulea var. colvillii;NA
Ophrys fusca x Ophrys aranifera subsp. praecox;Ophrys fusca × Ophrys aranifera subsp. praecox;Ophrys fusca
Ophrys fusca x Ophrys aranifera subsp. praecox;Ophrys fusca × Ophrys aranifera subsp. praecox;Ophrys aranifera subsp. praecox
Aconitum napellus subsp. formosum x subsp. lobelii;Aconitum napellus subsp. formosum × subsp. lobelii;Aconitum napellus subsp. formosum
Aconitum napellus subsp. formosum x subsp. lobelii;Aconitum napellus subsp. formosum × subsp. lobelii;Aconitum napellus subsp. lobelii
Anacamptis laxiflora x Anacamptis morio subsp. picta;Anacamptis laxiflora × Anacamptis morio subsp. picta;Anacamptis laxiflora
Anacamptis laxiflora x Anacamptis morio subsp. picta;Anacamptis laxiflora × Anacamptis morio subsp. picta;Anacamptis morio subsp. picta
Aconitum napellus subsp. lobelii x subsp. napellus;Aconitum napellus subsp. lobelii × subsp. napellus;Aconitum napellus subsp. lobelii
Aconitum napellus subsp. lobelii x subsp. napellus;Aconitum napellus subsp. lobelii × subsp. napellus;Aconitum napellus subsp. napellus
Anacamptis palustris x Dactylorhiza traunsteineri subsp. traunsteineri;Anacamptis palustris × Dactylorhiza traunsteineri subsp. traunsteineri;Anacamptis palustris
Anacamptis palustris x Dactylorhiza traunsteineri subsp. traunsteineri;Anacamptis palustris × Dactylorhiza traunsteineri subsp. traunsteineri;Dactylorhiza traunsteineri subsp. traunsteineri
Anacamptis morio subsp. longicornu x Anacamptis morio subsp. picta;Anacamptis morio subsp. longicornu × Anacamptis morio subsp. picta;Anacamptis morio subsp. longicornu
Anacamptis morio subsp. longicornu x Anacamptis morio subsp. picta;Anacamptis morio subsp. longicornu × Anacamptis morio subsp. picta;Anacamptis morio subsp. picta
Dactylorhiza majalis subsp. alpestris x Dactylorhiza incarnata subsp. cruenta;Dactylorhiza majalis subsp. alpestris × Dactylorhiza incarnata subsp. cruenta;Dactylorhiza majalis subsp. alpestris
Dactylorhiza majalis subsp. alpestris x Dactylorhiza incarnata subsp. cruenta;Dactylorhiza majalis subsp. alpestris × Dactylorhiza incarnata subsp. cruenta;Dactylorhiza incarnata subsp. cruenta
Dactylorhiza fuchsii x Gymnadenia nigra subsp. rhellicani;Dactylorhiza fuchsii × Gymnadenia nigra subsp. rhellicani;Dactylorhiza fuchsii
Dactylorhiza fuchsii x Gymnadenia nigra subsp. rhellicani;Dactylorhiza fuchsii × Gymnadenia nigra subsp. rhellicani;Gymnadenia nigra subsp. rhellicani
Dactylorhiza incarnata subsp. cruenta x Dactylorhiza majalis;Dactylorhiza incarnata subsp. cruenta × Dactylorhiza majalis;Dactylorhiza incarnata subsp. cruenta
Dactylorhiza incarnata subsp. cruenta x Dactylorhiza majalis;Dactylorhiza incarnata subsp. cruenta × Dactylorhiza majalis;Dactylorhiza majalis
Ophrys fuciflora subsp. elatior x Ophrys fuciflora;Ophrys fuciflora subsp. elatior × Ophrys fuciflora;Ophrys fuciflora subsp. elatior
Ophrys fuciflora subsp. elatior x Ophrys fuciflora;Ophrys fuciflora subsp. elatior × Ophrys fuciflora;Ophrys fuciflora
Dombeya ferruginea subsp. borbonica x punctata;Dombeya ferruginea subsp. borbonica × punctata;Dombeya ferruginea subsp. borbonica
Dombeya ferruginea subsp. borbonica x punctata;Dombeya ferruginea subsp. borbonica × punctata;Dombeya punctata
Antirrhinum majus subsp. latifolium x Antirrhinum majus var. majus;Antirrhinum majus subsp. latifolium × Antirrhinum majus var. majus;Antirrhinum majus subsp. latifolium
Antirrhinum majus subsp. latifolium x Antirrhinum majus var. majus;Antirrhinum majus subsp. latifolium × Antirrhinum majus var. majus;Antirrhinum majus var. majus
Urtica dioica subsp. dioica x subsp. subinermis;Urtica dioica subsp. dioica × subsp. subinermis;Urtica dioica subsp. dioica
Urtica dioica subsp. dioica x subsp. subinermis;Urtica dioica subsp. dioica × subsp. subinermis;Urtica dioica subsp. subinermis
Gymnadenia nigra subsp. rhellicani x Pseudorchis albida;Gymnadenia nigra subsp. rhellicani × Pseudorchis albida;Gymnadenia nigra subsp. rhellicani
Gymnadenia nigra subsp. rhellicani x Pseudorchis albida;Gymnadenia nigra subsp. rhellicani × Pseudorchis albida;Pseudorchis albida
Pilosella officinarum x Pilosella piloselloides subsp. praealta;Pilosella officinarum × Pilosella piloselloides subsp. praealta;Pilosella officinarum
Pilosella officinarum x Pilosella piloselloides subsp. praealta;Pilosella officinarum × Pilosella piloselloides subsp. praealta;Pilosella piloselloides subsp. praealta
Ranunculus polyanthemos subsp. nemorosus x subsp. polyanthemophyllus;Ranunculus polyanthemos subsp. nemorosus × subsp. polyanthemophyllus;Ranunculus polyanthemos subsp. nemorosus
Ranunculus polyanthemos subsp. nemorosus x subsp. polyanthemophyllus;Ranunculus polyanthemos subsp. nemorosus × subsp. polyanthemophyllus;Ranunculus polyanthemos subsp. polyanthemophyllus
Rosa gallica × tomentosa var. genevensis;Rosa gallica × tomentosa var. genevensis;Rosa gallica
Rosa gallica × tomentosa var. genevensis;Rosa gallica × tomentosa var. genevensis;Rosa tomentosa var. genevensis
Ophrys aveyronensis x Ophrys tenthredinifera subsp. ficalhoana;Ophrys aveyronensis × Ophrys tenthredinifera subsp. ficalhoana;Ophrys aveyronensis
Ophrys aveyronensis x Ophrys tenthredinifera subsp. ficalhoana;Ophrys aveyronensis × Ophrys tenthredinifera subsp. ficalhoana;Ophrys tenthredinifera subsp. ficalhoana
Petasites frigidus var. x vitifolius;Petasites frigidus var. vitifolius;NA
