taxon_id;url;ecoflora_latin_name;taxon_name_canonical;hybrid_formula;ecoflora_author;ecoflora_family;ecoflora_english_name;ecoflora_plant_number;ecoflora_welsh_name;ecoflora_irish_name;taxon_name_authors;taxon_name;taxon_name_from_url;is_hybrid;taxon_id_accepted;taxon_name_accepted;taxon_name_canonical_accepted;date;contributor
ecoflora:950010150;http://ecoflora.org.uk/search_species2.php?plant_no=950010150;Acer negundo;Acer negundo;NA;L.;Sapindaceae;Ashleaf Maple;950010150;NA;NA;L.;Acer negundo L.;Acer negundo;FALSE;gbif:3189866;Acer negundo L.;Acer negundo;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:950010010;http://ecoflora.org.uk/search_species2.php?plant_no=950010010;Acer platanoides;Acer platanoides;NA;L.;Sapindaceae;Norway Maple;950010010;NA;NA;L.;Acer platanoides L.;Acer platanoides;FALSE;gbif:3189846;Acer platanoides L.;Acer platanoides;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:950010050;http://ecoflora.org.uk/search_species2.php?plant_no=950010050;Acer pseudoplatanus;Acer pseudoplatanus;NA;L.;Sapindaceae;Sycamore;950010050;NA;NA;L.;Acer pseudoplatanus L.;Acer pseudoplatanus;FALSE;gbif:3189870;Acer pseudoplatanus L.;Acer pseudoplatanus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920005387;http://ecoflora.org.uk/search_species2.php?plant_no=920005387;Acer saccharinum;Acer saccharinum;NA;L.;Sapindaceae;Silver Maple;920005387;NA;NA;L.;Acer saccharinum L.;Acer saccharinum;FALSE;gbif:3189837;Acer saccharinum L.;Acer saccharinum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:2030250010;http://ecoflora.org.uk/search_species2.php?plant_no=2030250010;Orchis anthropophora;Orchis anthropophora;NA;(L.) All.;Orchidaceae;Man Orchid;2030250010;NA;NA;(L.) All.;Orchis anthropophora (L.) All.;Aceras anthropophorum;FALSE;gbif:2849624;Orchis anthropophora (L.) All.;Orchis anthropophora;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:2030250010;http://ecoflora.org.uk/search_species2.php?plant_no=2030250010;Orchis anthropophora;Orchis anthropophora;NA;(L.) All.;Orchidaceae;Man Orchid;2030250010;NA;NA;(L.) All.;Orchis anthropophora (L.) All.;Orchis anthropophora;FALSE;gbif:2849624;Orchis anthropophora (L.) All.;Orchis anthropophora;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1690580220;http://ecoflora.org.uk/search_species2.php?plant_no=1690580220;Achillea distans;Achillea distans;NA;Waldst. & Kit. ex Willd.;Asteraceae;Tall Yarrow;1690580220;NA;NA;Waldst. & Kit. ex Willd.;Achillea distans Waldst. & Kit. ex Willd.;Achillea distans;FALSE;gbif:3120264;Achillea distans Waldst. & Kit. ex Willd.;Achillea distans;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1690580340;http://ecoflora.org.uk/search_species2.php?plant_no=1690580340;Achillea ligustica;Achillea ligustica;NA;All.;Asteraceae;Southern Yarrow;1690580340;NA;NA;All.;Achillea ligustica All.;Achillea ligustica;FALSE;gbif:3120032;Achillea ligustica All.;Achillea ligustica;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1690580240;http://ecoflora.org.uk/search_species2.php?plant_no=1690580240;Achillea millefolium;Achillea millefolium;NA;L.;Asteraceae;Yarrow;1690580240;Milddail;Athair thalún;L.;Achillea millefolium L.;Achillea millefolium;FALSE;gbif:3120060;Achillea millefolium L.;Achillea millefolium;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1690580170;http://ecoflora.org.uk/search_species2.php?plant_no=1690580170;Achillea ptarmica;Achillea ptarmica;NA;L.;Asteraceae;Sneezewort;1690580170;Ystreqllys;Lus corráin;L.;Achillea ptarmica L.;Achillea ptarmica;FALSE;gbif:3120333;Achillea ptarmica L.;Achillea ptarmica;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1510260040;http://ecoflora.org.uk/search_species2.php?plant_no=1510260040;Clinopodium acinos;Clinopodium acinos;NA;(L.) Kuntze;Lamiaceae;Basil Thyme;1510260040;Brenhinllys y Maes;NA;(L.) Kuntze;Clinopodium acinos (L.) Kuntze;Acinos arvensis;FALSE;gbif:2927118;Clinopodium acinos (L.) Kuntze;Clinopodium acinos;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1510260040;http://ecoflora.org.uk/search_species2.php?plant_no=1510260040;Clinopodium acinos;Clinopodium acinos;NA;(L.) Kuntze;Lamiaceae;Basil Thyme;1510260040;Brenhinllys y Maes;NA;(L.) Kuntze;Clinopodium acinos (L.) Kuntze;Clinopodium acinos;FALSE;gbif:2927118;Clinopodium acinos (L.) Kuntze;Clinopodium acinos;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1510260040;http://ecoflora.org.uk/search_species2.php?plant_no=1510260040;Clinopodium acinos;Clinopodium acinos;NA;(L.) Kuntze;Lamiaceae;Basil Thyme;1510260040;Brenhinllys y Maes;NA;(L.) Kuntze;Clinopodium acinos (L.) Kuntze;Satureja acinos;FALSE;gbif:2927118;Clinopodium acinos (L.) Kuntze;Clinopodium acinos;Mon Sep 13 18:51:48 2021;Marina Golivets
