verbatim;edited;parent
Chenopodium album × opulifolium;Chenopodium album × opulifolium;Chenopodium album
Chenopodium album × opulifolium;Chenopodium album × opulifolium;Chenopodium opulifolium
Chenopodium borbasioides;Chenopodium borbasioides;NA
Chenopodium album × ficifolium;Chenopodium album × ficifolium;Chenopodium album
Chenopodium album × ficifolium;Chenopodium album × ficifolium;Chenopodium ficifolium
Chrysanthemum grandiflorum;Chrysanthemum grandiflorum;NA
Circaea intermedia Ehrh.;Circaea intermedia Ehrh.;NA
Cirsium acaulon × arvense × oleraceum;Cirsium acaulon × arvense × oleraceum;Cirsium acaulon
Cirsium acaulon × arvense × oleraceum;Cirsium acaulon × arvense × oleraceum;Cirsium arvense
Cirsium acaulon × arvense × oleraceum;Cirsium acaulon × arvense × oleraceum;Cirsium oleraceum
Cirsium acaulon × eriophorum;Cirsium acaulon × eriophorum;Cirsium acaulon
Cirsium acaulon × eriophorum;Cirsium acaulon × eriophorum;Cirsium eriophorum
Cirsium acaulon × oleraceum × palustre;Cirsium acaulon × oleraceum × palustre;Cirsium acaulon
Cirsium acaulon × oleraceum × palustre;Cirsium acaulon × oleraceum × palustre;Cirsium oleraceum
Cirsium acaulon × oleraceum × palustre;Cirsium acaulon × oleraceum × palustre;Cirsium palustre
Cirsium acaulon × oleraceum × tuberosum;Cirsium acaulon × oleraceum × tuberosum;Cirsium acaulon
Cirsium acaulon × oleraceum × tuberosum;Cirsium acaulon × oleraceum × tuberosum;Cirsium oleraceum
Cirsium acaulon × oleraceum × tuberosum;Cirsium acaulon × oleraceum × tuberosum;Cirsium tuberosum
Cirsium acaulon × palustre × tuberosum;Cirsium acaulon × palustre × tuberosum;Cirsium acaulon
Cirsium acaulon × palustre × tuberosum;Cirsium acaulon × palustre × tuberosum;Cirsium palustre
Cirsium acaulon × palustre × tuberosum;Cirsium acaulon × palustre × tuberosum;Cirsium tuberosum
Cirsium × affine Tausch;Cirsium × affine Tausch;NA
Cirsium × celakovskyanum Knaf;Cirsium × celakovskyanum Knaf;NA
Cirsium × bipontinum F. W. Schultz;Cirsium × bipontinum F. W. Schultz;NA
Cirsium acaulon × arvense;Cirsium acaulon × arvense;Cirsium acaulon
Cirsium acaulon × arvense;Cirsium acaulon × arvense;Cirsium arvense
Cirsium × dominii M. Schulze;Cirsium × dominii M. Schulze;NA
Cirsium eriophorum × tuberosum;Cirsium eriophorum × tuberosum;Cirsium eriophorum
Cirsium eriophorum × tuberosum;Cirsium eriophorum × tuberosum;Cirsium tuberosum
Cirsium erisithales × spinosissimum (Jacq.) Scop.;Cirsium erisithales × spinosissimum (Jacq.) Scop.;Cirsium erisithales
Cirsium erisithales × spinosissimum (Jacq.) Scop.;Cirsium erisithales × spinosissimum (Jacq.) Scop.;Cirsium spinosissimum (Jacq.) Scop.
Cirsium erisithales × rivulare;Cirsium erisithales × rivulare;Cirsium erisithales
Cirsium erisithales × rivulare;Cirsium erisithales × rivulare;Cirsium rivulare
Cirsium × erucagineum DC.;Cirsium × erucagineum DC.;NA
Cirsium × gerhardtii Sch. Bip.;Cirsium × gerhardtii Sch. Bip.;NA
Cirsium oleraceum × palustre;Cirsium oleraceum × palustre;Cirsium oleraceum
Cirsium oleraceum × palustre;Cirsium oleraceum × palustre;Cirsium palustre
Cirsium × kirschlegeri C. H. Schultz;Cirsium × kirschlegeri C. H. Schultz;NA
Cirsium × braunii F. W. Schultz;Cirsium × braunii F. W. Schultz;NA
Cirsium oleraceum × oleraceum × tuberosum;Cirsium oleraceum × oleraceum × tuberosum;Cirsium oleraceum
Cirsium oleraceum × oleraceum × tuberosum;Cirsium oleraceum × oleraceum × tuberosum;Cirsium oleraceum
Cirsium oleraceum × oleraceum × tuberosum;Cirsium oleraceum × oleraceum × tuberosum;Cirsium tuberosum
Cirsium oleraceum × palustre × palustre;Cirsium oleraceum × palustre × palustre;Cirsium oleraceum
Cirsium oleraceum × palustre × palustre;Cirsium oleraceum × palustre × palustre;Cirsium palustre
Cirsium oleraceum × palustre × palustre;Cirsium oleraceum × palustre × palustre;Cirsium palustre
Cirsium oleraceum × palustre × tuberosum;Cirsium oleraceum × palustre × tuberosum;Cirsium oleraceum
Cirsium oleraceum × palustre × tuberosum;Cirsium oleraceum × palustre × tuberosum;Cirsium palustre
Cirsium oleraceum × palustre × tuberosum;Cirsium oleraceum × palustre × tuberosum;Cirsium tuberosum
Cirsium oleraceum × rivulare × tuberosum;Cirsium oleraceum × rivulare × tuberosum;Cirsium oleraceum
Cirsium oleraceum × rivulare × tuberosum;Cirsium oleraceum × rivulare × tuberosum;Cirsium rivulare
Cirsium oleraceum × rivulare × tuberosum;Cirsium oleraceum × rivulare × tuberosum;Cirsium tuberosum
Cirsium oleraceum × spinosissimum;Cirsium oleraceum × spinosissimum;Cirsium oleraceum
Cirsium oleraceum × spinosissimum;Cirsium oleraceum × spinosissimum;Cirsium spinosissimum
Cirsium palustre × spinosissimum;Cirsium palustre × spinosissimum;Cirsium palustre
Cirsium palustre × spinosissimum;Cirsium palustre × spinosissimum;Cirsium spinosissimum
Cirsium × prantlii Grembl.;Cirsium × prantlii Grembl.;NA
Cirsium × reichenbachianum M. Loehr;Cirsium × reichenbachianum M. Loehr;NA
Cirsium acaulon × oleraceum;Cirsium acaulon × oleraceum;Cirsium acaulon
Cirsium acaulon × oleraceum;Cirsium acaulon × oleraceum;Cirsium oleraceum
Cirsium rivulare × tuberosum;Cirsium rivulare × tuberosum;Cirsium rivulare
Cirsium rivulare × tuberosum;Cirsium rivulare × tuberosum;Cirsium tuberosum
Cirsium acaulon × vulgare;Cirsium acaulon × vulgare;Cirsium acaulon
Cirsium acaulon × vulgare;Cirsium acaulon × vulgare;Cirsium vulgare
Cirsium × semidecurrens;Cirsium × semidecurrens;NA
Cirsium × subalpinum;Cirsium × subalpinum;NA
Cirsium × subspinuligerum Peterm.;Cirsium × subspinuligerum Peterm.;NA
Cirsium canum × oleraceum;Cirsium canum × oleraceum;Cirsium canum
Cirsium canum × oleraceum;Cirsium canum × oleraceum;Cirsium oleraceum
Cirsium acaulon × tuberosum;Cirsium acaulon × tuberosum;Cirsium acaulon
Cirsium acaulon × tuberosum;Cirsium acaulon × tuberosum;Cirsium tuberosum
Cirsium × wankelii Reichard;Cirsium × wankelii Reichard;NA
Cirsium canum × palustre;Cirsium canum × palustre;Cirsium canum
Cirsium canum × palustre;Cirsium canum × palustre;Cirsium palustre
Citrus aurantium L.;Citrus aurantium L.;NA
Colutea × media Willd.;Colutea × media Willd.;NA
Corydalis cava × solida;Corydalis cava × solida;Corydalis cava
Corydalis cava × solida;Corydalis cava × solida;Corydalis solida
Corydalis intermedia × solida;Corydalis intermedia × solida;Corydalis intermedia
Corydalis intermedia × solida;Corydalis intermedia × solida;Corydalis solida
Cotoneaster suecicus;Cotoneaster suecicus;NA
Cotoneaster × watereri Exell;Cotoneaster × watereri Exell;NA
Crataegus subsphaerica Gand., s. str.;Crataegus subsphaerica Gand., s. str.;NA
Crataegus domicensis Hrabětová;Crataegus domicensis Hrabětová;NA
Crataegus laevigata × monogyna × rhipidophylla;Crataegus laevigata × monogyna × rhipidophylla;Crataegus laevigata
Crataegus laevigata × monogyna × rhipidophylla;Crataegus laevigata × monogyna × rhipidophylla;Crataegus monogyna
Crataegus laevigata × monogyna × rhipidophylla;Crataegus laevigata × monogyna × rhipidophylla;Crataegus rhipidophylla
Crataegus macrocarpa Hegetschw., s. str.;Crataegus macrocarpa Hegetschw., s. str.;NA
Crataegus calycina Peterm.;Crataegus calycina Peterm.;NA
Crataegus lavallei Hérincq ex Lavallé;Crataegus lavallei Hérincq ex Lavallé;NA
Crataegus media Bechst.;Crataegus media Bechst.;NA
Crataegus persimilis Sarg.;Crataegus persimilis Sarg.;NA
Crataegus dunensis Cinovskis;Crataegus dunensis Cinovskis;NA
Crocosmia × crocosmiiflora;Crocosmia × crocosmiiflora;NA
Crocus × luteus Lam.;Crocus × luteus Lam.;NA
Crocus stellaris Haw.;Crocus stellaris Haw.;NA
Cytisus × praecox Wheeler;Cytisus × praecox Wheeler;NA
Dactylis × pendula;Dactylis × pendula;NA
Dactylorhiza × wintonii (Druce ex A. Camus) P. F. Hunt;Dactylorhiza × wintonii (Druce ex A. Camus) P. F. Hunt;NA
Dactylorhiza incarnata × majalis;Dactylorhiza incarnata × majalis;Dactylorhiza incarnata
Dactylorhiza incarnata × majalis;Dactylorhiza incarnata × majalis;Dactylorhiza majalis
Dactylorhiza × braunii;Dactylorhiza × braunii;NA
Dactylorhiza incarnata × maculata;Dactylorhiza incarnata × maculata;Dactylorhiza incarnata
Dactylorhiza incarnata × maculata;Dactylorhiza incarnata × maculata;Dactylorhiza maculata
Dactylorhiza maculata × majalis;Dactylorhiza maculata × majalis;Dactylorhiza maculata
Dactylorhiza maculata × majalis;Dactylorhiza maculata × majalis;Dactylorhiza majalis
Dactylorhiza × dufftiana (M. Schulze) Soó;Dactylorhiza × dufftiana (M. Schulze) Soó;NA
Dactylorhiza × stenostachys (J. Murr) Rauschert;Dactylorhiza × stenostachys (J. Murr) Rauschert;NA
Dactylorhiza × kuehnensis;Dactylorhiza × kuehnensis;NA
Dactylorhiza fuchsii × traunsteineri;Dactylorhiza fuchsii × traunsteineri;Dactylorhiza fuchsii
Dactylorhiza fuchsii × traunsteineri;Dactylorhiza fuchsii × traunsteineri;Dactylorhiza traunsteineri
Dactylorhiza fuchsii × Gymnadenia conopsea;Dactylorhiza fuchsii × Gymnadenia conopsea;Dactylorhiza fuchsii
Dactylorhiza fuchsii × Gymnadenia conopsea;Dactylorhiza fuchsii × Gymnadenia conopsea;Gymnadenia conopsea
Dactylorhiza fuchsii × maculata;Dactylorhiza fuchsii × maculata;Dactylorhiza fuchsii
Dactylorhiza fuchsii × maculata;Dactylorhiza fuchsii × maculata;Dactylorhiza maculata
Dactylorhiza fuchsii × Pseudorchis albida;Dactylorhiza fuchsii × Pseudorchis albida;Dactylorhiza fuchsii
Dactylorhiza fuchsii × Pseudorchis albida;Dactylorhiza fuchsii × Pseudorchis albida;Pseudorchis albida
Dactylorhiza × godferyana (Soó) Peitz;Dactylorhiza × godferyana (Soó) Peitz;NA
Dactylorhiza incarnata × Gymnadenia conopsea;Dactylorhiza incarnata × Gymnadenia conopsea;Dactylorhiza incarnata
Dactylorhiza incarnata × Gymnadenia conopsea;Dactylorhiza incarnata × Gymnadenia conopsea;Gymnadenia conopsea
Dactylorhiza incarnata × maculata × majalis;Dactylorhiza incarnata × maculata × majalis;Dactylorhiza incarnata
Dactylorhiza incarnata × maculata × majalis;Dactylorhiza incarnata × maculata × majalis;Dactylorhiza maculata
Dactylorhiza incarnata × maculata × majalis;Dactylorhiza incarnata × maculata × majalis;Dactylorhiza majalis
Dactylorhiza incarnata × ochroleuca;Dactylorhiza incarnata × ochroleuca;Dactylorhiza incarnata
Dactylorhiza incarnata × ochroleuca;Dactylorhiza incarnata × ochroleuca;Dactylorhiza ochroleuca
Dactylorhiza incarnata × Orchis palustris;Dactylorhiza incarnata × Orchis palustris;Dactylorhiza incarnata
Dactylorhiza incarnata × Orchis palustris;Dactylorhiza incarnata × Orchis palustris;Orchis palustris
Dactylorhiza fuchsii × incarnata;Dactylorhiza fuchsii × incarnata;Dactylorhiza fuchsii
Dactylorhiza fuchsii × incarnata;Dactylorhiza fuchsii × incarnata;Dactylorhiza incarnata
Dactylorhiza maculata × Gymnadenia conopsea;Dactylorhiza maculata × Gymnadenia conopsea;Dactylorhiza maculata
Dactylorhiza maculata × Gymnadenia conopsea;Dactylorhiza maculata × Gymnadenia conopsea;Gymnadenia conopsea
Dactylorhiza maculata × Orchis mascula;Dactylorhiza maculata × Orchis mascula;Dactylorhiza maculata
Dactylorhiza maculata × Orchis mascula;Dactylorhiza maculata × Orchis mascula;Orchis mascula
Dactylorhiza maculata × sambucina;Dactylorhiza maculata × sambucina;Dactylorhiza maculata
Dactylorhiza maculata × sambucina;Dactylorhiza maculata × sambucina;Dactylorhiza sambucina
Dactylorhiza maculata × traunsteineri;Dactylorhiza maculata × traunsteineri;Dactylorhiza maculata
Dactylorhiza maculata × traunsteineri;Dactylorhiza maculata × traunsteineri;Dactylorhiza traunsteineri
Dactylorhiza sphagnicola (Höppner) Soó;Dactylorhiza sphagnicola (Höppner) Soó;NA
Dactylorhiza majalis × Gymnadenia conopsea;Dactylorhiza majalis × Gymnadenia conopsea;Dactylorhiza majalis
Dactylorhiza majalis × Gymnadenia conopsea;Dactylorhiza majalis × Gymnadenia conopsea;Gymnadenia conopsea
Dactylorhiza majalis × ochroleuca;Dactylorhiza majalis × ochroleuca;Dactylorhiza majalis
Dactylorhiza majalis × ochroleuca;Dactylorhiza majalis × ochroleuca;Dactylorhiza ochroleuca
Dactylorhiza majalis × Orchis mascula;Dactylorhiza majalis × Orchis mascula;Dactylorhiza majalis
Dactylorhiza majalis × Orchis mascula;Dactylorhiza majalis × Orchis mascula;Orchis mascula
Dactylorhiza majalis × Orchis morio;Dactylorhiza majalis × Orchis morio;Dactylorhiza majalis
Dactylorhiza majalis × Orchis morio;Dactylorhiza majalis × Orchis morio;Orchis morio
Dactylorhiza majalis × Orchis palustris;Dactylorhiza majalis × Orchis palustris;Dactylorhiza majalis
Dactylorhiza majalis × Orchis palustris;Dactylorhiza majalis × Orchis palustris;Orchis palustris
Dactylorhiza majalis × sambucina;Dactylorhiza majalis × sambucina;Dactylorhiza majalis
Dactylorhiza majalis × sambucina;Dactylorhiza majalis × sambucina;Dactylorhiza sambucina
Dactylorhiza ruthei (M. Schulze ex R. Ruthe) Soó;Dactylorhiza ruthei (M. Schulze ex R. Ruthe) Soó;NA
Dactylorhiza traunsteineri × Orchis mascula;Dactylorhiza traunsteineri × Orchis mascula;Dactylorhiza traunsteineri
Dactylorhiza traunsteineri × Orchis mascula;Dactylorhiza traunsteineri × Orchis mascula;Orchis mascula
Dactylorhiza × vermeuleniana Soó;Dactylorhiza × vermeuleniana Soó;NA
Dahlia hortensis;Dahlia hortensis;NA
Daphne burkwoodii Turrill;Daphne burkwoodii Turrill;NA
Delphinium cultorum Voss;Delphinium cultorum Voss;NA
Deutzia hybrida Lemoine;Deutzia hybrida Lemoine;NA
Deutzia × magnifica (Lemoine) Rehder;Deutzia × magnifica (Lemoine) Rehder;NA
Dianthus arenarius × carthusianorum;Dianthus arenarius × carthusianorum;Dianthus arenarius
Dianthus arenarius × carthusianorum;Dianthus arenarius × carthusianorum;Dianthus carthusianorum
Dianthus armeria × superbus;Dianthus armeria × superbus;Dianthus armeria
Dianthus armeria × superbus;Dianthus armeria × superbus;Dianthus superbus
Dianthus barbatus × deltoides;Dianthus barbatus × deltoides;Dianthus barbatus
Dianthus barbatus × deltoides;Dianthus barbatus × deltoides;Dianthus deltoides
Dianthus barbatus × superbus;Dianthus barbatus × superbus;Dianthus barbatus
Dianthus barbatus × superbus;Dianthus barbatus × superbus;Dianthus superbus
Dianthus carthusianorum × deltoides;Dianthus carthusianorum × deltoides;Dianthus carthusianorum
Dianthus carthusianorum × deltoides;Dianthus carthusianorum × deltoides;Dianthus deltoides
Dianthus carthusianorum × seguieri;Dianthus carthusianorum × seguieri;Dianthus carthusianorum
Dianthus carthusianorum × seguieri;Dianthus carthusianorum × seguieri;Dianthus seguieri
Dianthus × hellwigii Asch.;Dianthus × hellwigii Asch.;NA
Dianthus deltoides × superbus;Dianthus deltoides × superbus;Dianthus deltoides
Dianthus deltoides × superbus;Dianthus deltoides × superbus;Dianthus superbus
Digitalis × fulva;Digitalis × fulva;NA
Digitalis × media;Digitalis × media;NA
Digitalis × purpurascens;Digitalis × purpurascens;NA
Diphasiastrum issleri (Rouy) Holub;Diphasiastrum issleri (Rouy) Holub;NA
Diphasiastrum oellgaardii Stoor, Boudry, Jérôme, K. Horn & Bennert;Diphasiastrum oellgaardii Stoor, Boudry, Jérôme, K. Horn & Bennert;NA
Diphasiastrum zeilleri (Rouy) Holub;Diphasiastrum zeilleri (Rouy) Holub;NA
Dipsacus fullonum × laciniatus;Dipsacus fullonum × laciniatus;Dipsacus fullonum
Dipsacus fullonum × laciniatus;Dipsacus fullonum × laciniatus;Dipsacus laciniatus
Doronicum × willdenowii (Rouy) A. W. Hill;Doronicum × willdenowii (Rouy) A. W. Hill;NA
Drosera anglica × intermedia;Drosera anglica × intermedia;Drosera anglica
Drosera anglica × intermedia;Drosera anglica × intermedia;Drosera intermedia
Drosera intermedia × rotundifolia;Drosera intermedia × rotundifolia;Drosera intermedia
Drosera intermedia × rotundifolia;Drosera intermedia × rotundifolia;Drosera rotundifolia
Drosera × obovata Mert. & W. D. J. Koch;Drosera × obovata Mert. & W. D. J. Koch;NA
Dryopteris carthusiana × remota;Dryopteris carthusiana × remota;Dryopteris carthusiana
Dryopteris carthusiana × remota;Dryopteris carthusiana × remota;Dryopteris remota
Dryopteris dilatata × expansa;Dryopteris dilatata × expansa;Dryopteris dilatata
Dryopteris dilatata × expansa;Dryopteris dilatata × expansa;Dryopteris expansa
Dryopteris carthusiana × filix-mas;Dryopteris carthusiana × filix-mas;Dryopteris carthusiana
Dryopteris carthusiana × filix-mas;Dryopteris carthusiana × filix-mas;Dryopteris filix-mas
Dryopteris filix-mas × pseudodisjuncta;Dryopteris filix-mas × pseudodisjuncta;Dryopteris filix-mas
Dryopteris filix-mas × pseudodisjuncta;Dryopteris filix-mas × pseudodisjuncta;Dryopteris pseudodisjuncta
Dryopteris × complexa Fraser-Jenk.;Dryopteris × complexa Fraser-Jenk.;NA
Dryopteris cambrensis × filix-mas;Dryopteris cambrensis × filix-mas;Dryopteris cambrensis
Dryopteris cambrensis × filix-mas;Dryopteris cambrensis × filix-mas;Dryopteris filix-mas
Dryopteris borreri × filix-mas;Dryopteris borreri × filix-mas;Dryopteris borreri
Dryopteris borreri × filix-mas;Dryopteris borreri × filix-mas;Dryopteris filix-mas
Dryopteris × deweveri (J. T. Jansen) Jansen & Wacht.;Dryopteris × deweveri (J. T. Jansen) Jansen & Wacht.;NA
Dryopteris carthusiana × expansa;Dryopteris carthusiana × expansa;Dryopteris carthusiana
Dryopteris carthusiana × expansa;Dryopteris carthusiana × expansa;Dryopteris expansa
Dryopteris × uliginosa (A. Braun) Druce;Dryopteris × uliginosa (A. Braun) Druce;NA
Echinops × pellezianus Hügin & Lohmeyer;Echinops × pellezianus Hügin & Lohmeyer;NA
Elyleymus bergrothii (H. Lindb.) Conert;Elyleymus bergrothii (H. Lindb.) Conert;NA
Elyleymus strictus (Dethard. ex Rchb.) Conert;Elyleymus strictus (Dethard. ex Rchb.) Conert;NA
Elymus aenaeanus × laxulus;Elymus aenaeanus × laxulus;Elymus aenaeanus
Elymus aenaeanus × laxulus;Elymus aenaeanus × laxulus;Elymus laxulus
Elymus aenaeanus × repens;Elymus aenaeanus × repens;Elymus aenaeanus
Elymus aenaeanus × repens;Elymus aenaeanus × repens;Elymus repens
Elymus campestris × repens;Elymus campestris × repens;Elymus campestris
Elymus campestris × repens;Elymus campestris × repens;Elymus repens
Elymus drucei (Stace) Lambinon;Elymus drucei (Stace) Lambinon;NA
Elymus laxulus × repens;Elymus laxulus × repens;Elymus laxulus
Elymus laxulus × repens;Elymus laxulus × repens;Elymus repens
Elymus laxus (Fr.) Melderis & D. C. McClint.;Elymus laxus (Fr.) Melderis & D. C. McClint.;NA
Elymus obtusiusculus (Lange) Melderis & D. C. McClint.;Elymus obtusiusculus (Lange) Melderis & D. C. McClint.;NA
Epilobium × aggregatum Čelak.;Epilobium × aggregatum Čelak.;NA
Epilobium × salicifolium Facchini;Epilobium × salicifolium Facchini;NA
Epilobium × ambigens Hausskn.;Epilobium × ambigens Hausskn.;NA
Epilobium × amphibolum Hausskn.;Epilobium × amphibolum Hausskn.;NA
Epilobium × aschersonianum Hausskn.;Epilobium × aschersonianum Hausskn.;NA
Epilobium × beckhausii;Epilobium × beckhausii;NA
Epilobium × boissieri Hausskn.;Epilobium × boissieri Hausskn.;NA
Epilobium roseum × tetragonum;Epilobium roseum × tetragonum;Epilobium roseum
Epilobium roseum × tetragonum;Epilobium roseum × tetragonum;Epilobium tetragonum
Epilobium × brachiatum Čelak.;Epilobium × brachiatum Čelak.;NA
Epilobium × brevipilum;Epilobium × brevipilum;NA
Epilobium × celakovskyanum Hausskn.;Epilobium × celakovskyanum Hausskn.;NA
Epilobium ciliatum × hirsutum × parviflorum;Epilobium ciliatum × hirsutum × parviflorum;Epilobium ciliatum
Epilobium ciliatum × hirsutum × parviflorum;Epilobium ciliatum × hirsutum × parviflorum;Epilobium hirsutum
Epilobium ciliatum × hirsutum × parviflorum;Epilobium ciliatum × hirsutum × parviflorum;Epilobium parviflorum
Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;Epilobium ciliatum
Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;Epilobium parviflorum
Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;Epilobium ciliatum × parviflorum × tetragonum subsp. tetragonum;Epilobium tetragonum subsp. tetragonum
Epilobium collinum × lanceolatum;Epilobium collinum × lanceolatum;Epilobium collinum
Epilobium collinum × lanceolatum;Epilobium collinum × lanceolatum;Epilobium lanceolatum
Epilobium collinum × palustre;Epilobium collinum × palustre;Epilobium collinum
Epilobium collinum × palustre;Epilobium collinum × palustre;Epilobium palustre
Epilobium × confine Hausskn.;Epilobium × confine Hausskn.;NA
Epilobium × dacicum Borbás;Epilobium × dacicum Borbás;NA
Epilobium × dasycarpum Fr.;Epilobium × dasycarpum Fr.;NA
Epilobium × decipiens F. W. Schultz;Epilobium × decipiens F. W. Schultz;NA
Epilobium × dufftii Hausskn.;Epilobium × dufftii Hausskn.;NA
Epilobium × eriksonii Levl.;Epilobium × eriksonii Levl.;NA
Epilobium × erroneum Hausskn.;Epilobium × erroneum Hausskn.;NA
Epilobium × fallacinum Hausskn.;Epilobium × fallacinum Hausskn.;NA
Epilobium × finitimum Hausskn.;Epilobium × finitimum Hausskn.;NA
Epilobium ciliatum × parviflorum;Epilobium ciliatum × parviflorum;Epilobium ciliatum
Epilobium ciliatum × parviflorum;Epilobium ciliatum × parviflorum;Epilobium parviflorum
Epilobium ciliatum × palustre;Epilobium ciliatum × palustre;Epilobium ciliatum
Epilobium ciliatum × palustre;Epilobium ciliatum × palustre;Epilobium palustre
Epilobium × freyni Čelak.;Epilobium × freyni Čelak.;NA
Epilobium × friburgense Thell.;Epilobium × friburgense Thell.;NA
Epilobium × gemmiferum Boreau;Epilobium × gemmiferum Boreau;NA
Epilobium × gerstlaueri Rubner;Epilobium × gerstlaueri Rubner;NA
Epilobium × glanduligerum Knaf;Epilobium × glanduligerum Knaf;NA
Epilobium × goerzii Rubner;Epilobium × goerzii Rubner;NA
Epilobium × grenieri Rouy & Camus;Epilobium × grenieri Rouy & Camus;NA
Epilobium × haussknechtianum Borbás;Epilobium × haussknechtianum Borbás;NA
Epilobium × haynaldianum Hausskn.;Epilobium × haynaldianum Hausskn.;NA
Epilobium × hectori-leveilleanum Thell.;Epilobium × hectori-leveilleanum Thell.;NA
Epilobium montanum × roseum;Epilobium montanum × roseum;Epilobium montanum
Epilobium montanum × roseum;Epilobium montanum × roseum;Epilobium roseum
Epilobium hirsutum × lamyi;Epilobium hirsutum × lamyi;Epilobium hirsutum
Epilobium hirsutum × lamyi;Epilobium hirsutum × lamyi;Epilobium lamyi
Epilobium × huteri Borbás;Epilobium × huteri Borbás;NA
Epilobium ciliatum × lamyi;Epilobium ciliatum × lamyi;Epilobium ciliatum
Epilobium ciliatum × lamyi;Epilobium ciliatum × lamyi;Epilobium lamyi
Epilobium ciliatum × montanum;Epilobium ciliatum × montanum;Epilobium ciliatum
Epilobium ciliatum × montanum;Epilobium ciliatum × montanum;Epilobium montanum
Epilobium × lamotteanum Hausskn.;Epilobium × lamotteanum Hausskn.;NA
Epilobium × abortivum Hausskn.;Epilobium × abortivum Hausskn.;NA
Epilobium × neogradense Hausskn.;Epilobium × neogradense Hausskn.;NA
Epilobium × langeanum Hausskn.;Epilobium × langeanum Hausskn.;NA
Epilobium × laschianum Hausskn.;Epilobium × laschianum Hausskn.;NA
Epilobium × limosum Schur;Epilobium × limosum Schur;NA
Epilobium ciliatum × tetragonum;Epilobium ciliatum × tetragonum;Epilobium ciliatum
Epilobium ciliatum × tetragonum;Epilobium ciliatum × tetragonum;Epilobium tetragonum
Epilobium × moillefarinei Levl.;Epilobium × moillefarinei Levl.;NA
Epilobium × montaniforme Knaf;Epilobium × montaniforme Knaf;NA
Epilobium × novae-civitatis;Epilobium × novae-civitatis;NA
Epilobium ciliatum × roseum;Epilobium ciliatum × roseum;Epilobium ciliatum
Epilobium ciliatum × roseum;Epilobium ciliatum × roseum;Epilobium roseum
Epilobium × palatinum F. W. Schultz;Epilobium × palatinum F. W. Schultz;NA
Epilobium × weissenburgiense F. W. Schultz;Epilobium × weissenburgiense F. W. Schultz;NA
Epilobium × percollinum Simonk.;Epilobium × percollinum Simonk.;NA
Epilobium × persicinum Rchb.;Epilobium × persicinum Rchb.;NA
Epilobium × knafii Rubner;Epilobium × knafii Rubner;NA
Epilobium × probstii Levl.;Epilobium × probstii Levl.;NA
Epilobium × pseudotrigonum Borbás;Epilobium × pseudotrigonum Borbás;NA
Epilobium × purpureum Fr.;Epilobium × purpureum Fr.;NA
Epilobium × radoi Borbás;Epilobium × radoi Borbás;NA
Epilobium × rivolicolum Hausskn.;Epilobium × rivolicolum Hausskn.;NA
Epilobium × rivulare Wahlenb.;Epilobium × rivulare Wahlenb.;NA
Epilobium obscurum × palustre;Epilobium obscurum × palustre;Epilobium obscurum
Epilobium obscurum × palustre;Epilobium obscurum × palustre;Epilobium palustre
Epilobium × schulzeanum Hausskn.;Epilobium × schulzeanum Hausskn.;NA
Epilobium × semiobscurum Borbás;Epilobium × semiobscurum Borbás;NA
Epilobium × subhirsutum Gennaris;Epilobium × subhirsutum Gennaris;NA
Epilobium × similatum Hausskn.;Epilobium × similatum Hausskn.;NA
Epilobium × thuringiacum Hausskn.;Epilobium × thuringiacum Hausskn.;NA
Epilobium × uechtritzianum Pax;Epilobium × uechtritzianum Pax;NA
Epilobium ciliatum × obscurum;Epilobium ciliatum × obscurum;Epilobium ciliatum
Epilobium ciliatum × obscurum;Epilobium ciliatum × obscurum;Epilobium obscurum
Epipactis atrorubens × microphylla;Epipactis atrorubens × microphylla;Epipactis atrorubens
Epipactis atrorubens × microphylla;Epipactis atrorubens × microphylla;Epipactis microphylla
Epipactis × gauckleri Weigelt & Riechelmann;Epipactis × gauckleri Weigelt & Riechelmann;NA
Epipactis helleborine × microphylla;Epipactis helleborine × microphylla;Epipactis helleborine
Epipactis helleborine × microphylla;Epipactis helleborine × microphylla;Epipactis microphylla
Epipactis helleborine × muelleri;Epipactis helleborine × muelleri;Epipactis helleborine
Epipactis helleborine × muelleri;Epipactis helleborine × muelleri;Epipactis muelleri
Epipactis helleborine × purpurata;Epipactis helleborine × purpurata;Epipactis helleborine
Epipactis helleborine × purpurata;Epipactis helleborine × purpurata;Epipactis purpurata
Epipactis leptochila × muelleri;Epipactis leptochila × muelleri;Epipactis leptochila
Epipactis leptochila × muelleri;Epipactis leptochila × muelleri;Epipactis muelleri
Epipactis leptochila × purpurata;Epipactis leptochila × purpurata;Epipactis leptochila
Epipactis leptochila × purpurata;Epipactis leptochila × purpurata;Epipactis purpurata
Epipactis × pupplingensis Bell;Epipactis × pupplingensis Bell;NA
Epipactis atrorubens × helleborine;Epipactis atrorubens × helleborine;Epipactis atrorubens
Epipactis atrorubens × helleborine;Epipactis atrorubens × helleborine;Epipactis helleborine
