verbatim;edited;parent
Anthemis × ochroleuca Čelak.;Anthemis × ochroleuca Čelak.;NA
Anthemis ruthenica × tinctoria;Anthemis ruthenica × tinctoria;Anthemis ruthenica
Anthemis ruthenica × tinctoria;Anthemis ruthenica × tinctoria;Anthemis tinctoria
Anthericum × confusum;Anthericum × confusum;NA
Arctium × ambiguum (Čelak.) Nyman;Arctium × ambiguum (Čelak.) Nyman;NA
Arctium × cimbricum;Arctium × cimbricum;NA
Arctium minus × nemorosum;Arctium minus × nemorosum;Arctium minus
Arctium minus × nemorosum;Arctium minus × nemorosum;Arctium nemorosum
Arctium minus × tomentosum;Arctium minus × tomentosum;Arctium minus
Arctium minus × tomentosum;Arctium minus × tomentosum;Arctium tomentosum
Arctium nemorosum × tomentosum;Arctium nemorosum × tomentosum;Arctium nemorosum
Arctium nemorosum × tomentosum;Arctium nemorosum × tomentosum;Arctium tomentosum
Arctium lappa × minus;Arctium lappa × minus;Arctium lappa
Arctium lappa × minus;Arctium lappa × minus;Arctium minus
Sorbus aria × mougeotii;Sorbus aria × mougeotii;Sorbus aria
Sorbus aria × mougeotii;Sorbus aria × mougeotii;Sorbus mougeotii
Asplenium adulterinum × trichomanes;Asplenium adulterinum × trichomanes;Asplenium adulterinum
Asplenium adulterinum × trichomanes;Asplenium adulterinum × trichomanes;Asplenium trichomanes
Asplenium adulterinum × A. trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.;Asplenium adulterinum × A. trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.;Asplenium adulterinum
Asplenium adulterinum × A. trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.;Asplenium adulterinum × A. trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.;Asplenium  trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.
Asplenium adulterinum Milde;Asplenium adulterinum Milde;NA
Asplenium septentrionale × A. trichomanes subsp. quadrivalens;Asplenium septentrionale × A. trichomanes subsp. quadrivalens;Asplenium septentrionale
Asplenium septentrionale × A. trichomanes subsp. quadrivalens;Asplenium septentrionale × A. trichomanes subsp. quadrivalens;Asplenium  trichomanes subsp. quadrivalens
Asplenium septentrionale × A. trichomanes subsp. trichomanes;Asplenium septentrionale × A. trichomanes subsp. trichomanes;Asplenium septentrionale
Asplenium septentrionale × A. trichomanes subsp. trichomanes;Asplenium septentrionale × A. trichomanes subsp. trichomanes;Asplenium  trichomanes subsp. trichomanes
Asplenium septentrionale × trichomanes;Asplenium septentrionale × trichomanes;Asplenium septentrionale
Asplenium septentrionale × trichomanes;Asplenium septentrionale × trichomanes;Asplenium trichomanes
Asplenium × clermontae Syme;Asplenium × clermontae Syme;NA
Asplenium cuneifolium × septentrionale;Asplenium cuneifolium × septentrionale;Asplenium cuneifolium
Asplenium cuneifolium × septentrionale;Asplenium cuneifolium × septentrionale;Asplenium septentrionale
Asplenium fissum × viride;Asplenium fissum × viride;Asplenium fissum
Asplenium fissum × viride;Asplenium fissum × viride;Asplenium viride
Asplenium adulterinum × viride;Asplenium adulterinum × viride;Asplenium adulterinum
Asplenium adulterinum × viride;Asplenium adulterinum × viride;Asplenium viride
