NAMNR;taxonID;taxonName;taxonRank;isHybrid;taxonNameEdited;taxonNameEditedShort;taxonNameEditedAuthors;higherTaxonID;acceptedTaxonName;acceptedHigherTaxonName;countRaw;countFiltered;keep;remark;taxonNameForGSL;isAquatic
33084;floraweb:33084;Aquilegia caerulea E. James;species;FALSE;Aquilegia caerulea E.James;Aquilegia caerulea;E.James;floraweb:33084;Aquilegia caerulea E.James;Aquilegia caerulea E.James;1;1;1;;Aquilegia caerulea;
504;floraweb:504;Aquilegia einseleana F. W. Schultz;species;FALSE;Aquilegia einseleana F.W.Schultz;Aquilegia einseleana;F.W.Schultz;floraweb:504;Aquilegia einseleana F.W.Schultz;Aquilegia einseleana F.W.Schultz;5;4;1;;Aquilegia einseleana;
506;floraweb:506;Aquilegia thalictrifolia Schott & Kotschy;species;FALSE;Aquilegia thalictrifolia Schott & Kotschy;Aquilegia thalictrifolia;Schott & Kotschy;floraweb:506;Aquilegia einseleana F.W.Schultz;Aquilegia einseleana F.W.Schultz;0;0;0;absent in DE;Aquilegia thalictrifolia;
30294;floraweb:30294;Aquilegia ottonis Orph. ex Boiss.;species;FALSE;Aquilegia ottonis Orph. ex Boiss.;Aquilegia ottonis;Orph. ex Boiss.;floraweb:30294;Aquilegia ottonis Boiss. ex Orph.;Aquilegia ottonis Boiss. ex Orph.;0;0;0;absent in DE;Aquilegia ottonis;
507;floraweb:507;Aquilegia vulgaris agg.;agg;FALSE;NA;NA;NA;floraweb:507;Aquilegia vulgaris agg.;Aquilegia vulgaris agg.;1866;1670;0;higher taxon;Aquilegia vulgaris agg.;
26926;floraweb:26926;Aquilegia vulgaris subsp. vulgaris;subsp;FALSE;Aquilegia vulgaris subsp. vulgaris;Aquilegia vulgaris subsp. vulgaris;NA;floraweb:510;Aquilegia vulgaris L.;Aquilegia vulgaris L.;33;28;1;;Aquilegia vulgaris subsp. vulgaris;
510;floraweb:510;Aquilegia vulgaris L., s. str.;species;FALSE;Aquilegia vulgaris L.;Aquilegia vulgaris;L.;floraweb:510;Aquilegia vulgaris L.;Aquilegia vulgaris L.;1721;1546;1;;Aquilegia vulgaris s. str.;
32182;floraweb:32182;Arabidopsis arenosa (L.) Lawalrée;species;FALSE;Arabidopsis arenosa (L.) Lawalrée;Arabidopsis arenosa;(L.) Lawalrée;floraweb:32182;Arabidopsis arenosa (L.) Lawalrée;Arabidopsis arenosa (L.) Lawalrée;1741;1516;1;;Arabidopsis arenosa;
32183;floraweb:32183;Arabidopsis arenosa subsp. arenosa;subsp;FALSE;Arabidopsis arenosa subsp. arenosa;Arabidopsis arenosa subsp. arenosa;NA;floraweb:32182;Arabidopsis arenosa subsp. arenosa;Arabidopsis arenosa (L.) Lawalrée;766;725;1;;Arabidopsis arenosa subsp. arenosa;
32184;floraweb:32184;Arabidopsis arenosa subsp. borbasii (Zapał.) O’Kane & Al-Shehbaz;subsp;FALSE;Arabidopsis arenosa subsp. borbasii (Zapał.) O’Kane & Al-Shehbaz;Arabidopsis arenosa subsp. borbasii;(Zapał.) O’Kane & Al-Shehbaz;floraweb:32182;Arabidopsis arenosa subsp. borbasii (Zapal.) O'Kane & Al-Shehbaz;Arabidopsis arenosa (L.) Lawalrée;142;121;1;;Arabidopsis arenosa subsp. borbasii;
32185;floraweb:32185;Arabidopsis halleri (L.) O’Kane & Al-Shehbaz;species;FALSE;Arabidopsis halleri (L.) O’Kane & Al-Shehbaz;Arabidopsis halleri;(L.) O’Kane & Al-Shehbaz;floraweb:32185;Arabidopsis halleri (L.) O'Kane & Al-Shehbaz;Arabidopsis halleri (L.) O'Kane & Al-Shehbaz;261;232;1;;Arabidopsis halleri;
32186;floraweb:32186;Arabidopsis halleri subsp. halleri;subsp;FALSE;Arabidopsis halleri subsp. halleri;Arabidopsis halleri subsp. halleri;NA;floraweb:32185;Arabidopsis halleri (L.) O'Kane & Al-Shehbaz;Arabidopsis halleri (L.) O'Kane & Al-Shehbaz;45;14;1;;Arabidopsis halleri subsp. halleri;
20949;floraweb:32188;Arabidopsis halleri subsp. ovirensis (Wulfen) Thell.;subsp;FALSE;Arabidopsis halleri subsp. ovirensis (Wulfen) Thell.;Arabidopsis halleri subsp. ovirensis;(Wulfen) Thell.;floraweb:32185;Arabidopsis halleri subsp. ovirensis (Wulfen) O'Kane & Al-Shehbaz;Arabidopsis halleri (L.) O'Kane & Al-Shehbaz;0;0;0;absent in DE;Arabidopsis halleri subsp. ovirensis;
34202;floraweb:34202;Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz;species;FALSE;Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz;Arabidopsis lyrata;(L.) O'Kane & Al-Shehbaz;floraweb:34202;Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz;Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz;35;22;1;;Arabidopsis lyrata;
34203;floraweb:34203;Arabidopsis lyrata subsp. petraea (L.) O’Kane & Al-Shehbaz;subsp;FALSE;Arabidopsis lyrata subsp. petraea (L.) O’Kane & Al-Shehbaz;Arabidopsis lyrata subsp. petraea;(L.) O’Kane & Al-Shehbaz;floraweb:34202;Arabidopsis lyrata subsp. petraea (L.) O'Kane & Al-Shehbaz;Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz;35;22;1;;Arabidopsis lyrata subsp. petraea;
511;floraweb:511;Arabidopsis suecica (Fr.) Norrl.;species;FALSE;Arabidopsis suecica (Fr.) Norrl.;Arabidopsis suecica;(Fr.) Norrl.;floraweb:511;Arabidopsis suecica (Fr.) Norrl.;Arabidopsis suecica (Fr.) Norrl.;5;0;0;outside final grid;Arabidopsis suecica;
512;floraweb:512;Arabidopsis thaliana (L.) Heynh.;species;FALSE;Arabidopsis thaliana (L.) Heynh.;Arabidopsis thaliana;(L.) Heynh.;floraweb:512;Arabidopsis thaliana (L.) Heynh.;Arabidopsis thaliana (L.) Heynh.;2807;2528;1;;Arabidopsis thaliana;
513;floraweb:513;Arabis alpina agg.;agg;FALSE;NA;NA;NA;floraweb:513;Arabis alpina agg.;Arabis alpina agg.;302;253;0;higher taxon;Arabis alpina agg.;
514;floraweb:514;Arabis alpina L., s. str.;species;FALSE;Arabis alpina L.;Arabis alpina;L.;floraweb:514;Arabis alpina L.;Arabis alpina L.;133;85;1;;Arabis alpina s. str.;
516;floraweb:516;Arabis auriculata Lam.;species;FALSE;Arabis auriculata Lam.;Arabis auriculata;Lam.;floraweb:516;Arabis auriculata Lam.;Arabis auriculata Lam.;70;48;1;;Arabis auriculata;
518;floraweb:518;Arabis caerulea All.;species;FALSE;Arabis caerulea All.;Arabis caerulea;All.;floraweb:518;Arabis caerulea All.;Arabis caerulea All.;16;2;1;;Arabis caerulea;
29661;floraweb:29661;Arabis caucasica subsp. caucasica;subsp;FALSE;Arabis caucasica subsp. caucasica;Arabis caucasica subsp. caucasica;NA;floraweb:515;Arabis caucasica Willd.;Arabis caucasica Willd.;0;0;0;no data;Arabis caucasica subsp. caucasica;
515;floraweb:515;Arabis caucasica Willd.;species;FALSE;Arabis caucasica Willd.;Arabis caucasica;Willd.;floraweb:515;Arabis caucasica Willd.;Arabis caucasica Willd.;179;176;1;;Arabis caucasica;
519;floraweb:519;Arabis ciliata Clairv.;species;FALSE;Arabis ciliata Clairv.;Arabis ciliata;Clairv.;floraweb:519;Arabis ciliata Clairv.;Arabis ciliata Clairv.;68;41;1;;Arabis ciliata;
