verbatim;parent;edited
Crocus chrysanthus x biflorus;Crocus chrysanthus;Crocus chrysanthus × biflorus
Crocus chrysanthus x biflorus;Crocus biflorus;Crocus chrysanthus × biflorus
Crocus vernus x tommasinianus;Crocus vernus;Crocus vernus × tommasinianus
Crocus vernus x tommasinianus;Crocus tommasinianus;Crocus vernus × tommasinianus
Crocus x stellaris Haw.;Crocus angustifolius;Crocus × stellaris Haw.
Crocus x stellaris Haw.;Crocus flavus;Crocus × stellaris Haw.
Dianthus caryophyllus x gratianopolitanus x plumarius;Dianthus caryophyllus;Dianthus caryophyllus × gratianopolitanus × plumarius
Dianthus caryophyllus x gratianopolitanus x plumarius;Dianthus gratianopolitanus;Dianthus caryophyllus × gratianopolitanus × plumarius
Dianthus caryophyllus x gratianopolitanus x plumarius;Dianthus plumarius;Dianthus caryophyllus × gratianopolitanus × plumarius
Dianthus caryophyllus x plumarius;Dianthus caryophyllus;Dianthus caryophyllus × plumarius
Dianthus caryophyllus x plumarius;Dianthus plumarius;Dianthus caryophyllus × plumarius
Dianthus gratianopolitanus x caryophyllus;Dianthus gratianopolitanus;Dianthus gratianopolitanus × caryophyllus
Dianthus gratianopolitanus x caryophyllus;Dianthus caryophyllus;Dianthus gratianopolitanus × caryophyllus
Dianthus gratianopolitanus x plumarius;Dianthus gratianopolitanus;Dianthus gratianopolitanus × plumarius
Dianthus gratianopolitanus x plumarius;Dianthus plumarius;Dianthus gratianopolitanus × plumarius
Dipsacus fullonum x sativus;Dipsacus fullonum;Dipsacus fullonum × sativus
Dipsacus fullonum x sativus;Dipsacus sativus;Dipsacus fullonum × sativus
Dipsacus x pseudosilvester Schur;Dipsacus fullonum;Dipsacus × pseudosilvester Schur
Dipsacus x pseudosilvester Schur;Dipsacus laciniatus;Dipsacus × pseudosilvester Schur
Doronicum x excelsum (N.E. Br.) Stace;Doronicum pardalianches;Doronicum × excelsum (N.E. Br.) Stace
Doronicum x excelsum (N.E. Br.) Stace;Doronicum plantagineum;Doronicum × excelsum (N.E. Br.) Stace
Doronicum x excelsum (N.E. Br.) Stace;Doronicum columnae;Doronicum × excelsum (N.E. Br.) Stace
Doronicum x willdenowii (Rouy) A.W. Hill;Doronicum pardalianches;Doronicum × willdenowii (Rouy) A.W. Hill
Doronicum x willdenowii (Rouy) A.W. Hill;Doronicum plantagineum;Doronicum × willdenowii (Rouy) A.W. Hill
Epilobium ciliatum x lanceolatum;Epilobium ciliatum;Epilobium ciliatum × lanceolatum
Epilobium ciliatum x lanceolatum;Epilobium lanceolatum;Epilobium ciliatum × lanceolatum
Epilobium x brunnatum Kitchener & McKean;Epilobium ciliatum;Epilobium × brunnatum Kitchener & McKean
Epilobium x brunnatum Kitchener & McKean;Epilobium brunnescens;Epilobium × brunnatum Kitchener & McKean
Epilobium x chateri Kitchener & McKean;Epilobium palustre;Epilobium × chateri Kitchener & McKean
Epilobium x chateri Kitchener & McKean;Epilobium brunnescens;Epilobium × chateri Kitchener & McKean
Epilobium x confusilobum Kitchener & McKean;Epilobium montanum;Epilobium × confusilobum Kitchener & McKean
Epilobium x confusilobum Kitchener & McKean;Epilobium brunnescens;Epilobium × confusilobum Kitchener & McKean
Epilobium x floridulum Smejkal;Epilobium parviflorum;Epilobium × floridulum Smejkal
Epilobium x floridulum Smejkal;Epilobium ciliatum;Epilobium × floridulum Smejkal
Epilobium x fossicola Smejkal;Epilobium ciliatum;Epilobium × fossicola Smejkal
Epilobium x fossicola Smejkal;Epilobium palustre;Epilobium × fossicola Smejkal
Epilobium x interjectum Smejkal;Epilobium montanum;Epilobium × interjectum Smejkal
Epilobium x interjectum Smejkal;Epilobium ciliatum;Epilobium × interjectum Smejkal
Epilobium x mentiens Smejkal;Epilobium tetragonum;Epilobium × mentiens Smejkal
Epilobium x mentiens Smejkal;Epilobium ciliatum;Epilobium × mentiens Smejkal
Epilobium x novae-civitatis Smejkal;Epilobium hirsutum;Epilobium × novae-civitatis Smejkal
Epilobium x novae-civitatis Smejkal;Epilobium ciliatum;Epilobium × novae-civitatis Smejkal
Epilobium x nutantiflorum Smejkal;Epilobium roseum;Epilobium × nutantiflorum Smejkal
Epilobium x nutantiflorum Smejkal;Epilobium ciliatum;Epilobium × nutantiflorum Smejkal
Epilobium x obscurescens Kitchener & McKean;Epilobium obscurum;Epilobium × obscurescens Kitchener & McKean
Epilobium x obscurescens Kitchener & McKean;Epilobium brunnescens;Epilobium × obscurescens Kitchener & McKean
Epilobium x vicinum;Epilobium obscurum;Epilobium × vicinum
Epilobium x vicinum;Epilobium ciliatum;Epilobium × vicinum
Erica x darleyensis Bean;Erica erigena;Erica × darleyensis Bean
Erica x darleyensis Bean;Erica carnea;Erica × darleyensis Bean
Erysimum x marshallii (Henfr.) Bois;Erysimum decumbens;Erysimum × marshallii (Henfr.) Bois
Erysimum x marshallii (Henfr.) Bois;Erysimum perofskianum;Erysimum × marshallii (Henfr.) Bois
Euphorbia x gayeri Boros & Soó;Euphorbia cyparissias;Euphorbia × gayeri Boros & Soó
Euphorbia x gayeri Boros & Soó;Euphorbia waldsteinii;Euphorbia × gayeri Boros & Soó
Euphorbia x pseudoesula Schur;Euphorbia esula;Euphorbia × pseudoesula Schur
Euphorbia x pseudoesula Schur;Euphorbia cyparissias;Euphorbia × pseudoesula Schur
Euphorbia x pseudovirgata (Schur) Soó;Euphorbia esula;Euphorbia × pseudovirgata (Schur) Soó
Euphorbia x pseudovirgata (Schur) Soó;Euphorbia waldsteinii;Euphorbia × pseudovirgata (Schur) Soó
Fallopia x bohemica (Chrtek & Chrtková) J.P. Bailey;Fallopia japonica;Fallopia × bohemica (Chrtek & Chrtková) J.P. Bailey
Fallopia x bohemica (Chrtek & Chrtková) J.P. Bailey;Fallopia sachalinensis;Fallopia × bohemica (Chrtek & Chrtková) J.P. Bailey
Fallopia x conollyana J.P. Bailey;Fallopia japonica;Fallopia × conollyana J.P. Bailey
Fallopia x conollyana J.P. Bailey;Fallopia baldschuanica;Fallopia × conollyana J.P. Bailey
Festuca arundinacea x Lolium multiflorum;Festuca arundinacea;Festuca arundinacea × Lolium multiflorum
Festuca arundinacea x Lolium multiflorum;Lolium multiflorum;Festuca arundinacea × Lolium multiflorum
Festuca rubra x Vulpia myuros;Festuca rubra;Festuca rubra × Vulpia myuros
Festuca rubra x Vulpia myuros;Vulpia myuros;Festuca rubra × Vulpia myuros
Forsythia x intermedia hort. ex Zabel;Forsythia suspensa;Forsythia × intermedia hort. ex Zabel
Forsythia x intermedia hort. ex Zabel;Forsythia viridissima;Forsythia × intermedia hort. ex Zabel
Freesia x hybrida L.H. Bailey;NA;Freesia × hybrida L.H. Bailey
Freesia x hybrida L.H. Bailey;Freesia hybrida L.H. Bailey;Freesia × hybrida L.H. Bailey
Fumaria officinalis x densiflora;Fumaria officinalis;Fumaria officinalis × densiflora
Fumaria officinalis x densiflora;Fumaria densiflora;Fumaria officinalis × densiflora
Fumaria officinalis x parviflora;Fumaria officinalis;Fumaria officinalis × parviflora
Fumaria officinalis x parviflora;Fumaria parviflora;Fumaria officinalis × parviflora
Fumaria x painteri Pugsley;Fumaria muralis;Fumaria × painteri Pugsley
Fumaria x painteri Pugsley;Fumaria officinalis;Fumaria × painteri Pugsley
Gaillardia x grandiflora hort. ex Van Houtte;Gaillardia aristata;Gaillardia × grandiflora hort. ex Van Houtte
Gaillardia x grandiflora hort. ex Van Houtte;Gaillardia pulchella;Gaillardia × grandiflora hort. ex Van Houtte
Galanthus elwesii x plicatus;Galanthus elwesii;Galanthus elwesii × plicatus
Galanthus elwesii x plicatus;Galanthus plicatus;Galanthus elwesii × plicatus
Galanthus nivalis x elwesii;Galanthus nivalis;Galanthus nivalis × elwesii
Galanthus nivalis x elwesii;Galanthus elwesii;Galanthus nivalis × elwesii
Galanthus nivalis x plicatus;Galanthus nivalis;Galanthus nivalis × plicatus
Galanthus nivalis x plicatus;Galanthus plicatus;Galanthus nivalis × plicatus
Galium x pomeranicum Retz.;Galium verum;Galium × pomeranicum Retz.
Galium x pomeranicum Retz.;Galium mollugo;Galium × pomeranicum Retz.
Gaultheria x wisleyensis D.J. Middleton;Gaultheria shallon;Gaultheria × wisleyensis D.J. Middleton
Gaultheria x wisleyensis D.J. Middleton;Gaultheria mucronata;Gaultheria × wisleyensis D.J. Middleton
Geranium x magnificum Hyl.;Geranium ibericum;Geranium × magnificum Hyl.
Geranium x magnificum Hyl.;Geranium platypetalum;Geranium × magnificum Hyl.
Geranium x monacense Harz;Geranium phaeum;Geranium × monacense Harz
Geranium x monacense Harz;Geranium reflexum;Geranium × monacense Harz
Geranium x oxonianum Yeo;Geranium endressii;Geranium × oxonianum Yeo
Geranium x oxonianum Yeo;Geranium versicolor;Geranium × oxonianum Yeo
Glyceria x pedicellata F. Towns.;Glyceria fluitans;Glyceria × pedicellata F. Towns.
Glyceria x pedicellata F. Towns.;Glyceria notata;Glyceria × pedicellata F. Towns.
Hebe x franciscana (Eastw.) Souster;NA;Hebe × franciscana (Eastw.) Souster
Hebe x franciscana (Eastw.) Souster;Hebe franciscana (Eastw.) Souster;Hebe × franciscana (Eastw.) Souster
