id;verbatim;parent;parent_taxonID;edited
urn:lsid:ipni.org:names:1000000-1;Elymus × mucronatus (Opiz) Conert;NA;NA;Elymus × mucronatus (Opiz) Conert
urn:lsid:ipni.org:names:1000001-1;× Elyleymus strictus (Dethard.) Conert;NA;NA;× Elyleymus strictus (Dethard.) Conert
urn:lsid:ipni.org:names:1000002-1;× Elyleymus bergrothii (H.Lindb.) Conert;NA;NA;× Elyleymus bergrothii (H.Lindb.) Conert
urn:lsid:ipni.org:names:1000278-1;Stilifolium × marvraganii Lückel;Stilifolium stacyi (Garay) Lückel;urn:lsid:ipni.org:names:1000277-1;Stilifolium × marvraganii Lückel
urn:lsid:ipni.org:names:1000278-1;Stilifolium × marvraganii Lückel;Stilifolium jonesianum (Rchb.f.) Königer & D.Pongratz;urn:lsid:ipni.org:names:999285-1;Stilifolium × marvraganii Lückel
urn:lsid:ipni.org:names:1000419-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu;Reynoutria japonica var. uzenensis;urn:lsid:ipni.org:names:51006770-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu
urn:lsid:ipni.org:names:1000419-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu;Reynoutria sachalinensis Nakai;urn:lsid:ipni.org:names:696697-1;Reynoutria × mizushimae Yokouchi ex T.Shimizu
urn:lsid:ipni.org:names:1000421-1;Viola chinoi f. sordida E.Hama ex T.Shimizu;NA;NA;Viola chinoi f. sordida E.Hama ex T.Shimizu
urn:lsid:ipni.org:names:1000422-1;Viola × eizasieboldii Sugim. ex T.Shimizu;Viola sieboldii;urn:lsid:ipni.org:names:50886686-1;Viola × eizasieboldii Sugim. ex T.Shimizu
urn:lsid:ipni.org:names:1000422-1;Viola × eizasieboldii Sugim. ex T.Shimizu;Viola eizanensis (Makino) Makino;urn:lsid:ipni.org:names:868094-1;Viola × eizasieboldii Sugim. ex T.Shimizu
urn:lsid:ipni.org:names:1000423-1;Viola miyajiana f. sordida E.Hama ex T.Shimizu;NA;NA;Viola miyajiana f. sordida E.Hama ex T.Shimizu
urn:lsid:ipni.org:names:1000424-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu;Viola acuminata Ledeb.;urn:lsid:ipni.org:names:867555-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu
urn:lsid:ipni.org:names:1000424-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu;Viola obtusa Makino;urn:lsid:ipni.org:names:868815-1;Viola × obtusoacuminata T.Hashim. ex T.Shimizu
urn:lsid:ipni.org:names:1000425-1;Viola ogawae f. variegata E.Hama ex T.Shimizu;NA;NA;Viola ogawae f. variegata E.Hama ex T.Shimizu
urn:lsid:ipni.org:names:1000426-1;Viola × okuharae F.Maek. ex T.Shimizu;Viola violacea Makino var. makinoi;urn:lsid:ipni.org:names:51011100-1;Viola × okuharae F.Maek. ex T.Shimizu
urn:lsid:ipni.org:names:1000426-1;Viola × okuharae F.Maek. ex T.Shimizu;Viola hirtipes S.Moore;urn:lsid:ipni.org:names:868313-1;Viola × okuharae F.Maek. ex T.Shimizu
urn:lsid:ipni.org:names:1000428-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu;Viola sieboldii Maxim. f. variegata E.Hama;urn:lsid:ipni.org:names:892720-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu
urn:lsid:ipni.org:names:1000428-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu;Viola violacea Makino var. makinoi;urn:lsid:ipni.org:names:51011100-1;Viola × pseudomakinoi M.Mizush. ex T.Shimizu
urn:lsid:ipni.org:names:1000429-1;Viola savatieri f. variegata E.Hama ex T.Shimizu;NA;NA;Viola savatieri f. variegata E.Hama ex T.Shimizu
urn:lsid:ipni.org:names:1000431-1;Viola taradakensis var. eizalacea F.Maek. & T.Hashim. ex T.Shimizu;NA;NA;Viola taradakensis var. eizalacea F.Maek. & T.Hashim. ex T.Shimizu
urn:lsid:ipni.org:names:1000432-1;Viola taradakensis f. variegata E.Hama ex T.Shimizu;NA;NA;Viola taradakensis f. variegata E.Hama ex T.Shimizu
urn:lsid:ipni.org:names:1000433-1;Rorippa × brachyceras Kitam. ex T.Shimizu;NA;NA;Rorippa × brachyceras Kitam. ex T.Shimizu
urn:lsid:ipni.org:names:1000438-1;Rhododendron × kisoanum Okuhara ex T.Shimizu;Rhododendron reticulatum D.Don ex G.Don;urn:lsid:ipni.org:names:333215-1;Rhododendron × kisoanum Okuhara ex T.Shimizu
urn:lsid:ipni.org:names:1000438-1;Rhododendron × kisoanum Okuhara ex T.Shimizu;Rhododendron dilatatum Miq.;urn:lsid:ipni.org:names:332337-1;Rhododendron × kisoanum Okuhara ex T.Shimizu
urn:lsid:ipni.org:names:1000443-1;Prunus × misayamensis Okuhara & Y.Matsuda ex T.Shimizu;Prunus apetala;urn:lsid:ipni.org:names:50959532-1;Prunus × misayamensis Okuhara & Y.Matsuda ex T.Shimizu
urn:lsid:ipni.org:names:1000443-1;Prunus × misayamensis Okuhara & Y.Matsuda ex T.Shimizu;Prunus nipponica Matsum.;urn:lsid:ipni.org:names:730028-1;Prunus × misayamensis Okuhara & Y.Matsuda ex T.Shimizu
urn:lsid:ipni.org:names:1000444-1;Sorbus × yokouchii M.Mizush. ex T.Shimizu;Sorbus sambucifolia M.Roem.;urn:lsid:ipni.org:names:741955-1;Sorbus × yokouchii M.Mizush. ex T.Shimizu
urn:lsid:ipni.org:names:1000444-1;Sorbus × yokouchii M.Mizush. ex T.Shimizu;Sorbus matsumurana Koehne;urn:lsid:ipni.org:names:741842-1;Sorbus × yokouchii M.Mizush. ex T.Shimizu
urn:lsid:ipni.org:names:1000459-1;Saussurea × subgracilis K.Asano ex T.Shimizu;Saussurea ussuriensis Maxim.;urn:lsid:ipni.org:names:242738-1;Saussurea × subgracilis K.Asano ex T.Shimizu
urn:lsid:ipni.org:names:1000459-1;Saussurea × subgracilis K.Asano ex T.Shimizu;Saussurea gracilis Maxim.;urn:lsid:ipni.org:names:242286-1;Saussurea × subgracilis K.Asano ex T.Shimizu
urn:lsid:ipni.org:names:1000462-1;Iris × setosothungbergii H.Koidz. ex T.Shimizu;Iris sanguinea Hornem.;urn:lsid:ipni.org:names:439065-1;Iris × setosothungbergii H.Koidz. ex T.Shimizu
urn:lsid:ipni.org:names:1000462-1;Iris × setosothungbergii H.Koidz. ex T.Shimizu;Iris setosa Pall. ex Link;urn:lsid:ipni.org:names:439084-1;Iris × setosothungbergii H.Koidz. ex T.Shimizu
urn:lsid:ipni.org:names:1000688-1;Alopecurus × winklerianus Asch. & Graebn.;Alopecurus pratensis Trin.;urn:lsid:ipni.org:names:387177-1;Alopecurus × winklerianus Asch. & Graebn.
urn:lsid:ipni.org:names:1000688-1;Alopecurus × winklerianus Asch. & Graebn.;Alopecurus fulvus Sm.;urn:lsid:ipni.org:names:387087-1;Alopecurus × winklerianus Asch. & Graebn.
urn:lsid:ipni.org:names:1000776-1;Cistus canescens nothof. albens Demoly;Cistus canescens Sweet f. albus (O.E.Warb.) Demoly;urn:lsid:ipni.org:names:980094-1;Cistus canescens nothof. albens Demoly
urn:lsid:ipni.org:names:1000777-1;Cistus × escartianus Demoly;Cistus heterophyllus Desf.;urn:lsid:ipni.org:names:168294-1;Cistus × escartianus Demoly
urn:lsid:ipni.org:names:1000777-1;Cistus × escartianus Demoly;Cistus creticus L.;urn:lsid:ipni.org:names:168230-1;Cistus × escartianus Demoly
urn:lsid:ipni.org:names:1000778-1;Cistus × lucasii Demoly;Cistus creticus L.;urn:lsid:ipni.org:names:168230-1;Cistus × lucasii Demoly
urn:lsid:ipni.org:names:1000778-1;Cistus × lucasii Demoly;Cistus chinamadensis Bañares & P.Romero;urn:lsid:ipni.org:names:958695-1;Cistus × lucasii Demoly
urn:lsid:ipni.org:names:1000779-1;Cistus purpureus nothof. holorhodos Demoly;NA;NA;Cistus purpureus nothof. holorhodos Demoly
urn:lsid:ipni.org:names:1000780-1;Cistus × tephreus Demoly;Cistus heterophyllus Desf.;urn:lsid:ipni.org:names:168294-1;Cistus × tephreus Demoly
urn:lsid:ipni.org:names:1000780-1;Cistus × tephreus Demoly;Cistus canescens Sweet;urn:lsid:ipni.org:names:168199-1;Cistus × tephreus Demoly
urn:lsid:ipni.org:names:1000856-1;Chamaecytisus × versicolor (Dippel) Karlsson;NA;NA;Chamaecytisus × versicolor (Dippel) Karlsson
urn:lsid:ipni.org:names:1001084-1;Globularia × losae L.Villar, J.A.Sesé & Ferrández;Globularia repens subsp. repens;urn:lsid:ipni.org:names:51011847-1;Globularia × losae L.Villar, J.A.Sesé & Ferrández
urn:lsid:ipni.org:names:1001084-1;Globularia × losae L.Villar, J.A.Sesé & Ferrández;Globularia gracilis;urn:lsid:ipni.org:names:51011846-1;Globularia × losae L.Villar, J.A.Sesé & Ferrández
urn:lsid:ipni.org:names:1001472-1;× Cleistocana mirabilis (Buining) D.R.Hunt;NA;NA;× Cleistocana mirabilis (Buining) D.R.Hunt
urn:lsid:ipni.org:names:1001650-1;Ophrys × kolymbiae G.Kretzschmar & H.Kretzschmar;Ophrys tenthredinifera Ten.;urn:lsid:ipni.org:names:648147-1;Ophrys × kolymbiae G.Kretzschmar & H.Kretzschmar
urn:lsid:ipni.org:names:1001650-1;Ophrys × kolymbiae G.Kretzschmar & H.Kretzschmar;Ophrys lucis;urn:lsid:ipni.org:names:51007209-1;Ophrys × kolymbiae G.Kretzschmar & H.Kretzschmar
urn:lsid:ipni.org:names:1001651-1;Ophrys × triadensis G.Kretzschmar & H.Kretzschmar;Ophrys tenthredinifera Ten.;urn:lsid:ipni.org:names:648147-1;Ophrys × triadensis G.Kretzschmar & H.Kretzschmar
urn:lsid:ipni.org:names:1001651-1;Ophrys × triadensis G.Kretzschmar & H.Kretzschmar;Ophrys sicula Tineo;urn:lsid:ipni.org:names:648113-1;Ophrys × triadensis G.Kretzschmar & H.Kretzschmar
urn:lsid:ipni.org:names:1001652-1;Ophrys × mirtiae G.Kretzschmar & H.Kretzschmar;Ophrys sicula Tineo;urn:lsid:ipni.org:names:648113-1;Ophrys × mirtiae G.Kretzschmar & H.Kretzschmar
urn:lsid:ipni.org:names:1001652-1;Ophrys × mirtiae G.Kretzschmar & H.Kretzschmar;Ophrys speculum Link;urn:lsid:ipni.org:names:648125-1;Ophrys × mirtiae G.Kretzschmar & H.Kretzschmar
urn:lsid:ipni.org:names:1001653-1;Ophrys × stefaniae G.Kretzschmar & H.Kretzschmar;Ophrys ferrum-equinum Desf.;urn:lsid:ipni.org:names:647891-1;Ophrys × stefaniae G.Kretzschmar & H.Kretzschmar
urn:lsid:ipni.org:names:1001653-1;Ophrys × stefaniae G.Kretzschmar & H.Kretzschmar;Ophrys iricolor Desf.;urn:lsid:ipni.org:names:647949-1;Ophrys × stefaniae G.Kretzschmar & H.Kretzschmar
urn:lsid:ipni.org:names:1001654-1;Ophrys × denglerensis Riech.;Ophrys lapethica Gölz & H.R.Reinhard;urn:lsid:ipni.org:names:938553-1;Ophrys × denglerensis Riech.
urn:lsid:ipni.org:names:1001654-1;Ophrys × denglerensis Riech.;Ophrys kotschyi H.Fleischm. & Soó;urn:lsid:ipni.org:names:647958-1;Ophrys × denglerensis Riech.
urn:lsid:ipni.org:names:1001668-1;Citrus × floridana (J.W.Ingram & H.E.Moore) Mabb.;NA;NA;Citrus × floridana (J.W.Ingram & H.E.Moore) Mabb.
urn:lsid:ipni.org:names:1001669-1;Citrus × virgata Mabb.;Citrus australasica F.Muell.;urn:lsid:ipni.org:names:771856-1;Citrus × virgata Mabb.
urn:lsid:ipni.org:names:1001669-1;Citrus × virgata Mabb.;Citrus australis Planch.;urn:lsid:ipni.org:names:771857-1;Citrus × virgata Mabb.
urn:lsid:ipni.org:names:1001714-1;Teucrium × carvalhoae A.F.Carrillo, A.Hern., Coy, Güemes & Sánchez-Gómez;Teucrium balthazaris Sennen;urn:lsid:ipni.org:names:460259-1;Teucrium × carvalhoae A.F.Carrillo, A.Hern., Coy, Güemes & Sánchez-Gómez
urn:lsid:ipni.org:names:1001714-1;Teucrium × carvalhoae A.F.Carrillo, A.Hern., Coy, Güemes & Sánchez-Gómez;Teucrium capitatum L. subsp. gracillimum (Rouy) Valdés Berm.;urn:lsid:ipni.org:names:884308-1;Teucrium × carvalhoae A.F.Carrillo, A.Hern., Coy, Güemes & Sánchez-Gómez
urn:lsid:ipni.org:names:1001715-1;Thymus × herberoi De la Torre, Vicedo, M.Á.Alonso & Payá;Thymus zygis Brot. subsp. gracilis (Boiss.) R.Morales;urn:lsid:ipni.org:names:923933-1;Thymus × herberoi De la Torre, Vicedo, M.Á.Alonso & Payá
urn:lsid:ipni.org:names:1001715-1;Thymus × herberoi De la Torre, Vicedo, M.Á.Alonso & Payá;Thymus moroderi Pau ex Martinez;urn:lsid:ipni.org:names:461439-1;Thymus × herberoi De la Torre, Vicedo, M.Á.Alonso & Payá
urn:lsid:ipni.org:names:1001745-1;Nothofagus apiculata nothovar. blairii (Kirk) Govaerts;NA;NA;Nothofagus apiculata nothovar. blairii (Kirk) Govaerts
urn:lsid:ipni.org:names:1001746-1;Nothofagus apiculata nothovar. dubia (Kirk) Govaerts;NA;NA;Nothofagus apiculata nothovar. dubia (Kirk) Govaerts
urn:lsid:ipni.org:names:1001748-1;Quercus macnabiana nothovar. mahonii (E.J.Palmer) Govaerts;NA;NA;Quercus macnabiana nothovar. mahonii (E.J.Palmer) Govaerts
urn:lsid:ipni.org:names:1001809-1;Potamogeton × biformoides Papch.;Potamogeton biformis Hagstr.;urn:lsid:ipni.org:names:699645-1;Potamogeton × biformoides Papch.
urn:lsid:ipni.org:names:1001809-1;Potamogeton × biformoides Papch.;Potamogeton graminifolius;urn:lsid:ipni.org:names:51012658-1;Potamogeton × biformoides Papch.
urn:lsid:ipni.org:names:1001810-1;Potamogeton × mariensis Papch.;Potamogeton biformis Hagstr.;urn:lsid:ipni.org:names:699645-1;Potamogeton × mariensis Papch.
urn:lsid:ipni.org:names:1001810-1;Potamogeton × mariensis Papch.;Potamogeton nodosus;urn:lsid:ipni.org:names:50882353-1;Potamogeton × mariensis Papch.
urn:lsid:ipni.org:names:1001887-1;Citrus × limodulcis D.Rivera, Obón, F.Méndez & S.Ríos;Citrus limon?;urn:lsid:ipni.org:names:51012759-1;Citrus × limodulcis D.Rivera, Obón, F.Méndez & S.Ríos
urn:lsid:ipni.org:names:1001887-1;Citrus × limodulcis D.Rivera, Obón, F.Méndez & S.Ríos;Citrus limetta Risso subsp. limetta;urn:lsid:ipni.org:names:51012758-1;Citrus × limodulcis D.Rivera, Obón, F.Méndez & S.Ríos
urn:lsid:ipni.org:names:1001888-1;Citrus × limorosea D.Rivera, F.Méndez, Obón & S.Ríos;Citrus aurantiifolia (Christm.) Swingle;urn:lsid:ipni.org:names:771851-1;Citrus × limorosea D.Rivera, F.Méndez, Obón & S.Ríos
urn:lsid:ipni.org:names:1001888-1;Citrus × limorosea D.Rivera, F.Méndez, Obón & S.Ríos;Citrus bergamia?;urn:lsid:ipni.org:names:51012761-1;Citrus × limorosea D.Rivera, F.Méndez, Obón & S.Ríos
urn:lsid:ipni.org:names:1001897-1;× Citrofortunella madurensis (Lour.) D.Rivera, Obón, S.Ríos, Selma, F.Méndez, Verde & F.Cano;NA;NA;× Citrofortunella madurensis (Lour.) D.Rivera, Obón, S.Ríos, Selma, F.Méndez, Verde & F.Cano
urn:lsid:ipni.org:names:1002094-1;Cerasus × katonis H.Ohba;Cerasus maximowiczii;urn:lsid:ipni.org:names:51012992-1;Cerasus × katonis H.Ohba
urn:lsid:ipni.org:names:1002094-1;Cerasus × katonis H.Ohba;Cerasus sargentii (Rehder) H.Ohba;urn:lsid:ipni.org:names:969577-1;Cerasus × katonis H.Ohba
urn:lsid:ipni.org:names:1002096-1;Cerasus × furuseana nothovar. pseudaffinis (Kawas.) H.Ohba;NA;NA;Cerasus × furuseana nothovar. pseudaffinis (Kawas.) H.Ohba
urn:lsid:ipni.org:names:1002097-1;Cerasus × oneyamensis (Hayashi) H.Ohba;NA;NA;Cerasus × oneyamensis (Hayashi) H.Ohba
urn:lsid:ipni.org:names:1002098-1;Cerasus × oneyamensis nothovar. takasawana (H.Kubota & Funatsu) H.Ohba;NA;NA;Cerasus × oneyamensis nothovar. takasawana (H.Kubota & Funatsu) H.Ohba
urn:lsid:ipni.org:names:1002156-1;Herniaria × montenegrina Pérez Dacosta & Mateo;Herniaria glabra L. var. glabra;urn:lsid:ipni.org:names:51013068-1;Herniaria × montenegrina Pérez Dacosta & Mateo
urn:lsid:ipni.org:names:1002156-1;Herniaria × montenegrina Pérez Dacosta & Mateo;Herniaria latifolia Lapeyr.;urn:lsid:ipni.org:names:434811-1;Herniaria × montenegrina Pérez Dacosta & Mateo
urn:lsid:ipni.org:names:1002445-1;× Gasteraloe sculptilis G.D.Rowley ex L.E.Newton;Gasteria cheilophylla;urn:lsid:ipni.org:names:51013453-1;× Gasteraloe sculptilis G.D.Rowley ex L.E.Newton
urn:lsid:ipni.org:names:1002445-1;× Gasteraloe sculptilis G.D.Rowley ex L.E.Newton;Aloe variegata L.;urn:lsid:ipni.org:names:530009-1;× Gasteraloe sculptilis G.D.Rowley ex L.E.Newton
urn:lsid:ipni.org:names:1002460-1;× Anacamptorchis lesbiensis Biel;Orchis sancta L.;urn:lsid:ipni.org:names:649100-1;× Anacamptorchis lesbiensis Biel
urn:lsid:ipni.org:names:1002460-1;× Anacamptorchis lesbiensis Biel;Anacamptis pyramidalis (L.) Rich.;urn:lsid:ipni.org:names:615773-1;× Anacamptorchis lesbiensis Biel
urn:lsid:ipni.org:names:1002534-1;Chamerion × prantlii (Dalla Torre & Sarnth.) Holub;NA;NA;Chamerion × prantlii (Dalla Torre & Sarnth.) Holub
urn:lsid:ipni.org:names:1002540-1;Chrysocyathus × hybridus (Simonk.) Holub;NA;NA;Chrysocyathus × hybridus (Simonk.) Holub
urn:lsid:ipni.org:names:1002567-1;Dactylorhiza braunii nothosubsp. lilacina (F.Proch.) Holub;NA;NA;Dactylorhiza braunii nothosubsp. lilacina (F.Proch.) Holub
urn:lsid:ipni.org:names:1002576-1;Filfia × mixta (Holuby) Holub;NA;NA;Filfia × mixta (Holuby) Holub
urn:lsid:ipni.org:names:1002631-1;Ribularia × paui (Blanca) Holub;NA;NA;Ribularia × paui (Blanca) Holub
urn:lsid:ipni.org:names:1002640-1;× Schedolium brinkmannii (A.Braun) Holub;NA;NA;× Schedolium brinkmannii (A.Braun) Holub
urn:lsid:ipni.org:names:1002641-1;× Schedolium holmbergii (Dörfl.) Holub;NA;NA;× Schedolium holmbergii (Dörfl.) Holub
urn:lsid:ipni.org:names:1002644-1;Schedonorus × aschersonianus (Dörfl.) Holub;NA;NA;Schedonorus × aschersonianus (Dörfl.) Holub
urn:lsid:ipni.org:names:1002645-1;Schedonorus × fleischeri (Rohlena) Holub;NA;NA;Schedonorus × fleischeri (Rohlena) Holub
urn:lsid:ipni.org:names:1002649-1;Schedonorus × schlickumii (Grantzow) Holub;NA;NA;Schedonorus × schlickumii (Grantzow) Holub
urn:lsid:ipni.org:names:1002656-1;Swida × friedlanderi (W.H.Wagner) Holub;NA;NA;Swida × friedlanderi (W.H.Wagner) Holub
urn:lsid:ipni.org:names:1002660-1;Tormimalus × florentina (Zuccagni) Holub;NA;NA;Tormimalus × florentina (Zuccagni) Holub
urn:lsid:ipni.org:names:1002663-1;Trichera × hungarica (Borbás) Holub;NA;NA;Trichera × hungarica (Borbás) Holub
urn:lsid:ipni.org:names:1002665-1;Trichera × leucantha (Schur) Holub;NA;NA;Trichera × leucantha (Schur) Holub
urn:lsid:ipni.org:names:1002667-1;Trichera × posoniensis (Degen) Holub;NA;NA;Trichera × posoniensis (Degen) Holub
urn:lsid:ipni.org:names:1002668-1;Trichera × sambucifolia (Godet) Holub;NA;NA;Trichera × sambucifolia (Godet) Holub
urn:lsid:ipni.org:names:1002670-1;Trichera × speciosa (Schur) Holub;NA;NA;Trichera × speciosa (Schur) Holub
urn:lsid:ipni.org:names:1002835-1;Knautia × hungarica Borbás;Knautia kitaibelii;urn:lsid:ipni.org:names:51013916-1;Knautia × hungarica Borbás
urn:lsid:ipni.org:names:1002835-1;Knautia × hungarica Borbás;Knautia turocensis Szabó;urn:lsid:ipni.org:names:319502-1;Knautia × hungarica Borbás
urn:lsid:ipni.org:names:1002836-1;Knautia × sambucifolia (Godet) Briq.;NA;NA;Knautia × sambucifolia (Godet) Briq.
urn:lsid:ipni.org:names:1002837-1;Knautia × kohleri Briq.;Knautia godetii Reut.;urn:lsid:ipni.org:names:319379-1;Knautia × kohleri Briq.
urn:lsid:ipni.org:names:1002837-1;Knautia × kohleri Briq.;Knautia arvensis Coult.;urn:lsid:ipni.org:names:319318-1;Knautia × kohleri Briq.
urn:lsid:ipni.org:names:1002896-1;Dactylorhiza × braunii nothovar. lilacina F.Proch.;Dactylorhiza fuchsii (Druce) Soó subsp. fuchsii;urn:lsid:ipni.org:names:50913153-1;Dactylorhiza × braunii nothovar. lilacina F.Proch.
urn:lsid:ipni.org:names:1002896-1;Dactylorhiza × braunii nothovar. lilacina F.Proch.;Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh. subsp. turfosa F.Proch.;urn:lsid:ipni.org:names:916932-1;Dactylorhiza × braunii nothovar. lilacina F.Proch.
urn:lsid:ipni.org:names:1003076-1;Schedololium × brinkmannii (A.Braun) Soreng & Terrell;NA;NA;Schedololium × brinkmannii (A.Braun) Soreng & Terrell
urn:lsid:ipni.org:names:1003077-1;Schedololium × holmbergii (Dörfl.) Soreng & Terrell;NA;NA;Schedololium × holmbergii (Dörfl.) Soreng & Terrell
urn:lsid:ipni.org:names:1003079-1;Schedololium × nilssonii (Cugnac & A.Camus) Soreng & Terrell;NA;NA;Schedololium × nilssonii (Cugnac & A.Camus) Soreng & Terrell
urn:lsid:ipni.org:names:1003266-1;Paphiopedilum × grussianum H.S.Hua;Paphiopedilum parishii (Rchb.f.) Stein var. dianthum (Tang & F.T.Wang) P.J.Cribb & C.Z.Tang;urn:lsid:ipni.org:names:2921241-1;Paphiopedilum × grussianum H.S.Hua
urn:lsid:ipni.org:names:1003266-1;Paphiopedilum × grussianum H.S.Hua;Paphiopedilum hirsutissimum (Lindl. ex Hook.) Stein var. esquirolei (Schltr.) P.J.Cribb;urn:lsid:ipni.org:names:953454-1;Paphiopedilum × grussianum H.S.Hua
urn:lsid:ipni.org:names:1003275-1;Carmichaelia × hutchinsii (M.D.Griffiths) Heenan;NA;NA;Carmichaelia × hutchinsii (M.D.Griffiths) Heenan
urn:lsid:ipni.org:names:1003280-1;Raukaua × serratus (Kirk) Heenan;NA;NA;Raukaua × serratus (Kirk) Heenan
urn:lsid:ipni.org:names:1003281-1;Raukaua × parvus (Kirk) Heenan;NA;NA;Raukaua × parvus (Kirk) Heenan
urn:lsid:ipni.org:names:1003360-1;Anemone × gokayamensis M.Sugim., Tak.Sato & Naruh.;Anemone debilis Fisch. ex Turcz.;urn:lsid:ipni.org:names:708328-1;Anemone × gokayamensis M.Sugim., Tak.Sato & Naruh.
urn:lsid:ipni.org:names:1003360-1;Anemone × gokayamensis M.Sugim., Tak.Sato & Naruh.;Anemone pseudoaltaica;urn:lsid:ipni.org:names:50985762-1;Anemone × gokayamensis M.Sugim., Tak.Sato & Naruh.
urn:lsid:ipni.org:names:1003361-1;Tilia viridis nothosubsp. moltkei (Dippel) Xifreda;NA;NA;Tilia viridis nothosubsp. moltkei (Dippel) Xifreda
urn:lsid:ipni.org:names:1003612-1;Epipactis × bruxellensis P.Delforge;Epipactis phyllanthes G.E.Sm. var. degenera;urn:lsid:ipni.org:names:51014930-1;Epipactis × bruxellensis P.Delforge
urn:lsid:ipni.org:names:1003612-1;Epipactis × bruxellensis P.Delforge;Epipactis helleborine (L.) Crantz;urn:lsid:ipni.org:names:633228-1;Epipactis × bruxellensis P.Delforge
urn:lsid:ipni.org:names:1003613-1;Acer × verhaegheanum Geerinck;Acer platanoides L.;urn:lsid:ipni.org:names:781455-1;Acer × verhaegheanum Geerinck
urn:lsid:ipni.org:names:1003613-1;Acer × verhaegheanum Geerinck;Acer cappadocicum Gled.;urn:lsid:ipni.org:names:56622-1;Acer × verhaegheanum Geerinck
urn:lsid:ipni.org:names:1003621-1;Epipactis × gerbaudiorum P.Delforge;Epipactis provincialis Aubenas & Robatsch;urn:lsid:ipni.org:names:989594-1;Epipactis × gerbaudiorum P.Delforge
urn:lsid:ipni.org:names:1003621-1;Epipactis × gerbaudiorum P.Delforge;Epipactis tremolsii Pau;urn:lsid:ipni.org:names:633351-1;Epipactis × gerbaudiorum P.Delforge
urn:lsid:ipni.org:names:1003622-1;Epipactis × gevaudanii P.Delforge;Epipactis rhodanensis Gévaudan & Robatsch;urn:lsid:ipni.org:names:977238-1;Epipactis × gevaudanii P.Delforge
urn:lsid:ipni.org:names:1003622-1;Epipactis × gevaudanii P.Delforge;Epipactis helleborine (L.) Crantz;urn:lsid:ipni.org:names:633228-1;Epipactis × gevaudanii P.Delforge
urn:lsid:ipni.org:names:1003623-1;Ophrys × deheyniana P.Delforge;Ophrys bremifera Steven ex M.Bieb.;urn:lsid:ipni.org:names:647810-1;Ophrys × deheyniana P.Delforge
urn:lsid:ipni.org:names:1003623-1;Ophrys × deheyniana P.Delforge;Ophrys thesei P.Delforge;urn:lsid:ipni.org:names:1003616-1;Ophrys × deheyniana P.Delforge
urn:lsid:ipni.org:names:1003624-1;Ophrys × dessartiana P.Delforge;Ophrys parosica P.Delforge;urn:lsid:ipni.org:names:990703-1;Ophrys × dessartiana P.Delforge
urn:lsid:ipni.org:names:1003624-1;Ophrys × dessartiana P.Delforge;Ophrys astypalaeica P.Delforge;urn:lsid:ipni.org:names:1003614-1;Ophrys × dessartiana P.Delforge
urn:lsid:ipni.org:names:1003625-1;Ophrys × ettlingeriana P.Delforge;Ophrys argolica H.Fleischm. ex Vierh.;urn:lsid:ipni.org:names:647762-1;Ophrys × ettlingeriana P.Delforge
urn:lsid:ipni.org:names:1003625-1;Ophrys × ettlingeriana P.Delforge;Ophrys attica (Boiss. & Orph.) Soó;urn:lsid:ipni.org:names:647772-1;Ophrys × ettlingeriana P.Delforge
urn:lsid:ipni.org:names:1003626-1;Ophrys × mahilloniana P.Delforge;Ophrys ferrum-equinum Desf.;urn:lsid:ipni.org:names:647891-1;Ophrys × mahilloniana P.Delforge
urn:lsid:ipni.org:names:1003626-1;Ophrys × mahilloniana P.Delforge;Ophrys aeoli P.Delforge;urn:lsid:ipni.org:names:1003615-1;Ophrys × mahilloniana P.Delforge
urn:lsid:ipni.org:names:1003627-1;Ophrys × quintartiana P.Delforge;Ophrys ferrum-equinum Desf.;urn:lsid:ipni.org:names:647891-1;Ophrys × quintartiana P.Delforge
urn:lsid:ipni.org:names:1003627-1;Ophrys × quintartiana P.Delforge;Ophrys ariadnae Paulus;urn:lsid:ipni.org:names:983201-1;Ophrys × quintartiana P.Delforge
urn:lsid:ipni.org:names:1003628-1;Ophrys × saintenoy-simoniana P.Delforge;Ophrys thesei P.Delforge;urn:lsid:ipni.org:names:1003616-1;Ophrys × saintenoy-simoniana P.Delforge
urn:lsid:ipni.org:names:1003628-1;Ophrys × saintenoy-simoniana P.Delforge;Ophrys ferrum-equinum Desf.;urn:lsid:ipni.org:names:647891-1;Ophrys × saintenoy-simoniana P.Delforge
urn:lsid:ipni.org:names:1003629-1;Serapias × walravensiana P.Delforge;Serapias carica (H.Baumann & Künkele) P.Delforge;urn:lsid:ipni.org:names:983615-1;Serapias × walravensiana P.Delforge
