id;verbatim;parent;parent_taxonID;edited
urn:lsid:ipni.org:names:77100211-1;Thelypteris × gorkhalensis Fraser-Jenk.;Thelypteris clarkei (Bedd.) C.F.Reed;urn:lsid:ipni.org:names:17457200-1;Thelypteris × gorkhalensis Fraser-Jenk.
urn:lsid:ipni.org:names:77100211-1;Thelypteris × gorkhalensis Fraser-Jenk.;Thelypteris arida (D.Don) Morton;urn:lsid:ipni.org:names:17421340-1;Thelypteris × gorkhalensis Fraser-Jenk.
urn:lsid:ipni.org:names:77100212-1;Thelypteris × nepalensis Fraser-Jenk.;Thelypteris penangiana (Hook.) C.F.Reed;urn:lsid:ipni.org:names:1212067-2;Thelypteris × nepalensis Fraser-Jenk.
urn:lsid:ipni.org:names:77100212-1;Thelypteris × nepalensis Fraser-Jenk.;Thelypteris dentata (Forssk.) E.P.St.John;urn:lsid:ipni.org:names:17421830-1;Thelypteris × nepalensis Fraser-Jenk.
urn:lsid:ipni.org:names:77100213-1;Thelypteris × jaculodentata Fraser-Jenk.;Thelypteris dentata (Forssk.) E.P.St.John;urn:lsid:ipni.org:names:17421830-1;Thelypteris × jaculodentata Fraser-Jenk.
urn:lsid:ipni.org:names:77100213-1;Thelypteris × jaculodentata Fraser-Jenk.;Thelypteris jaculosa (Christ) Panigrahi;urn:lsid:ipni.org:names:17458970-1;Thelypteris × jaculodentata Fraser-Jenk.
urn:lsid:ipni.org:names:77100214-1;Thelypteris × dentarida Fraser-Jenk.;Thelypteris dentata (Forssk.) E.P.St.John;urn:lsid:ipni.org:names:17421830-1;Thelypteris × dentarida Fraser-Jenk.
urn:lsid:ipni.org:names:77100214-1;Thelypteris × dentarida Fraser-Jenk.;Thelypteris arida (D.Don) Morton;urn:lsid:ipni.org:names:17421340-1;Thelypteris × dentarida Fraser-Jenk.
urn:lsid:ipni.org:names:77100215-1;Thelypteris × inexspectata Fraser-Jenk.;Thelypteris evoluta (C.B.Clarke) Tagawa & K.Iwats.;urn:lsid:ipni.org:names:17458070-1;Thelypteris × inexspectata Fraser-Jenk.
urn:lsid:ipni.org:names:77100215-1;Thelypteris × inexspectata Fraser-Jenk.;Thelypteris dentata (Forssk.) E.P.St.John;urn:lsid:ipni.org:names:17421830-1;Thelypteris × inexspectata Fraser-Jenk.
urn:lsid:ipni.org:names:77100216-1;Thelypteris × papilioides Fraser-Jenk.;Thelypteris papilio (C.Hope) K.Iwats.;urn:lsid:ipni.org:names:17460470-1;Thelypteris × papilioides Fraser-Jenk.
urn:lsid:ipni.org:names:77100216-1;Thelypteris × papilioides Fraser-Jenk.;Thelypteris procera (D.Don) Fraser-Jenk.;urn:lsid:ipni.org:names:77100209-1;Thelypteris × papilioides Fraser-Jenk.
urn:lsid:ipni.org:names:77100219-1;Thelypteris × kashmiriana Fraser-Jenk.;Thelypteris pyrrhorhachis (Kunze) B.K.Nayar & S.Kaur subsp. laterepens (E.W.Trotter) Fraser-Jenk.;urn:lsid:ipni.org:names:77100218-1;Thelypteris × kashmiriana Fraser-Jenk.
urn:lsid:ipni.org:names:77100219-1;Thelypteris × kashmiriana Fraser-Jenk.;Thelypteris levingei (C.B.Clarke) Ching;urn:lsid:ipni.org:names:17422460-1;Thelypteris × kashmiriana Fraser-Jenk.
urn:lsid:ipni.org:names:77100225-1;× Cystocarpium roskamianum Fraser-Jenk.;Cystopteris fragilis (L.) Bernh. subsp. dickieana;urn:lsid:ipni.org:names:77100224-1;× Cystocarpium roskamianum Fraser-Jenk.
urn:lsid:ipni.org:names:77100225-1;× Cystocarpium roskamianum Fraser-Jenk.;Gymnocarpium robertianum (Hoffm.) Newman;urn:lsid:ipni.org:names:17112130-1;× Cystocarpium roskamianum Fraser-Jenk.
urn:lsid:ipni.org:names:77100226-1;Athyrium × kathmanduense Fraser-Jenk.;Athyrium drepanopteron (Kunze) Milde;urn:lsid:ipni.org:names:17054890-1;Athyrium × kathmanduense Fraser-Jenk.
urn:lsid:ipni.org:names:77100226-1;Athyrium × kathmanduense Fraser-Jenk.;Athyrium foliolosum (Wall.) Moore;urn:lsid:ipni.org:names:17055160-1;Athyrium × kathmanduense Fraser-Jenk.
urn:lsid:ipni.org:names:77100227-1;Athyrium × lobulosoimpolitum Fraser-Jenk.;Athyrium foliolosum (Wall.) Moore;urn:lsid:ipni.org:names:17055160-1;Athyrium × lobulosoimpolitum Fraser-Jenk.
urn:lsid:ipni.org:names:77100227-1;Athyrium × lobulosoimpolitum Fraser-Jenk.;Athyrium woodsioides Christ;urn:lsid:ipni.org:names:17242090-1;Athyrium × lobulosoimpolitum Fraser-Jenk.
urn:lsid:ipni.org:names:77100228-1;Athyrium × drepanopteroides Fraser-Jenk.;Athyrium woodsioides Christ;urn:lsid:ipni.org:names:17242090-1;Athyrium × drepanopteroides Fraser-Jenk.
urn:lsid:ipni.org:names:77100228-1;Athyrium × drepanopteroides Fraser-Jenk.;Athyrium drepanopteron (Kunze) Milde;urn:lsid:ipni.org:names:17054890-1;Athyrium × drepanopteroides Fraser-Jenk.
urn:lsid:ipni.org:names:77100230-1;Athyrium × boreo-occidentali-indobharaticola-birianum Fraser-Jenk.;Athyrium pectinatum C.Presl;urn:lsid:ipni.org:names:17055970-1;Athyrium × boreo-occidentali-indobharaticola-birianum Fraser-Jenk.
urn:lsid:ipni.org:names:77100230-1;Athyrium × boreo-occidentali-indobharaticola-birianum Fraser-Jenk.;"Athyrium schimperi Moug.; Fee subsp. biserrulatum (Christ) Fraser-Jenk.";urn:lsid:ipni.org:names:17569860-1;Athyrium × boreo-occidentali-indobharaticola-birianum Fraser-Jenk.
urn:lsid:ipni.org:names:77100231-1;Athyrium × langtangense Fraser-Jenk.;Athyrium anisopterum Christ;urn:lsid:ipni.org:names:17054230-1;Athyrium × langtangense Fraser-Jenk.
urn:lsid:ipni.org:names:77100231-1;Athyrium × langtangense Fraser-Jenk.;Athyrium micropterum Fraser-Jenk.;urn:lsid:ipni.org:names:17569850-1;Athyrium × langtangense Fraser-Jenk.
urn:lsid:ipni.org:names:77100232-1;Athyrium × pangteyi Fraser-Jenk.;NA;NA;Athyrium × pangteyi Fraser-Jenk.
urn:lsid:ipni.org:names:77100233-1;Athyrium × pichisermollianum Fraser-Jenk.;Athyrium kumaonicum Punetha;urn:lsid:ipni.org:names:17523930-1;Athyrium × pichisermollianum Fraser-Jenk.
urn:lsid:ipni.org:names:77100233-1;Athyrium × pichisermollianum Fraser-Jenk.;Athyrium foliolosum (Wall.) Moore;urn:lsid:ipni.org:names:17055160-1;Athyrium × pichisermollianum Fraser-Jenk.
urn:lsid:ipni.org:names:77100234-1;Athyrium × dixitii Fraser-Jenk.;Athyrium kumaonicum Punetha;urn:lsid:ipni.org:names:17523930-1;Athyrium × dixitii Fraser-Jenk.
urn:lsid:ipni.org:names:77100234-1;Athyrium × dixitii Fraser-Jenk.;Athyrium fimbriatum (Wall.) T.Moore;urn:lsid:ipni.org:names:17055130-1;Athyrium × dixitii Fraser-Jenk.
urn:lsid:ipni.org:names:77100235-1;Athyrium × manickamii Fraser-Jenk.;Athyrium silvicola Tagawa;urn:lsid:ipni.org:names:17307030-1;Athyrium × manickamii Fraser-Jenk.
