verbatim;parent;edited
Betula ×dosmannii;Betula ermanii;Betula × dosmannii
Salix ×simulatrix;Salix herbacea;Salix × simulatrix
Salix ×grahamii;Salix herbacea;Salix × grahamii
Calystegia ×howittiorum;Calystegia pulchra;Calystegia × howittiorum
Tilia ×moltkei;Tilia petiolaris;Tilia × moltkei
Tilia ×moltkei;Tilia americana;Tilia × moltkei
Amaranthus × budensis;Amaranthus albus;Amaranthus × budensis
Sempervivum ×nixonii;Sempervivum globiferum;Sempervivum × nixonii
Salix ×cottetii;Salix retusa;Salix × cottetii
Crocus × fritschii;Crocus vernus;Crocus × fritschii
Picea albertiana;Picea engelmannii;Picea albertiana
Ilex ×altaclerensis;Ilex aquifolium;Ilex × altaclerensis
Berberis ×hybrido-gagnepainii;Berberis verruculosa;Berberis × hybrido-gagnepainii
Rubus ×castoreus;Rubus arcticus;Rubus × castoreus
Cornus ×elwinortonii;Cornus nuttallii;Cornus × elwinortonii
Betula ×jackii;Betula lenta;Betula × jackii
Annona ×atemoya;Annona squamosa;Annona × atemoya
Brachychiton ×vinicolor;Brachychiton discolor;Brachychiton × vinicolor
Stapelia meintjesii;Stapelia gigantea;Stapelia meintjesii
Scolymus ×castaneus;Scolymus maculatus;Scolymus × castaneus
Arbutus × andrachnoides;Arbutus unedo;Arbutus × andrachnoides
Aeonium ×anagense;Aeonium lindleyi;Aeonium × anagense
Ambrosia platyspina;Ambrosia dumosa;Ambrosia platyspina
Betula ×jackii;Betula pumila;Betula × jackii
Spiranthes × simpsonii;Spiranthes romanzoffiana;Spiranthes × simpsonii
Crocus × paulineae;Crocus ancyrensis;Crocus × paulineae
Colchicum ×agrippinum;Colchicum variegatum;Colchicum × agrippinum
Tsuga jeffreyi;Tsuga mertensiana;Tsuga jeffreyi
Viola mirabilis × reichenbachiana;Viola reichenbachiana;Viola mirabilis × reichenbachiana
Disa ×vogelpoelii;Disa graminifolia;Disa × vogelpoelii
Eucalyptus erythrandra;Eucalyptus tetraptera;Eucalyptus erythrandra
Sempervivum ×morellianum;Sempervivum calcareum;Sempervivum × morellianum
Dombeya cayeuxii;Dombeya wallichii;Dombeya cayeuxii
Rosa × micrugosa;Rosa rugosa;Rosa × micrugosa
Cornus ×elwinortonii;Cornus kousa;Cornus × elwinortonii
Cornus ×rutgersensis;Cornus kousa;Cornus × rutgersensis
Asimina ×nashii;Asimina longifolia;Asimina × nashii
Pinus ×holfordiana;Pinus wallichiana;Pinus × holfordiana
Cistus × purpureus;Cistus ladanifer;Cistus × purpureus
Cistus dansereaui;Cistus ladanifer;Cistus dansereaui
Cistus aguilari;Cistus ladanifer;Cistus aguilari
Cistus stenophyllus;Cistus ladanifer;Cistus stenophyllus
Cistus verguinii;Cistus ladanifer;Cistus verguinii
Cistus cyprius;Cistus ladanifer;Cistus cyprius
Cistus matritensis;Cistus ladanifer;Cistus matritensis
Cistus rodiei;Cistus ladanifer;Cistus rodiei
Cistus neyrauti;Cistus ladanifer;Cistus neyrauti
Cistus fernandesiae;Cistus ladanifer;Cistus fernandesiae
Cistus hetieri;Cistus ladanifer;Cistus hetieri
Cistus curvativus;Cistus ladanifer;Cistus curvativus
Cistus ×lepidocalyx;Cistus ladanifer;Cistus × lepidocalyx
Cistus ×porphyreus;Cistus ladanifer;Cistus × porphyreus
Magnolia × soulangeana;Magnolia denudata;Magnolia × soulangeana
Cistus banaresii;Cistus symphytifolius;Cistus banaresii
Cistus ralletii;Cistus symphytifolius;Cistus ralletii
Cistus ×chnoodophyllus;Cistus symphytifolius;Cistus × chnoodophyllus
Cistus ×oxyphyllus;Cistus symphytifolius;Cistus × oxyphyllus
Arum sooi;Arum maculatum;Arum sooi
Pinus ×densithunbergii;Pinus thunbergii;Pinus × densithunbergii
Cornus ×rutgersensis;Cornus florida;Cornus × rutgersensis
Convolvulus × despreauxii;Convolvulus floridus;Convolvulus × despreauxii
Cistus × purpureus;Cistus creticus;Cistus × purpureus
Cistus conradiae;Cistus creticus;Cistus conradiae
Cistus strigosus;Cistus creticus;Cistus strigosus
Cistus sammonsii;Cistus creticus;Cistus sammonsii
Cistus olivaceus;Cistus creticus;Cistus olivaceus
Cistus gardianus;Cistus creticus;Cistus gardianus
Cistus ralletii;Cistus creticus;Cistus ralletii
Cistus ×argenteus;Cistus creticus;Cistus × argenteus
Cistus ×canescens;Cistus creticus;Cistus × canescens
Cistus ×crispatus;Cistus creticus;Cistus × crispatus
Cistus ×crumleyae;Cistus creticus;Cistus × crumleyae
Cistus ×cymosus;Cistus creticus;Cistus × cymosus
Cistus ×escartianus;Cistus creticus;Cistus × escartianus
Cistus ×lucasii;Cistus creticus;Cistus × lucasii
Cistus ×tephreus;Cistus creticus;Cistus × tephreus
Brachychiton ×vinicolor;Brachychiton acerifolius;Brachychiton × vinicolor
Arbutus × andrachnoides;Arbutus andrachne;Arbutus × andrachnoides
Magnolia × soulangeana;Magnolia liliiflora;Magnolia × soulangeana
Sempervivum ×rupicola;Sempervivum wulfenii;Sempervivum × rupicola
Sempervivum ×comollii;Sempervivum wulfenii;Sempervivum × comollii
Amaranthus × adulterinus;Amaranthus hybridus;Amaranthus × adulterinus
Pinus ×densithunbergii;Pinus densiflora;Pinus × densithunbergii
Tsuga jeffreyi;Tsuga heterophylla;Tsuga jeffreyi
Arum sooi;Arum cylindraceum;Arum sooi
Serapias ×ambigua;Serapias lingua;Serapias × ambigua
Aeonium ×anagense;Aeonium tabuliforme;Aeonium × anagense
Serapias ×ambigua;Serapias cordigera;Serapias × ambigua
Crocus × hybridus;Crocus chrysanthus;Crocus × hybridus
Phalaenopsis ×gersenii;Phalaenopsis violacea;Phalaenopsis × gersenii
Cattleya ×pittiana;Cattleya schilleriana;Cattleya × pittiana
Cattleya ×pittiana;Cattleya harrisoniana;Cattleya × pittiana
Serapias ×alberti;Serapias neglecta;Serapias × alberti
Salix ×boydii;Salix lapponum;Salix × boydii
Salix ×laestadiana;Salix lapponum;Salix × laestadiana
Magnolia ×wieseneri;Magnolia sieboldii;Magnolia × wieseneri
Scolymus ×castaneus;Scolymus hispanicus;Scolymus × castaneus
Cistus akamantis;Cistus monspeliensis;Cistus akamantis
Cistus florentinus;Cistus monspeliensis;Cistus florentinus
Cistus stenophyllus;Cistus monspeliensis;Cistus stenophyllus
Cistus conradiae;Cistus monspeliensis;Cistus conradiae
Cistus ledon;Cistus monspeliensis;Cistus ledon
Cistus platysepalus;Cistus monspeliensis;Cistus platysepalus
Cistus nigricans;Cistus monspeliensis;Cistus nigricans
Cistus skanbergii;Cistus monspeliensis;Cistus skanbergii
Cistus neyrauti;Cistus monspeliensis;Cistus neyrauti
Cistus heterocalyx;Cistus monspeliensis;Cistus heterocalyx
Cistus hetieri;Cistus monspeliensis;Cistus hetieri
Cistus ×lecomtei;Cistus monspeliensis;Cistus × lecomtei
Cistus ×mesoensis;Cistus monspeliensis;Cistus × mesoensis
Salix ×laurina;Salix phylicifolia;Salix × laurina
Sempervivum ×nixonii;Sempervivum heuffelii;Sempervivum × nixonii
Serapias ×alberti;Serapias vomeracea;Serapias × alberti
Berberis ×hybrido-gagnepainii;Berberis gagnepainii;Berberis × hybrido-gagnepainii
Crocus × leonidii;Crocus angustifolius;Crocus × leonidii
Pinus ×holfordiana;Pinus ayacahuite;Pinus × holfordiana
Sempervivum ×vaccarii;Sempervivum grandiflorum;Sempervivum × vaccarii
Sempervivum ×christii;Sempervivum grandiflorum;Sempervivum × christii
Betula ×dosmannii;Betula maximowicziana;Betula × dosmannii
Symphytum ×uplandicum;Symphytum asperum;Symphytum × uplandicum
Huernia distincta;Huernia pillansii;Huernia distincta
Atriplex ×northusana;Atriplex oblongifolia;Atriplex × northusana
Cistus ×incanus;Cistus albidus;Cistus × incanus
Cistus clausonii;Cistus albidus;Cistus clausonii
Cistus timbalii;Cistus albidus;Cistus timbalii
Cistus rodiei;Cistus albidus;Cistus rodiei
Cistus olivaceus;Cistus albidus;Cistus olivaceus
Cistus gardianus;Cistus albidus;Cistus gardianus
Cistus daveauanus;Cistus albidus;Cistus daveauanus
Cistus bornetianus;Cistus albidus;Cistus bornetianus
Cistus ×argenteus;Cistus albidus;Cistus × argenteus
Cistus ×canescens;Cistus albidus;Cistus × canescens
Cistus ×lecomtei;Cistus albidus;Cistus × lecomtei
Cistus ×picardianus;Cistus albidus;Cistus × picardianus
Cistus ×tephreus;Cistus albidus;Cistus × tephreus
Populus ×berolinensis;Populus laurifolia;Populus × berolinensis
Phalaenopsis ×gersenii;Phalaenopsis sumatrana;Phalaenopsis × gersenii
Triticum turanicum;Triticum turgidum;Triticum turanicum
Crocus × leonidii;Crocus reticulatus;Crocus × leonidii
Crocus asturicus;Crocus nudiflorus;Crocus asturicus
Sempervivum × giuseppii;Sempervivum cantabricum;Sempervivum × giuseppii
Sempervivum ×versicolor;Sempervivum marmoreum;Sempervivum × versicolor
Sempervivum ×versicolor;Sempervivum ruthenicum;Sempervivum × versicolor
Magnolia ×wieseneri;Magnolia obovata;Magnolia × wieseneri
Anthurium ferrierense;Anthurium andraeanum;Anthurium ferrierense
Tylecodon ×fergusoniae;Tylecodon paniculatus;Tylecodon × fergusoniae
Eucalyptus affinis;Eucalyptus albens;Eucalyptus affinis
Camellia vernalis;Camellia sasanqua;Camellia vernalis
Rumex ×dolosus;Rumex confertus;Rumex × dolosus
Eucalyptus affinis;Eucalyptus sideroxylon;Eucalyptus affinis
Actaea ×ludovici;Actaea pachypoda;Actaea × ludovici
