key;accepted;kingdom;scientificName;speciesKey;taxonID
10629295;NA;Plantae;Petasites frigidus var. x vitifolius;NA;NA
10647492;NA;Plantae;Ophrys aranifera x Ophrys tenthredinifera subsp. ficalhoana;NA;NA
10650353;NA;Plantae;Ophrys speculum x Ophrys aranifera subsp. praecox;NA;NA
10776678;NA;Plantae;Anthemis x Cota;NA;NA
100051132;NA;Plantae;Potamogeton distinctus A. Benn. x P. nodosus Poir.;NA;NA
100863216;NA;Animalia;Passer domesticus x italiae Vieillot, 1817;NA;NA
101255801;NA;Plantae;Sempervivum arachnoideum x montanum x tectorum L. x L. x L.;NA;NA
101255802;NA;Plantae;Thymus mastichina x vulgaris NULL;NA;NA
101255803;NA;Plantae;Thymus mastichina x granatensis NULL;NA;NA
101255804;NA;Plantae;Salix cinerea x myrsinifolia NULL;NA;NA
101255805;NA;Plantae;Salix myrsinifolia x phylicifolia NULL;NA;NA
101255806;NA;Plantae;Salix myrsinifolia x myrsinites NULL;NA;NA
101255807;NA;Plantae;Salix atrocinerea x myrsinifolia NULL;NA;NA
101255808;NA;Plantae;Polygonum persicaria x lapathifolium NULL;NA;NA
101255809;NA;Plantae;Rumex hydrolapathum x obtusifolius NULL;NA;NA
101255810;NA;Plantae;Quercus canariensis x pubescens NULL;NA;NA
101255811;NA;Plantae;Polygonum persicaria x mite NULL;NA;NA
101255812;NA;Plantae;Populus tremuloides x tremula NULL;NA;NA
101255813;NA;Plantae;Betula pendula x pubescens NULL;NA;NA
101255814;NA;Plantae;Salix myrsinites x glauca NULL;NA;NA
101255815;NA;Plantae;Carduus argemone ssp. obtusisquamus x nutans ssp. nutans NULL;NA;NA
101255816;NA;Plantae;Juncus filiformis x arcticus NULL;NA;NA
101255817;NA;Plantae;Juncus alpinus x articulatus NULL;NA;NA
101255818;NA;Plantae;x Festulolium Festuca arundinacea x Lolium multiflorum NULL;NA;NA
101255819;NA;Plantae;x Festulolium Festuca gigantea x Lolium multiflorum NULL;NA;NA
101255820;NA;Plantae;Lolium perenne x rigidum NULL;NA;NA
101255821;NA;Plantae;Lolium perenne x remotum NULL;NA;NA
101255822;NA;Plantae;Lolium multiflorum x temulentum NULL;NA;NA
101255823;NA;Plantae;Lolium multiflorum x remotum NULL;NA;NA
101255824;NA;Plantae;Elymus caninus x mutabilis NULL;NA;NA
101255825;NA;Plantae;Elymus caninus x alaskanus ssp. scandicus NULL;NA;NA
101255826;NA;Plantae;Alopecurus arundinaceus x pratensis NULL;NA;NA
101255827;NA;Plantae;Schoenus nigricans x ferrugineus NULL;NA;NA
101255828;NA;Plantae;Carex saxatilis x rostrata NULL;NA;NA
101255829;NA;Plantae;Carex saxatilis x vesicaria NULL;NA;NA
101255830;NA;Plantae;Carex saxatilis x rotundata NULL;NA;NA
101255831;NA;Plantae;Rumex pulcher x conglomeratus NULL;NA;NA
101255832;NA;Plantae;Rumex pulcher x crispus NULL;NA;NA
101255833;NA;Plantae;Arabis hirsuta x sagittata NULL;NA;NA
101255834;NA;Plantae;Rumex pulcher x obtusifolius NULL;NA;NA
101255835;NA;Plantae;Saxifraga juniperifolia x marginata NULL;NA;NA
101255836;NA;Plantae;Cochlearia anglica x officinalis NULL;NA;NA
101255837;NA;Plantae;Viola mirabilis x riviniana NULL;NA;NA
101255838;NA;Plantae;Saxifraga ferdinandi-coburgi x juniperifolia NULL;NA;NA
101255839;NA;Plantae;Viola reichenbachiana x riviniana NULL;NA;NA
101255840;NA;Plantae;Viola riviniana x rupestris NULL;NA;NA
101255841;NA;Plantae;Viola canina x persicifolia NULL;NA;NA
101255842;NA;Plantae;Viola canina x riviniana NULL;NA;NA
101255843;NA;Plantae;Viola canina x rupestris NULL;NA;NA
101255844;NA;Plantae;Viola canina x pumila NULL;NA;NA
101255845;NA;Plantae;Carduus personata ssp. personata x crispus ssp. multiflorus NULL;NA;NA
101255846;NA;Plantae;Carduus argemone ssp. obtusisquamus x acanthoides NULL;NA;NA
101255847;NA;Plantae;Carex digitata x ornithopoda NULL;NA;NA
101255848;NA;Plantae;Carex hostiana x demissa NULL;NA;NA
101255849;NA;Plantae;Carex rostrata x rotundata NULL;NA;NA
101255850;NA;Plantae;Carex saxatilis x stenolepis NULL;NA;NA
101255851;NA;Plantae;Rumex hydrolapathum x aquaticus NULL;NA;NA
101255852;NA;Plantae;Salix atrocinerea x viminalis NULL;NA;NA
101255853;NA;Plantae;Salix myrsinites x nigricans NULL;NA;NA
101255854;NA;Plantae;Salix nigricans x phylicifolia NULL;NA;NA
101255855;NA;Plantae;Centaurea oliverana x raphanina ssp. raphanina NULL;NA;NA
101255856;NA;Plantae;Centaurea calcitrapa x aspera NULL;NA;NA
101255857;NA;Plantae;Carex maritima x dioica NULL;NA;NA
101255858;NA;Plantae;Calystegia sepium ssp. sepium x pulchra NULL;NA;NA
101255859;NA;Plantae;Salix cinerea x nigricans NULL;NA;NA
101255860;NA;Plantae;Knautia arvernensis x arvensis NULL;NA;NA
101255861;NA;Plantae;Juncus anceps x articulatus NULL;NA;NA
101255862;NA;Plantae;Juncus filiformis x balticus NULL;NA;NA
101255863;NA;Plantae;Setaria verticillata x viridis NULL;NA;NA
101255864;NA;Plantae;Elymus pycnanthus x repens NULL;NA;NA
101255865;NA;Plantae;Xanthium strumarium ssp. strumarium x ssp. italicum NULL;NA;NA
101255866;NA;Plantae;Elymus pycnanthus x farctus ssp. boreali-atlanticus NULL;NA;NA
101255867;NA;Plantae;Erigeron x Conyza Erigeron acer x Conyza canadensis NULL;NA;NA
101255868;NA;Plantae;Agrostis rupestris x agrostiflora NULL;NA;NA
101255869;NA;Plantae;Elymus x Hordeum Elymus repens x Hordeum secalinum NULL;NA;NA
101255870;NA;Plantae;Elymus repens x farctus ssp. boreali-atlanticus NULL;NA;NA
101255871;NA;Plantae;Nymphaea alba x candida NULL;NA;NA
101255872;NA;Plantae;Elymus repens x hispidus NULL;NA;NA
101255873;NA;Plantae;Salix lanata x caprea NULL;NA;NA
101255874;NA;Plantae;Salix lanata x hastata NULL;NA;NA
101255875;NA;Plantae;Salix phylicifolia x cinerea NULL;NA;NA
101255876;NA;Plantae;Salix phylicifolia x glauca NULL;NA;NA
101255877;NA;Plantae;Salix phylicifolia x aurita NULL;NA;NA
101255878;NA;Plantae;Salix phylicifolia x atrocinerea NULL;NA;NA
101255879;NA;Plantae;Salix silesiaca x aurita NULL;NA;NA
101255880;NA;Plantae;Salix phylicifolia x caprea NULL;NA;NA
101255881;NA;Plantae;Salix myrsinites x myrsinifolia NULL;NA;NA
101255882;NA;Plantae;Salix herbacea x polaris NULL;NA;NA
101255883;NA;Plantae;Betula nana x pubescens NULL;NA;NA
101255884;NA;Plantae;Quercus robur ssp. robur x petraea NULL;NA;NA
101255885;NA;Plantae;Polygonum persicaria x hydropiper NULL;NA;NA
101255886;NA;Plantae;Polygonum minus x mite NULL;NA;NA
101255887;NA;Plantae;Polygonum minus x persicaria NULL;NA;NA
101255888;NA;Plantae;Rumex aquaticus x longifolius NULL;NA;NA
101255889;NA;Plantae;Rumex crispus x longifolius NULL;NA;NA
101255890;NA;Plantae;Salix silesiaca x caprea NULL;NA;NA
101255891;NA;Plantae;Salix silesiaca x lapponum NULL;NA;NA
101255892;NA;Plantae;Salix atrocinerea x aurita NULL;NA;NA
101255893;NA;Plantae;Salix atrocinerea x caprea NULL;NA;NA
101255894;NA;Plantae;Salix atrocinerea x cinerea NULL;NA;NA
101255895;NA;Plantae;Betula humilis x nana NULL;NA;NA
101255896;NA;Plantae;Betula nana x pendula NULL;NA;NA
101255897;NA;Plantae;Rorippa amphibia x sylvestris NULL;NA;NA
101255898;NA;Plantae;Rorippa austriaca x sylvestris NULL;NA;NA
101255899;NA;Plantae;Nasturtium officinale x microphyllum NULL;NA;NA
101255900;NA;Plantae;Rorippa amphibia x palustris NULL;NA;NA
101255901;NA;Plantae;Rorippa sylvestris x palustris NULL;NA;NA
101255902;NA;Plantae;Anemone nemorosa x ranunculoides NULL;NA;NA
101255903;NA;Plantae;Pulsatilla vernalis x patens ssp. patens NULL;NA;NA
101255904;NA;Plantae;Nymphaea candida x tetragona NULL;NA;NA
101255905;NA;Plantae;Silene dioica x latifolia NULL;NA;NA
101255906;NA;Plantae;Silene donetzica x chersonensis NULL;NA;NA
101255907;NA;Plantae;Salix triandra ssp. triandra x viminalis NULL;NA;NA
101255908;NA;Plantae;Cerastium fontanum x nigrescens NULL;NA;NA
101255909;NA;Plantae;Cerastium fontanum x alpinum NULL;NA;NA
101255910;NA;Plantae;Scleranthus perennis x annuus NULL;NA;NA
101255911;NA;Plantae;Sagina subulata x procumbens NULL;NA;NA
101255912;NA;Plantae;Rumex crispus x patientia NULL;NA;NA
101255913;NA;Plantae;Rumex crispus x confertus NULL;NA;NA
101255914;NA;Plantae;Rumex obtusifolius x longifolius NULL;NA;NA
101255915;NA;Plantae;Rumex crispus x pulcher NULL;NA;NA
101255916;NA;Plantae;Rumex obtusifolius x cristatus NULL;NA;NA
101255917;NA;Plantae;Rumex obtusifolius x confertus NULL;NA;NA
101255918;NA;Plantae;Atriplex glabriuscula x longipes NULL;NA;NA
101255919;NA;Plantae;Rumex obtusifolius x patientia NULL;NA;NA
101255920;NA;Plantae;Aconitum napellus x angustifolium NULL;NA;NA
101255921;NA;Plantae;Hyacinthoides non-scripta x hispanica NULL;NA;NA
101255922;NA;Plantae;Peltaria x Bornmuellera Peltaria emarginata x Bornmuellera tymphaea NULL;NA;NA
101255923;NA;Plantae;Peltaria x Bornmuellera Peltaria emarginata x Bornmuellera baldaccii NULL;NA;NA
101255924;NA;Plantae;Cochlearia officinalis ssp. officinalis x anglica NULL;NA;NA
101255925;NA;Plantae;Primula latifolia x hirsuta NULL;NA;NA
101255926;NA;Plantae;Primula glutinosa x minima NULL;NA;NA
101255927;NA;Plantae;Rumex crispus x obtusifolius NULL;NA;NA
